item	gloss	group	site_codes	status	form	visible_base	note
112	hand	1	lmqr	ambiguous		tʃak	A small upper-right corner-like modifier is printed after visible `tʃak`; its value is not inferred.
112	hand	2	0	attested	hat		
112	hand	3	bc	ambiguous		tʃakaprak	Small upper-right corner-like modifiers are printed after visible `tʃak` and final `aprak`; neither value is inferred.
113	palm	1	lm	ambiguous		tʃakpʰa	A small upper-right corner-like modifier is printed after visible `tʃak` before `pʰa`; its value is not inferred.
113	palm	2	bcr	ambiguous		tʃaktala	A small upper-right corner-like modifier is printed after visible `tʃak` before `tala`; its value is not inferred.
113	palm	3	0	attested	hatɛr tɔla		
113	palm	4	q	attested	tʃak pata		
114	finger	1	lm	ambiguous		tʃakʃi	A small upper-right corner-like modifier is printed after visible `tʃak` before `ʃi`; its value is not inferred.
114	finger	1	bcr	attested	tʃaʃi		
114	finger	2	0	attested	aŋgur		
114	finger	2	q	attested	aŋul		
