physical_page	printed_page	item	gloss	group	site_code	site	role	status	form	visible_base	note	evidence_sha256
55	54	192	to laugh	1	b	Nokshi	target	attested	mini			6936ba1b43e5cc60dddb528eb0ecfec2b2736c271b95367e9eefcd4e4732a02a
55	54	192	to laugh	1	c	Kholchanda	target	attested	mini			6936ba1b43e5cc60dddb528eb0ecfec2b2736c271b95367e9eefcd4e4732a02a
55	54	192	to laugh	1	q	Uttor Nokshi	target	attested	mimin			6936ba1b43e5cc60dddb528eb0ecfec2b2736c271b95367e9eefcd4e4732a02a
55	54	192	to laugh	1	r	Chandabhoi	target	attested	mini			6936ba1b43e5cc60dddb528eb0ecfec2b2736c271b95367e9eefcd4e4732a02a
55	54	192	to laugh	1	l	Bharatpur	control	attested	mɨnei̯			6936ba1b43e5cc60dddb528eb0ecfec2b2736c271b95367e9eefcd4e4732a02a
55	54	192	to laugh	1	m	Nalchapra	control	attested	mɨnei̯			6936ba1b43e5cc60dddb528eb0ecfec2b2736c271b95367e9eefcd4e4732a02a
55	54	192	to laugh	2	0	Bangla	control	attested	haʃa			6936ba1b43e5cc60dddb528eb0ecfec2b2736c271b95367e9eefcd4e4732a02a
55	54	193	to speak	1	b	Nokshi	target	attested	bar			6936ba1b43e5cc60dddb528eb0ecfec2b2736c271b95367e9eefcd4e4732a02a
55	54	193	to speak	1	c	Kholchanda	target	attested	bar			6936ba1b43e5cc60dddb528eb0ecfec2b2736c271b95367e9eefcd4e4732a02a
55	54	193	to speak	1	q	Uttor Nokshi	target	attested	bar			6936ba1b43e5cc60dddb528eb0ecfec2b2736c271b95367e9eefcd4e4732a02a
55	54	193	to speak	1	r	Chandabhoi	target	attested	bar			6936ba1b43e5cc60dddb528eb0ecfec2b2736c271b95367e9eefcd4e4732a02a
55	54	193	to speak	1	l	Bharatpur	control	attested	bal			6936ba1b43e5cc60dddb528eb0ecfec2b2736c271b95367e9eefcd4e4732a02a
55	54	193	to speak	1	m	Nalchapra	control	attested	bal			6936ba1b43e5cc60dddb528eb0ecfec2b2736c271b95367e9eefcd4e4732a02a
55	54	193	to speak	1	0	Bangla	control	attested	bɔla			6936ba1b43e5cc60dddb528eb0ecfec2b2736c271b95367e9eefcd4e4732a02a
55	54	194	to tell	0	b	Nokshi	target	not_used			Source explicitly marks the item `[not used]` globally.	6936ba1b43e5cc60dddb528eb0ecfec2b2736c271b95367e9eefcd4e4732a02a
55	54	194	to tell	0	c	Kholchanda	target	not_used			Source explicitly marks the item `[not used]` globally.	6936ba1b43e5cc60dddb528eb0ecfec2b2736c271b95367e9eefcd4e4732a02a
55	54	194	to tell	0	q	Uttor Nokshi	target	not_used			Source explicitly marks the item `[not used]` globally.	6936ba1b43e5cc60dddb528eb0ecfec2b2736c271b95367e9eefcd4e4732a02a
55	54	194	to tell	0	r	Chandabhoi	target	not_used			Source explicitly marks the item `[not used]` globally.	6936ba1b43e5cc60dddb528eb0ecfec2b2736c271b95367e9eefcd4e4732a02a
55	54	194	to tell	0	l	Bharatpur	control	not_used			Source explicitly marks the item `[not used]` globally.	6936ba1b43e5cc60dddb528eb0ecfec2b2736c271b95367e9eefcd4e4732a02a
55	54	194	to tell	0	m	Nalchapra	control	not_used			Source explicitly marks the item `[not used]` globally.	6936ba1b43e5cc60dddb528eb0ecfec2b2736c271b95367e9eefcd4e4732a02a
55	54	194	to tell	0	0	Bangla	control	not_used			Source explicitly marks the item `[not used]` globally.	6936ba1b43e5cc60dddb528eb0ecfec2b2736c271b95367e9eefcd4e4732a02a
55	54	195	to know	1	b	Nokshi	target	attested	tʰarman			6936ba1b43e5cc60dddb528eb0ecfec2b2736c271b95367e9eefcd4e4732a02a
55	54	195	to know	1	c	Kholchanda	target	attested	tʰarman			6936ba1b43e5cc60dddb528eb0ecfec2b2736c271b95367e9eefcd4e4732a02a
55	54	195	to know	3	q	Uttor Nokshi	target	attested	dʒana			6936ba1b43e5cc60dddb528eb0ecfec2b2736c271b95367e9eefcd4e4732a02a
55	54	195	to know	1	r	Chandabhoi	target	attested	tʰarman			6936ba1b43e5cc60dddb528eb0ecfec2b2736c271b95367e9eefcd4e4732a02a
55	54	195	to know	2	l	Bharatpur	control	attested	tiŋ			6936ba1b43e5cc60dddb528eb0ecfec2b2736c271b95367e9eefcd4e4732a02a
55	54	195	to know	2	m	Nalchapra	control	attested	tiŋ			6936ba1b43e5cc60dddb528eb0ecfec2b2736c271b95367e9eefcd4e4732a02a
55	54	195	to know	3	0	Bangla	control	attested	dʒana			6936ba1b43e5cc60dddb528eb0ecfec2b2736c271b95367e9eefcd4e4732a02a
55	54	196	to forget	1	b	Nokshi	target	ambiguous		wandatlai̯	A small upper-right corner-like modifier is printed after visible `wandat` before `lai̯`; its value is not inferred.	6936ba1b43e5cc60dddb528eb0ecfec2b2736c271b95367e9eefcd4e4732a02a
55	54	196	to forget	1	c	Kholchanda	target	attested	wandalai̯			6936ba1b43e5cc60dddb528eb0ecfec2b2736c271b95367e9eefcd4e4732a02a
55	54	196	to forget	4	q	Uttor Nokshi	target	attested	mon hara			6936ba1b43e5cc60dddb528eb0ecfec2b2736c271b95367e9eefcd4e4732a02a
55	54	196	to forget	1	r	Chandabhoi	target	ambiguous		wandatlai̯	A small upper-right corner-like modifier is printed after visible `wandat` before `lai̯`; its value is not inferred.	6936ba1b43e5cc60dddb528eb0ecfec2b2736c271b95367e9eefcd4e4732a02a
55	54	196	to forget	2	l	Bharatpur	control	attested	awan			6936ba1b43e5cc60dddb528eb0ecfec2b2736c271b95367e9eefcd4e4732a02a
55	54	196	to forget	2	m	Nalchapra	control	attested	awan			6936ba1b43e5cc60dddb528eb0ecfec2b2736c271b95367e9eefcd4e4732a02a
55	54	196	to forget	3	0	Bangla	control	attested	bʰulɛ dʒawa			6936ba1b43e5cc60dddb528eb0ecfec2b2736c271b95367e9eefcd4e4732a02a
55	54	197	to sleep	1	b	Nokshi	target	attested	dʒu			6936ba1b43e5cc60dddb528eb0ecfec2b2736c271b95367e9eefcd4e4732a02a
