item	gloss	group	site_codes	status	form	visible_base	note
301	2s (honorific)	0	0bclmqr	not_used			Source explicitly marks the item `[not used]` globally.
302	3s (generic/male)	1	r	attested	odʒa		
302	3s (generic/male)	1	bc	attested	udʒa		
302	3s (generic/male)	2	lm	attested	uwɛ		
302	3s (generic/male)	3	0	attested	ʃɛ		
302	3s (generic/male)	4	q	attested	wa.a		
303	3s (female)	0	0bclmqr	not_used			Source explicitly marks the item `[not used]` globally.
304	1p	1	bcr	attested	nindra		
304	1p	2	lm	attested	nanaŋ		
304	1p	3	0	attested	amra		
304	1p	4	q	attested	nuŋ		
305	2p (familiar)	1	bcr	attested	nandra		
305	2p (familiar)	2	lm	attested	natim		
305	2p (familiar)	3	0	attested	tomra		
305	2p (familiar)	4	q	attested	napru		
306	2p (honorific)	0	0bclmqr	not_used			Source explicitly marks the item `[not used]` globally.
307	3p	1	cr	attested	odra		
307	3p	1	b	attested	udara		
307	3p	2	lm	attested	itim		
307	3p	3	0	attested	tara		
307	3p	4	q	attested	utupru		
