item	gloss	group	site_codes	status	form	visible_base	note
207	to tie	0	l	blank			Source explicitly prints `no entry` for this site.
207	to tie	1	cmr	attested	kʰa		
207	to tie	2	bq	attested	ha		
207	to tie	3	0	attested	bãdʰa		
208	to wipe	1	bcr	ambiguous		tʃʰit	A small upper-right corner-like modifier is printed after final visible `tʃʰit`; its value is not inferred.
208	to wipe	2	lm	ambiguous		ʃɛʃɛt	A small upper-right corner-like modifier is printed after final visible `ʃɛʃɛt`; its value is not inferred.
208	to wipe	3	0	attested	motʃʰa		
208	to wipe	4	q	attested	musruk		
209	to weave (on loom)	1	bcr	ambiguous		tak	A small upper-right corner-like modifier is printed after final visible `tak`; its value is not inferred.
209	to weave (on loom)	1	m	ambiguous		tok	A small upper-right corner-like modifier is printed after final visible `tok`; its value is not inferred.
209	to weave (on loom)	2	q	attested	bakai̯		
209	to weave (on loom)	2	l	attested	banai̯		
209	to weave (on loom)	3	0	attested	tatɛ bona		
210	to sew	1	lm	ambiguous		ʃuk	A small upper-right corner-like modifier is printed after final visible `ʃuk`; its value is not inferred.
210	to sew	2	bcr	attested	pʰuŋ		
210	to sew	3	0	attested	ʃɛlai̯ kɔra		
210	to sew	4	q	attested	ʃilai̯ nɛk		
211	to wash (face/hand)	1	bcqr	attested	gin		
211	to wash (face/hand)	2	l	ambiguous		ʃuʃuk	A small upper-right corner-like modifier is printed after final visible `ʃuʃuk`; its value is not inferred.
211	to wash (face/hand)	2	m	ambiguous		ʃuʃut	A small upper-right corner-like modifier is printed after final visible `ʃuʃut`; its value is not inferred.
211	to wash (face/hand)	3	0	attested	dʰoa		
212	to take bath	1	bcr	attested	tilu		
212	to take bath	1	lm	attested	tei̯ru		
212	to take bath	2	0	attested	gosol kɔra		
212	to take bath	3	q	attested	tuluk		
212	to take bath	3	bcr	attested	tilu		Repeated source response for the same sites in a second printed group; preserved as separate occurrences.
213	to cut something	1	bclmr	attested	kʰan		
213	to cut something	2	0	attested	kaʈa		
213	to cut something	3	q	attested	handok		
