item	gloss	group	site_codes	status	form	visible_base	note
29	morning	1	lm	attested	walni		
29	morning	2	bc	ambiguous		manat	A small upper-right corner-like modifier follows the visible final `t`; its value is not inferred.
29	morning	2	r	attested	manap		
29	morning	3	0	attested	ʃokal		
29	morning	4	q	attested	bihan		
30	noon	1	m	attested	ʃanmadʒi		
30	noon	2	0bclqr	attested	dupur		
31	evening	1	r	attested	dasum		
31	evening	1	lm	attested	gasam		
31	evening	1	bc	attested	gasum		
31	evening	2	0	attested	ʃondʰa		
31	evening	3	q	attested	bɛlabati		
32	night	1	lm	attested	wal		
32	night	2	bcr	ambiguous		pʰarok	A small upper-right corner-like modifier follows the visible final `k`; its value is not inferred.
32	night	3	0	attested	rat		
32	night	4	q	attested	pʰar		
33	paddy rice	1	bclmqr	attested	mai̯		
33	paddy rice	2	0	attested	dʰan		
