physical_page	printed_page	item	gloss	group	site_code	site	role	status	form	visible_base	note	evidence_sha256
56	55	200	to work	1	b	Nokshi	target	attested	kam lau̯			a9fda0dbd18e668f3e98c6d49655ff001742070753fe5e97fcc9236e024df03a
56	55	200	to work	1	c	Kholchanda	target	attested	kam lau̯			a9fda0dbd18e668f3e98c6d49655ff001742070753fe5e97fcc9236e024df03a
56	55	200	to work	1	q	Uttor Nokshi	target	attested	kam lau̯			a9fda0dbd18e668f3e98c6d49655ff001742070753fe5e97fcc9236e024df03a
56	55	200	to work	1	r	Chandabhoi	target	attested	kam lau̯			a9fda0dbd18e668f3e98c6d49655ff001742070753fe5e97fcc9236e024df03a
56	55	200	to work	1	l	Bharatpur	control	attested	kam pii̯			a9fda0dbd18e668f3e98c6d49655ff001742070753fe5e97fcc9236e024df03a
56	55	200	to work	1	m	Nalchapra	control	attested	kam pii̯			a9fda0dbd18e668f3e98c6d49655ff001742070753fe5e97fcc9236e024df03a
56	55	200	to work	2	0	Bangla	control	attested	kadʒ kɔra			a9fda0dbd18e668f3e98c6d49655ff001742070753fe5e97fcc9236e024df03a
56	55	201	to play	1	b	Nokshi	target	attested	kʰɛl			a9fda0dbd18e668f3e98c6d49655ff001742070753fe5e97fcc9236e024df03a
56	55	201	to play	1	c	Kholchanda	target	attested	kʰɛl			a9fda0dbd18e668f3e98c6d49655ff001742070753fe5e97fcc9236e024df03a
56	55	201	to play	1	q	Uttor Nokshi	target	attested	kʰɛla			a9fda0dbd18e668f3e98c6d49655ff001742070753fe5e97fcc9236e024df03a
56	55	201	to play	1	r	Chandabhoi	target	attested	kʰɛl			a9fda0dbd18e668f3e98c6d49655ff001742070753fe5e97fcc9236e024df03a
56	55	201	to play	1	l	Bharatpur	control	attested	kʰɛlai̯			a9fda0dbd18e668f3e98c6d49655ff001742070753fe5e97fcc9236e024df03a
56	55	201	to play	1	m	Nalchapra	control	attested	kʰɛlai̯			a9fda0dbd18e668f3e98c6d49655ff001742070753fe5e97fcc9236e024df03a
56	55	201	to play	1	0	Bangla	control	attested	kʰɛla			a9fda0dbd18e668f3e98c6d49655ff001742070753fe5e97fcc9236e024df03a
56	55	202	to dance	1	b	Nokshi	target	attested	baʃa			a9fda0dbd18e668f3e98c6d49655ff001742070753fe5e97fcc9236e024df03a
56	55	202	to dance	1	c	Kholchanda	target	attested	baʃa			a9fda0dbd18e668f3e98c6d49655ff001742070753fe5e97fcc9236e024df03a
56	55	202	to dance	3	q	Uttor Nokshi	target	attested	buʃuk			a9fda0dbd18e668f3e98c6d49655ff001742070753fe5e97fcc9236e024df03a
56	55	202	to dance	1	r	Chandabhoi	target	attested	baʃa			a9fda0dbd18e668f3e98c6d49655ff001742070753fe5e97fcc9236e024df03a
56	55	202	to dance	1	l	Bharatpur	control	attested	biʃi			a9fda0dbd18e668f3e98c6d49655ff001742070753fe5e97fcc9236e024df03a
56	55	202	to dance	1	m	Nalchapra	control	attested	biʃii̯			a9fda0dbd18e668f3e98c6d49655ff001742070753fe5e97fcc9236e024df03a
56	55	202	to dance	2	0	Bangla	control	attested	natʃa			a9fda0dbd18e668f3e98c6d49655ff001742070753fe5e97fcc9236e024df03a
56	55	203	to throw	1	b	Nokshi	target	ambiguous		tʰuk	A small upper-right corner-like modifier is printed after final visible `tʰuk`; its value is not inferred.	a9fda0dbd18e668f3e98c6d49655ff001742070753fe5e97fcc9236e024df03a
56	55	203	to throw	1	c	Kholchanda	target	ambiguous		tʰuk	A small upper-right corner-like modifier is printed after final visible `tʰuk`; its value is not inferred.	a9fda0dbd18e668f3e98c6d49655ff001742070753fe5e97fcc9236e024df03a
56	55	203	to throw	4	q	Uttor Nokshi	target	attested	dʌmpʰai̯			a9fda0dbd18e668f3e98c6d49655ff001742070753fe5e97fcc9236e024df03a
56	55	203	to throw	1	r	Chandabhoi	target	ambiguous		tʰuk	A small upper-right corner-like modifier is printed after final visible `tʰuk`; its value is not inferred.	a9fda0dbd18e668f3e98c6d49655ff001742070753fe5e97fcc9236e024df03a
56	55	203	to throw	2	l	Bharatpur	control	ambiguous		tʰip	A small upper-right corner-like modifier is printed after final visible `tʰip`; its value is not inferred.	a9fda0dbd18e668f3e98c6d49655ff001742070753fe5e97fcc9236e024df03a
56	55	203	to throw	2	m	Nalchapra	control	ambiguous		tʰip	A small upper-right corner-like modifier is printed after final visible `tʰip`; its value is not inferred.	a9fda0dbd18e668f3e98c6d49655ff001742070753fe5e97fcc9236e024df03a
56	55	203	to throw	3	0	Bangla	control	attested	tʃʰora			a9fda0dbd18e668f3e98c6d49655ff001742070753fe5e97fcc9236e024df03a
56	55	204	to lift	1	b	Nokshi	target	attested	pai̯			a9fda0dbd18e668f3e98c6d49655ff001742070753fe5e97fcc9236e024df03a
56	55	204	to lift	1	c	Kholchanda	target	attested	pai̯			a9fda0dbd18e668f3e98c6d49655ff001742070753fe5e97fcc9236e024df03a
56	55	204	to lift	1	q	Uttor Nokshi	target	attested	pai̯			a9fda0dbd18e668f3e98c6d49655ff001742070753fe5e97fcc9236e024df03a
56	55	204	to lift	1	r	Chandabhoi	target	attested	pai̯			a9fda0dbd18e668f3e98c6d49655ff001742070753fe5e97fcc9236e024df03a
56	55	204	to lift	2	l	Bharatpur	control	attested	pai̯tao̯			a9fda0dbd18e668f3e98c6d49655ff001742070753fe5e97fcc9236e024df03a
56	55	204	to lift	2	m	Nalchapra	control	attested	pai̯tao̯			a9fda0dbd18e668f3e98c6d49655ff001742070753fe5e97fcc9236e024df03a
56	55	204	to lift	3	0	Bangla	control	ambiguous		tola	A small upper-right corner-like modifier is printed after final visible `tola`; its value is not inferred.	a9fda0dbd18e668f3e98c6d49655ff001742070753fe5e97fcc9236e024df03a
56	55	205	to push	1	b	Nokshi	target	attested	tʃur			a9fda0dbd18e668f3e98c6d49655ff001742070753fe5e97fcc9236e024df03a
56	55	205	to push	1	c	Kholchanda	target	attested	tʃur			a9fda0dbd18e668f3e98c6d49655ff001742070753fe5e97fcc9236e024df03a
56	55	205	to push	5	q	Uttor Nokshi	target	attested	dʰɛkar hao̯			a9fda0dbd18e668f3e98c6d49655ff001742070753fe5e97fcc9236e024df03a
56	55	205	to push	6	r	Chandabhoi	target	attested	butʃur			a9fda0dbd18e668f3e98c6d49655ff001742070753fe5e97fcc9236e024df03a
56	55	205	to push	2	l	Bharatpur	control	ambiguous		ʃipʰak	A small upper-right corner-like modifier is printed after final visible `ʃipʰak`; its value is not inferred.	a9fda0dbd18e668f3e98c6d49655ff001742070753fe5e97fcc9236e024df03a
56	55	205	to push	3	m	Nalchapra	control	attested	ʃikdou̯			a9fda0dbd18e668f3e98c6d49655ff001742070753fe5e97fcc9236e024df03a
56	55	205	to push	4	0	Bangla	control	attested	dʰakka dɛwa			a9fda0dbd18e668f3e98c6d49655ff001742070753fe5e97fcc9236e024df03a
56	55	206	to pull	1	b	Nokshi	target	ambiguous		but	A small upper-right corner-like modifier is printed after final visible `but`; its value is not inferred.	a9fda0dbd18e668f3e98c6d49655ff001742070753fe5e97fcc9236e024df03a
56	55	206	to pull	1	c	Kholchanda	target	ambiguous		but	A small upper-right corner-like modifier is printed after final visible `but`; its value is not inferred.	a9fda0dbd18e668f3e98c6d49655ff001742070753fe5e97fcc9236e024df03a
56	55	206	to pull	3	q	Uttor Nokshi	target	attested	buk			a9fda0dbd18e668f3e98c6d49655ff001742070753fe5e97fcc9236e024df03a
56	55	206	to pull	1	r	Chandabhoi	target	ambiguous		but	A small upper-right corner-like modifier is printed after final visible `but`; its value is not inferred.	a9fda0dbd18e668f3e98c6d49655ff001742070753fe5e97fcc9236e024df03a
56	55	206	to pull	1	l	Bharatpur	control	ambiguous		bɨt	A small upper-right corner-like modifier is printed after final visible `bɨt`; its value is not inferred.	a9fda0dbd18e668f3e98c6d49655ff001742070753fe5e97fcc9236e024df03a
56	55	206	to pull	1	m	Nalchapra	control	ambiguous		bɨt	A small upper-right corner-like modifier is printed after final visible `bɨt`; its value is not inferred.	a9fda0dbd18e668f3e98c6d49655ff001742070753fe5e97fcc9236e024df03a
56	55	206	to pull	2	0	Bangla	control	attested	ʈana			a9fda0dbd18e668f3e98c6d49655ff001742070753fe5e97fcc9236e024df03a
