item	gloss	group	site_codes	status	form	visible_base	note
129	woman	1	bcr	attested	tiri		
129	woman	2	lm	attested	gɨwui̯		
129	woman	3	0	attested	mohila		
129	woman	4	q	attested	madʒu		
130	father	1	0	attested	abba		Site `0` has a second separately printed attestation at group 3.
130	father	2	bcmr	attested	awa		
130	father	3	0lq	attested	baba		Site `0` also has the separately printed group-1 response `abba`.
131	mother	1	lm	attested	ama		
131	mother	1	bcr	attested	amai̯		
131	mother	1	0	attested	ma / amma		Source prints both alternatives on one response line separated by a slash.
131	mother	2	q	attested	ai̯jʌ		
132	husband	1	bcr	attested	mitʰala		
132	husband	2	lm	ambiguous		dʒikbipʰa	A small upper-right corner-like modifier is printed after visible `dʒik` before `bipʰa`; its value is not inferred.
132	husband	3	0	attested	ʃami		
132	husband	4	q	attested	mijʌ		
133	wife	1	q	attested	miʃik		
133	wife	1	bcr	ambiguous		mitʃik	A small upper-right corner-like modifier is printed after final visible `mitʃik`; its value is not inferred.
133	wife	2	lm	ambiguous		dʒikgɨwui̯	A small upper-right corner-like modifier is printed after visible `dʒik` before `gɨwui̯`; its value is not inferred.
133	wife	3	0	attested	stri		
134	son	1	bcr	attested	piʃa		
134	son	2	lm	attested	ʃa bipʰa		
134	son	3	0	attested	tʃʰɛlɛ		
134	son	4	q	attested	tʃʰaʃa		
135	daughter	1	c	attested	(tiri) piʃa		
135	daughter	1	br	attested	piʃa (tiri)		
135	daughter	2	lm	attested	ʃa gɨwui̯		
135	daughter	3	0	attested	mɛjɛ		
135	daughter	4	q	attested	madʒu tʃʰaʃa		
