item	gloss	group	site_codes	status	form	visible_base	note
1	sky	1	c	attested	ʃagu		
1	sky	1	b	attested	sagu		
1	sky	2	lm	attested	raŋra		
1	sky	3	0	attested	akaʃ		
1	sky	4	qr	attested	dɪn		
2	sun	1	m	attested	raŋʃan		
2	sun	1	l	attested	raŋʃaŋ		
2	sun	1	q	attested	raʃan		
2	sun	1	bcr	attested	rasan		
2	sun	2	0	attested	ʃudʒo		
3	moon	1	q	attested	naŋrɛk		
3	moon	1	c	ambiguous		raŋgrɛk	A small upper-right corner-like modifier follows final k; its value is not inferred.
3	moon	1	br	attested	raŋrɛ		
3	moon	2	m	attested	tʃaŋ ɨi̯		
3	moon	2	l	attested	tʃaŋ ai̯		
3	moon	3	0	attested	tʃãd		
4	star	1	lm	attested	askuɨ̯		
4	star	2	0bcqr	attested	tara		
5	cloud	1	m	attested	gadʒɨla		
5	cloud	1	l	attested	gadɨla		
5	cloud	1	bcr	attested	gadla		
5	cloud	2	0	attested	mɛgʰ		
5	cloud	3	q	attested	ap		
6	rain	1	bclmqr	attested	raŋ		
6	rain	2	0	attested	brɪʃtɪ		
7	rainbow	0	l	blank			Printed “no entry”.
7	rainbow	1	m	attested	tʃɛŋroŋ		
7	rainbow	2	bc	ambiguous		ramdʰonuk	A small upper-right corner-like modifier follows final k; its value is not inferred.
7	rainbow	2	0qr	attested	rɔŋdʰonu		
8	wind	1	lm	attested	baluə̯		
8	wind	2	bcr	attested	lampar		
8	wind	2	q	attested	nampar		
8	wind	3	0	attested	bataʃ		
9	lightning	1	c	attested	raŋtʃi lo̯uni		
9	lightning	1	b	attested	raŋtʃim la̯uni		
9	lightning	2	lm	attested	raŋ dɪlɪppa		
9	lightning	3	0	attested	bɪddut tʃɔmkano		
9	lightning	4	q	attested	tʃilkai̯to		
9	lightning	5	r	attested	raŋkarni		
10	thunder	0	b	blank			Printed “no entry”.
10	thunder	1	c	attested	raŋpatni		
10	thunder	1	r	attested	raŋkuŋni		
10	thunder	2	lm	attested	raŋ kɨrɨŋwa		
10	thunder	3	0	attested	mɛgʰ gɔɽdʒon		
10	thunder	4	q	attested	karto		
11	sea	1	0bclmqr	attested	ʃagor		
12	mountain	0	l	blank			Printed “no entry”.
12	mountain	1	bc	attested	bono		
12	mountain	2	m	attested	haʔpri		
12	mountain	3	0q	attested	pahaɽ		
12	mountain	4	r	attested	hakuŋ		
13	water	1	lm	attested	tɨi̯		
13	water	1	bcr	attested	ti		
13	water	2	0	attested	pani		
13	water	3	q	attested	tika		
