item	gloss	group	site_codes	status	form	visible_base	note
101	neck	1	bcr	attested	kalkʰu		
101	neck	2	lm	attested	tokrɛŋ		
101	neck	3	q	attested	gala		
101	neck	3	0	attested	gɔla		
102	hair	1	bclmr	attested	kʰau̯		
102	hair	2	0	attested	tʃul		
102	hair	3	q	attested	hʌu̯		
103	eye	1	lm	attested	mɨkrɛŋ		
103	eye	1	bcr	ambiguous		mokkon	A small upper-right corner-like modifier is printed between visible `mok` and `kon`; its value is not inferred. Repeated source response at groups 1 and 3.
103	eye	2	0	attested	tʃok		
103	eye	3	q	attested	nukun		
103	eye	3	bcr	ambiguous		mokkon	A small upper-right corner-like modifier is printed between visible `mok` and `kon`; its value is not inferred. Repeated source response at groups 1 and 3.
104	nose	1	bcr	ambiguous		nakkuŋ	A small upper-right corner-like modifier is printed between visible `nak` and `kuŋ`; its value is not inferred.
104	nose	1	lm	attested	nakʰuŋ		
104	nose	1	q	attested	nakuŋ		
104	nose	2	0	attested	nak		
