item	gloss	group	site_codes	status	form	visible_base	note
150	ring (on finger)	1	0lmr	attested	aŋti		
150	ring (on finger)	1	bcq	attested	antʰi		
151	clothing	1	m	attested	bara		
151	clothing	2	qr	attested	ʃoka		
151	clothing	2	bc	attested	soka		
151	clothing	3	l	attested	tʃola		
151	clothing	4	0	attested	poʃak		
152	cloth	0	0bclmqr	not_used			Source explicitly marks the item `[not used]` globally.
153	medicine	1	lm	attested	sam		
153	medicine	2	bcr	ambiguous		pantʃak	A small upper-right corner-like modifier is printed after final visible `pantʃak`; its value is not inferred.
153	medicine	3	0	attested	oʃud		
153	medicine	4	q	attested	paŋkur		
154	paper	1	bclmr	ambiguous		lɛkkʰa	A small upper-right corner-like modifier is printed after visible `lɛk` before `kʰa`; its value is not inferred.
154	paper	2	0q	attested	kagodʒ		
155	needle	1	bc	attested	suʃi		
155	needle	2	lm	attested	sɨlʃimi		
155	needle	3	0	attested	ʃutʃ		
155	needle	3	r	attested	ʃuʃi		
155	needle	4	q	attested	bindi		
156	thread	1	bcr	attested	kʰuntiŋ		
156	thread	1	q	attested	kintiŋ		Repeated source response at groups 1 and 2.
156	thread	2	q	attested	kintiŋ		Repeated source response at groups 1 and 2.
156	thread	2	lm	attested	pitiŋ		
156	thread	3	0	attested	ʃuta		
157	broom	1	bcr	ambiguous		nohɛk	A small upper-right corner-like modifier is printed after final visible `nohɛk`; its value is not inferred.
157	broom	1	lm	ambiguous		nogɛk	A small upper-right corner-like modifier is printed after final visible `nogɛk`; its value is not inferred.
157	broom	2	0	attested	dʒʰaru		
157	broom	3	q	attested	tʃatabari		
