item	gloss	group	site_codes	status	form	visible_base	note
108	mouth	1	bcr	attested	kʰutʃar		
108	mouth	1	lm	ambiguous		kʰutʃuk	A small upper-right corner-like modifier is printed after visible `kʰutʃuk`; its value is not inferred.
108	mouth	2	0	attested	muk		
108	mouth	3	q	attested	hotoŋ		
109	tongue	1	bcr	attested	tʰalai̯		
109	tongue	2	lm	attested	tʰɛlampa		
109	tongue	3	q	attested	dʒibʌ		
109	tongue	3	0	attested	dʒib		
110	tooth	1	lm	attested	wa		
110	tooth	2	bc	attested	tʰa		
110	tooth	3	0	attested	dãt		
110	tooth	4	qr	attested	pʰa		
111	elbow	1	c	attested	tʃa gilai̯		
111	elbow	1	q	attested	tʃa gilʌ		
111	elbow	1	br	ambiguous		tʃak gilai̯	A small upper-right corner-like modifier is printed after visible `tʃak` before `gilai̯`; its value is not inferred.
111	elbow	2	l	ambiguous		tʃaktʃuk	Small upper-right corner-like modifiers are printed after both visible `k` segments; neither value is inferred.
111	elbow	3	m	ambiguous		tʃakwɛŋ	A small upper-right corner-like modifier is printed after visible `tʃak` before `wɛŋ`; its value is not inferred.
111	elbow	4	0	attested	konui̯		
