physical_page	printed_page	item	gloss	group	site_code	site	role	status	form	visible_base	note	evidence_sha256
53	52	158	spoon (for eating)	1	b	Nokshi	target	attested	kortʃali			25a89f34b1370fa0719c3c9424fe027c411feaff99a71be96519d31479ac2f72
53	52	158	spoon (for eating)	1	c	Kholchanda	target	attested	kortʃila			25a89f34b1370fa0719c3c9424fe027c411feaff99a71be96519d31479ac2f72
53	52	158	spoon (for eating)	1	q	Uttor Nokshi	target	attested	kortʃali			25a89f34b1370fa0719c3c9424fe027c411feaff99a71be96519d31479ac2f72
53	52	158	spoon (for eating)	2	r	Chandabhoi	target	attested	tʃamotʃ			25a89f34b1370fa0719c3c9424fe027c411feaff99a71be96519d31479ac2f72
53	52	158	spoon (for eating)	2	l	Bharatpur	control	attested	tʃamotʃ			25a89f34b1370fa0719c3c9424fe027c411feaff99a71be96519d31479ac2f72
53	52	158	spoon (for eating)	2	m	Nalchapra	control	attested	tʃamotʃ			25a89f34b1370fa0719c3c9424fe027c411feaff99a71be96519d31479ac2f72
53	52	158	spoon (for eating)	2	0	Bangla	control	attested	tʃamotʃ			25a89f34b1370fa0719c3c9424fe027c411feaff99a71be96519d31479ac2f72
53	52	159	knife (to cut meat)	0	b	Nokshi	target	not_used			Source explicitly marks the item `[not used]` globally.	25a89f34b1370fa0719c3c9424fe027c411feaff99a71be96519d31479ac2f72
53	52	159	knife (to cut meat)	0	c	Kholchanda	target	not_used			Source explicitly marks the item `[not used]` globally.	25a89f34b1370fa0719c3c9424fe027c411feaff99a71be96519d31479ac2f72
53	52	159	knife (to cut meat)	0	q	Uttor Nokshi	target	not_used			Source explicitly marks the item `[not used]` globally.	25a89f34b1370fa0719c3c9424fe027c411feaff99a71be96519d31479ac2f72
53	52	159	knife (to cut meat)	0	r	Chandabhoi	target	not_used			Source explicitly marks the item `[not used]` globally.	25a89f34b1370fa0719c3c9424fe027c411feaff99a71be96519d31479ac2f72
53	52	159	knife (to cut meat)	0	l	Bharatpur	control	not_used			Source explicitly marks the item `[not used]` globally.	25a89f34b1370fa0719c3c9424fe027c411feaff99a71be96519d31479ac2f72
53	52	159	knife (to cut meat)	0	m	Nalchapra	control	not_used			Source explicitly marks the item `[not used]` globally.	25a89f34b1370fa0719c3c9424fe027c411feaff99a71be96519d31479ac2f72
53	52	159	knife (to cut meat)	0	0	Bangla	control	not_used			Source explicitly marks the item `[not used]` globally.	25a89f34b1370fa0719c3c9424fe027c411feaff99a71be96519d31479ac2f72
53	52	160	hammer	1	b	Nokshi	target	attested	hatur			25a89f34b1370fa0719c3c9424fe027c411feaff99a71be96519d31479ac2f72
53	52	160	hammer	1	c	Kholchanda	target	attested	hatur			25a89f34b1370fa0719c3c9424fe027c411feaff99a71be96519d31479ac2f72
53	52	160	hammer	1	q	Uttor Nokshi	target	attested	hatur			25a89f34b1370fa0719c3c9424fe027c411feaff99a71be96519d31479ac2f72
53	52	160	hammer	1	r	Chandabhoi	target	attested	hatur			25a89f34b1370fa0719c3c9424fe027c411feaff99a71be96519d31479ac2f72
53	52	160	hammer	1	l	Bharatpur	control	attested	hatur			25a89f34b1370fa0719c3c9424fe027c411feaff99a71be96519d31479ac2f72
53	52	160	hammer	1	m	Nalchapra	control	attested	hatur			25a89f34b1370fa0719c3c9424fe027c411feaff99a71be96519d31479ac2f72
53	52	160	hammer	1	0	Bangla	control	attested	haturi			25a89f34b1370fa0719c3c9424fe027c411feaff99a71be96519d31479ac2f72
53	52	161	axe	2	b	Nokshi	target	attested	wakɛŋ			25a89f34b1370fa0719c3c9424fe027c411feaff99a71be96519d31479ac2f72
53	52	161	axe	2	c	Kholchanda	target	attested	wakɛŋ			25a89f34b1370fa0719c3c9424fe027c411feaff99a71be96519d31479ac2f72
53	52	161	axe	1	q	Uttor Nokshi	target	attested	ruwa			25a89f34b1370fa0719c3c9424fe027c411feaff99a71be96519d31479ac2f72
53	52	161	axe	2	r	Chandabhoi	target	attested	wakɛŋ			25a89f34b1370fa0719c3c9424fe027c411feaff99a71be96519d31479ac2f72
53	52	161	axe	3	l	Bharatpur	control	attested	kutʰar			25a89f34b1370fa0719c3c9424fe027c411feaff99a71be96519d31479ac2f72
