item	gloss	group	site_codes	status	form	visible_base	note
47	root	1	lm	attested	tʃadi̯l		
47	root	1	b	attested	tʃatal		Repeated source response under groups 1 and 4 for this site.
47	root	1	c	attested	tʃatʰal		Repeated source response under groups 1 and 4 for this site.
47	root	2	0	attested	mul		
47	root	3	q	attested	hikra		
47	root	4	r	attested	tʃatar		
47	root	4	b	attested	tʃatal		Repeated source response under groups 1 and 4 for this site.
47	root	4	c	attested	tʃatʰal		Repeated source response under groups 1 and 4 for this site.
48	bamboo	1	bclqr	attested	wa		
48	bamboo	2	m	attested	wakai̯		
48	bamboo	3	0	attested	bãʃ		
49	fruit	1	bclmqr	attested	tʰai̯		
49	fruit	2	0	attested	pʰɔl		
50	jackfruit	1	q	attested	pai̯tʃuŋ		
50	jackfruit	1	bcr	attested	paŋtʃuŋ		
50	jackfruit	1	lm	attested	pantʃum		
50	jackfruit	2	0	attested	katʰal		
51	coconut (ripe)	1	0lm	attested	narikɛl		
51	coconut (ripe)	1	q	attested	narkul		
51	coconut (ripe)	2	bcr	attested	daba		
