physical_page	printed_page	item	gloss	group	site_code	site	role	status	form	visible_base	note	evidence_sha256
46	45	57	betelnut	1 | 2	b	Nokshi	target	attested	goja		Repeated source response under groups 1 and 2 for the same sites. Repeated source response under groups 1 and 2 for the same sites.	5b9f3054612b851ade94be5a2f9d6ff0c1f6a355b3af0f5bc9d1260868d0b735
46	45	57	betelnut	1 | 2	c	Kholchanda	target	attested	goja		Repeated source response under groups 1 and 2 for the same sites. Repeated source response under groups 1 and 2 for the same sites.	5b9f3054612b851ade94be5a2f9d6ff0c1f6a355b3af0f5bc9d1260868d0b735
46	45	57	betelnut	2	q	Uttor Nokshi	target	attested	goi			5b9f3054612b851ade94be5a2f9d6ff0c1f6a355b3af0f5bc9d1260868d0b735
46	45	57	betelnut	1 | 2	r	Chandabhoi	target	attested	goja		Repeated source response under groups 1 and 2 for the same sites. Repeated source response under groups 1 and 2 for the same sites.	5b9f3054612b851ade94be5a2f9d6ff0c1f6a355b3af0f5bc9d1260868d0b735
46	45	57	betelnut	1	l	Bharatpur	control	attested	gawai̯			5b9f3054612b851ade94be5a2f9d6ff0c1f6a355b3af0f5bc9d1260868d0b735
46	45	57	betelnut	1	m	Nalchapra	control	attested	gawai̯			5b9f3054612b851ade94be5a2f9d6ff0c1f6a355b3af0f5bc9d1260868d0b735
46	45	57	betelnut	3	0	Bangla	control	attested	ʃupari			5b9f3054612b851ade94be5a2f9d6ff0c1f6a355b3af0f5bc9d1260868d0b735
46	45	58	lime for betelnut	1	b	Nokshi	target	attested	tʃunu			5b9f3054612b851ade94be5a2f9d6ff0c1f6a355b3af0f5bc9d1260868d0b735
46	45	58	lime for betelnut	1	c	Kholchanda	target	attested	tʃunu			5b9f3054612b851ade94be5a2f9d6ff0c1f6a355b3af0f5bc9d1260868d0b735
46	45	58	lime for betelnut	1	q	Uttor Nokshi	target	attested	tʃun			5b9f3054612b851ade94be5a2f9d6ff0c1f6a355b3af0f5bc9d1260868d0b735
46	45	58	lime for betelnut	1	r	Chandabhoi	target	attested	tʃunu			5b9f3054612b851ade94be5a2f9d6ff0c1f6a355b3af0f5bc9d1260868d0b735
46	45	58	lime for betelnut	1	l	Bharatpur	control	attested	tʃun			5b9f3054612b851ade94be5a2f9d6ff0c1f6a355b3af0f5bc9d1260868d0b735
46	45	58	lime for betelnut	1	m	Nalchapra	control	attested	tʃun			5b9f3054612b851ade94be5a2f9d6ff0c1f6a355b3af0f5bc9d1260868d0b735
46	45	58	lime for betelnut	1	0	Bangla	control	attested	tʃun			5b9f3054612b851ade94be5a2f9d6ff0c1f6a355b3af0f5bc9d1260868d0b735
46	45	59	liquor	2	b	Nokshi	target	attested	mɛra			5b9f3054612b851ade94be5a2f9d6ff0c1f6a355b3af0f5bc9d1260868d0b735
46	45	59	liquor	2	c	Kholchanda	target	attested	mɛra			5b9f3054612b851ade94be5a2f9d6ff0c1f6a355b3af0f5bc9d1260868d0b735
46	45	59	liquor	4	q	Uttor Nokshi	target	attested	tʃokot			5b9f3054612b851ade94be5a2f9d6ff0c1f6a355b3af0f5bc9d1260868d0b735
46	45	59	liquor	2	r	Chandabhoi	target	attested	mɛra			5b9f3054612b851ade94be5a2f9d6ff0c1f6a355b3af0f5bc9d1260868d0b735
46	45	59	liquor	1	l	Bharatpur	control	attested	tʃi̯u			5b9f3054612b851ade94be5a2f9d6ff0c1f6a355b3af0f5bc9d1260868d0b735
46	45	59	liquor	1	m	Nalchapra	control	attested	tʃi̯u			5b9f3054612b851ade94be5a2f9d6ff0c1f6a355b3af0f5bc9d1260868d0b735
