item	gloss	group	site_codes	status	form	visible_base	note
62	meat	1	bcr	ambiguous		pɛkɛn	A small upper-right corner-like modifier is printed between visible `k` and `ɛ`; its value is not inferred.
62	meat	2	lm	attested	randai̯		
62	meat	3	0	attested	maŋʃo		
62	meat	4	q	attested	kan		
63	salt	1	lm	attested	sim		
63	salt	1	bcqr	attested	sum		
63	salt	2	0	attested	lobon / nun		
64	onion	1	bcr	attested	pia̯o̯		
64	onion	2	l	attested	rai̯sun		
64	onion	2	m	attested	raʃun		
64	onion	3	0	attested	pɛa̯dʒ		
64	onion	4	q	attested	pɛdʒɛk		
65	garlic	1	0bclqr	attested	rɔʃun		
65	garlic	1	m	attested	ruʃun		
66	pepper	1	lm	attested	dʒirik		
66	pepper	1	q	attested	dʒai̯luk		
66	pepper	2	0	attested	moritʃ		
66	pepper	3	bcr	ambiguous		murtʃuk	A small upper-right corner-like modifier follows the visible final `k`; its value is not inferred.
