item	gloss	group	site_codes	status	form	visible_base	note
262	bitter	1	lm	attested	kʰa.a		
262	bitter	1	bcr	attested	kʰani		
262	bitter	2	0	attested	tita		
262	bitter	3	q	attested	ha.a		
263	spicy, hot	1	bcr	attested	burni		
263	spicy, hot	2	lm	attested	wɛla		
263	spicy, hot	3	0	attested	dʒʰal		
263	spicy, hot	4	q	attested	bora		
264	ripe	1	lm	attested	minna		
264	ripe	1	bcqr	attested	munni		
264	ripe	2	0	attested	paka		
265	rotten (fruit)	1	m	attested	sawa		
265	rotten (fruit)	1	l	ambiguous		sawok	A small upper-right corner-like modifier is printed after visible final `k`; its value is not inferred.
265	rotten (fruit)	2	q	attested	piʃa utrʌ		
265	rotten (fruit)	3	bc	attested	ʃau̯ni		
265	rotten (fruit)	3	r	attested	sau̯ni		
265	rotten (fruit)	4	0	attested	poʈʃa		
266	fast	1	bcr	attested	dɛtʃiŋni		
266	fast	2	lm	attested	mana		
266	fast	3	0q	attested	taɽataɽi		
267	slow	1	l	attested	kʰaʃin		
267	slow	1	m	attested	kʰaʃini		
267	slow	2	bc	ambiguous		tɛp	A small upper-right corner-like modifier is printed after visible final `p`; its value is not inferred.
267	slow	3	0qr	attested	dʰirɛ dʰirɛ		
268	same	1	c	attested	gonʃɛn		
268	same	1	r	attested	gotsɛn		
268	same	1	b	attested	gunsɛn		
268	same	2	m	attested	damʃan		
268	same	3	0	attested	ɛki		
268	same	4	q	attested	ɛk		
268	same	5	l	attested	apsan		
