Item	Gloss	Site_Code	PDF_Page	Printed_Page	Column	Page_Row	Manual_Transcription	Review_Status	Confidence	Uncertainty	Reviewer_Method	Reviewed_At	Reviewer_Declaration
40	Moon	MTP	30	24	left	1	tʃʌn̪ɖɾʌn	attested	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for dense glyphs; text scaffold not accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
40	Moon	MTV	30	24	left	1	nilaʋ	attested	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for dense glyphs; text scaffold not accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
40	Moon	MTE	30	24	left	1	tʃʌn̪ɖɾen	attested	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for dense glyphs; text scaffold not accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
40	Moon	MAL	30	24	left	1	tʃan̪ɖɾan	attested	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for dense glyphs; text scaffold not accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
40	Moon	TUL	30	24	left	1	tʃan̪ɖɾʌm	attested	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for dense glyphs; text scaffold not accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
40	Moon	KOD	30	24	left	1	tʃannuːɾa	attested	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for dense glyphs; text scaffold not accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
41	Sky	MTP	30	24	left	2	akaːʃʌm	attested	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for dense glyphs; text scaffold not accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
41	Sky	MTV	30	24	left	2	aːkaːʃʌm	attested	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for dense glyphs; text scaffold not accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
41	Sky	MTE	30	24	left	2	akaːʃam	attested	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for dense glyphs; text scaffold not accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
41	Sky	MAL	30	24	left	2	aːkaʃam	attested	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for dense glyphs; text scaffold not accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
