Item	Site	Site_Name	PDF_Page	Printed_Page	Column	Cell_Image	Raw_OCR	OCR_Alternates	Transcription	Review	Uncertainty	Blank	Notes
1	ANI	Ani	39	32	2	cells/i001-ANI-pdf039.png	dzusam /de			pending manual source-image review			
1	BAT	Bathad	37	30	3	cells/i001-BAT-pdf037.png	dzuşam.:			pending manual source-image review			
1	BHU	Bhutti Village / Lag Valley	38	31	3	cells/i001-BHU-pdf038.png	dzisim			pending manual source-image review			
1	CHI	Chinninal Village	35	28	2	cells/i001-CHI-pdf035.png	Jатe)			pending manual source-image review			
1	CHU	Churla / Lag Valley	34	27	2	cells/i001-CHU-pdf034.png	131s°m 2315			pending manual source-image review			
1	GAR	Garsah	38	31	1	cells/i001-GAR-pdf038.png	dzis'm			pending manual source-image review			
1	JIB	Jibhi	37	30	2	cells/i001-JIB-pdf037.png	dzisom			pending manual source-image review			
1	KUL	Kullu (District Headquarters)	38	31	2	cells/i001-KUL-pdf038.png	eizus'm			pending manual source-image review			
1	LOR	Loren / South Kullu Valley	34	27	3	cells/i001-LOR-pdf034.png				pending manual source-image review			
1	MAN	Manali	36	29	1	cells/i001-MAN-pdf036.png	'dzisam			pending manual source-image review			
1	MAR	Maraur Village	36	29	3	cells/i001-MAR-pdf036.png	Jaseif de			pending manual source-image review			
1	MNK	Manikaran	39	32	1	cells/i001-MNK-pdf039.png	dzisam			pending manual source-image review			
1	RAI	Raila Village	36	29	2	cells/i001-RAI-pdf036.png	'kaj^			pending manual source-image review			
1	SHA	Shalwar Village	35	28	1	cells/i001-SHA-pdf035.png	de:/puric			pending manual source-image review			
1	SHG	Shangarh	35	28	3	cells/i001-SHG-pdf035.png	de:			pending manual source-image review			
1	SID	Sidua	37	30	1	cells/i001-SID-pdf037.png	de			pending manual source-image review			
2	ANI	Ani	39	32	2	cells/i002-ANI-pdf039.png	munda			pending manual source-image review			
2	BAT	Bathad	37	30	3	cells/i002-BAT-pdf037.png	mund..			pending manual source-image review			
2	BHU	Bhutti Village / Lag Valley	38	31	3	cells/i002-BHU-pdf038.png				pending manual source-image review			
2	CHI	Chinninal Village	35	28	2	cells/i002-CHI-pdf035.png	ungà mond?			pending manual source-image review			
2	CHU	Churla / Lag Valley	34	27	2	cells/i002-CHU-pdf034.png	nonda 'rna			pending manual source-image review			
2	GAR	Garsah	38	31	1	cells/i002-GAR-pdf038.png	2. mandi			pending manual source-image review			
2	JIB	Jibhi	37	30	2	cells/i002-JIB-pdf037.png	mondo			pending manual source-image review			
2	KUL	Kullu (District Headquarters)	38	31	2	cells/i002-KUL-pdf038.png	Jif mind'			pending manual source-image review			
2	LOR	Loren / South Kullu Valley	34	27	3	cells/i002-LOR-pdf034.png	rile			pending manual source-image review			
2	MAN	Manali	36	29	1	cells/i002-MAN-pdf036.png	і 2. 'sIs			pending manual source-image review			
2	MAR	Maraur Village	36	29	3	cells/i002-MAR-pdf036.png	ти: /mond			pending manual source-image review			
2	MNK	Manikaran	39	32	1	cells/i002-MNK-pdf039.png	mundi			pending manual source-image review			
2	RAI	Raila Village	36	29	2	cells/i002-RAI-pdf036.png	mundo			pending manual source-image review			
2	SHA	Shalwar Village	35	28	1	cells/i002-SHA-pdf035.png	pikula /m			pending manual source-image review			
2	SHG	Shangarh	35	28	3	cells/i002-SHG-pdf035.png	'mund			pending manual source-image review			
2	SID	Sidua	37	30	1	cells/i002-SID-pdf037.png	munda			pending manual source-image review			
3	ANI	Ani	39	32	2	cells/i003-ANI-pdf039.png	mũ			pending manual source-image review			
3	BAT	Bathad	37	30	3	cells/i003-BAT-pdf037.png				pending manual source-image review			
3	BHU	Bhutti Village / Lag Valley	38	31	3	cells/i003-BHU-pdf038.png	mũ: /tEsn			pending manual source-image review			
3	CHI	Chinninal Village	35	28	2	cells/i003-CHI-pdf035.png	mu:			pending manual source-image review			
3	CHU	Churla / Lag Valley	34	27	2	cells/i003-CHU-pdf034.png	moths. D 111			pending manual source-image review			
3	GAR	Garsah	38	31	1	cells/i003-GAR-pdf038.png	mu:			pending manual source-image review			
3	JIB	Jibhi	37	30	2	cells/i003-JIB-pdf037.png	mo:			pending manual source-image review			
3	KUL	Kullu (District Headquarters)	38	31	2	cells/i003-KUL-pdf038.png	Mu:			pending manual source-image review			
3	LOR	Loren / South Kullu Valley	34	27	3	cells/i003-LOR-pdf034.png	=p)+.			pending manual source-image review			
3	MAN	Manali	36	29	1	cells/i003-MAN-pdf036.png	'тũ			pending manual source-image review			
3	MAR	Maraur Village	36	29	3	cells/i003-MAR-pdf036.png	mu:			pending manual source-image review			
3	MNK	Manikaran	39	32	1	cells/i003-MNK-pdf039.png	mund			pending manual source-image review			
3	RAI	Raila Village	36	29	2	cells/i003-RAI-pdf036.png	matha			pending manual source-image review			
3	SHA	Shalwar Village	35	28	1	cells/i003-SHA-pdf035.png	:h M1			pending manual source-image review			
3	SHG	Shangarh	35	28	3	cells/i003-SHG-pdf035.png	mu:			pending manual source-image review			
3	SID	Sidua	37	30	1	cells/i003-SID-pdf037.png				pending manual source-image review			
4	ANI	Ani	39	32	2	cells/i004-ANI-pdf039.png	oki			pending manual source-image review			
4	BAT	Bathad	37	30	3	cells/i004-BAT-pdf037.png	otsh			pending manual source-image review			
4	BHU	Bhutti Village / Lag Valley	38	31	3	cells/i004-BHU-pdf038.png	ü.kh /ntj.			pending manual source-image review			
4	CHI	Chinninal Village	35	28	2	cells/i004-CHI-pdf035.png	1k/10			pending manual source-image review			
4	CHU	Churla / Lag Valley	34	27	2	cells/i004-CHU-pdf034.png	tende			pending manual source-image review			
4	GAR	Garsah	38	31	1	cells/i004-GAR-pdf038.png	1%. rtji			pending manual source-image review			
4	JIB	Jibhi	37	30	2	cells/i004-JIB-pdf037.png	a: t)			pending manual source-image review			
4	KUL	Kullu (District Headquarters)	38	31	2	cells/i004-KUL-pdf038.png	oklu			pending manual source-image review			
4	LOR	Loren / South Kullu Valley	34	27	3	cells/i004-LOR-pdf034.png	ti jakn			pending manual source-image review			
4	MAN	Manali	36	29	1	cells/i004-MAN-pdf036.png	(n)otshi			pending manual source-image review			
4	MAR	Maraur Village	36	29	3	cells/i004-MAR-pdf036.png	^ti			pending manual source-image review			
4	MNK	Manikaran	39	32	1	cells/i004-MNK-pdf039.png	otfi			pending manual source-image review			
4	RAI	Raila Village	36	29	2	cells/i004-RAI-pdf036.png	'atli			pending manual source-image review			
4	SHA	Shalwar Village	35	28	1	cells/i004-SHA-pdf035.png	itlii			pending manual source-image review			
4	SHG	Shangarh	35	28	3	cells/i004-SHG-pdf035.png	^tfi:			pending manual source-image review			
4	SID	Sidua	37	30	1	cells/i004-SID-pdf037.png	aki			pending manual source-image review			
5	ANI	Ani	39	32	2	cells/i005-ANI-pdf039.png	nak			pending manual source-image review			
5	BAT	Bathad	37	30	3	cells/i005-BAT-pdf037.png	nakh			pending manual source-image review			
5	BHU	Bhutti Village / Lag Valley	38	31	3	cells/i005-BHU-pdf038.png	na:kh			pending manual source-image review			
5	CHI	Chinninal Village	35	28	2	cells/i005-CHI-pdf035.png	nak			pending manual source-image review			
5	CHU	Churla / Lag Valley	34	27	2	cells/i005-CHU-pdf034.png	naк			pending manual source-image review			
5	GAR	Garsah	38	31	1	cells/i005-GAR-pdf038.png	5. nakh			pending manual source-image review			
5	JIB	Jibhi	37	30	2	cells/i005-JIB-pdf037.png	nakh			pending manual source-image review			
5	KUL	Kullu (District Headquarters)	38	31	2	cells/i005-KUL-pdf038.png	nakh			pending manual source-image review			
5	LOR	Loren / South Kullu Valley	34	27	3	cells/i005-LOR-pdf034.png				pending manual source-image review			
5	MAN	Manali	36	29	1	cells/i005-MAN-pdf036.png	'na:k			pending manual source-image review			
5	MAR	Maraur Village	36	29	3	cells/i005-MAR-pdf036.png	nak			pending manual source-image review			
5	MNK	Manikaran	39	32	1	cells/i005-MNK-pdf039.png	nakh			pending manual source-image review			
5	RAI	Raila Village	36	29	2	cells/i005-RAI-pdf036.png	na:k			pending manual source-image review			
5	SHA	Shalwar Village	35	28	1	cells/i005-SHA-pdf035.png	na:k			pending manual source-image review			
5	SHG	Shangarh	35	28	3	cells/i005-SHG-pdf035.png	nak			pending manual source-image review			
5	SID	Sidua	37	30	1	cells/i005-SID-pdf037.png	nakh			pending manual source-image review			
6	ANI	Ani	39	32	2	cells/i006-ANI-pdf039.png	d3>t			pending manual source-image review			
6	BAT	Bathad	37	30	3	cells/i006-BAT-pdf037.png	khakh			pending manual source-image review			
6	BHU	Bhutti Village / Lag Valley	38	31	3	cells/i006-BHU-pdf038.png	/khakh			pending manual source-image review			
6	CHI	Chinninal Village	35	28	2	cells/i006-CHI-pdf035.png	khukh			pending manual source-image review			
6	CHU	Churla / Lag Valley	34	27	2	cells/i006-CHU-pdf034.png	khakh			pending manual source-image review			
6	GAR	Garsah	38	31	1	cells/i006-GAR-pdf038.png	khakh			pending manual source-image review			
6	JIB	Jibhi	37	30	2	cells/i006-JIB-pdf037.png	khakh			pending manual source-image review			
6	KUL	Kullu (District Headquarters)	38	31	2	cells/i006-KUL-pdf038.png	mu/khakh			pending manual source-image review			
6	LOR	Loren / South Kullu Valley	34	27	3	cells/i006-LOR-pdf034.png	hakh wu			pending manual source-image review			
6	MAN	Manali	36	29	1	cells/i006-MAN-pdf036.png	6. 'mũ			pending manual source-image review			
6	MAR	Maraur Village	36	29	3	cells/i006-MAR-pdf036.png	khakh			pending manual source-image review			
6	MNK	Manikaran	39	32	1	cells/i006-MNK-pdf039.png	khakh			pending manual source-image review			
6	RAI	Raila Village	36	29	2	cells/i006-RAI-pdf036.png	khakh			pending manual source-image review			
6	SHA	Shalwar Village	35	28	1	cells/i006-SHA-pdf035.png	l'othes			pending manual source-image review			
6	SHG	Shangarh	35	28	3	cells/i006-SHG-pdf035.png	khakh			pending manual source-image review			
6	SID	Sidua	37	30	1	cells/i006-SID-pdf037.png	khakh			pending manual source-image review			
7	ANI	Ani	39	32	2	cells/i007-ANI-pdf039.png	ba			pending manual source-image review			
7	BAT	Bathad	37	30	3	cells/i007-BAT-pdf037.png	bha			pending manual source-image review			
7	BHU	Bhutti Village / Lag Valley	38	31	3	cells/i007-BHU-pdf038.png	ba			pending manual source-image review			
7	CHI	Chinninal Village	35	28	2	cells/i007-CHI-pdf035.png	клаzu			pending manual source-image review			
7	CHU	Churla / Lag Valley	34	27	2	cells/i007-CHU-pdf034.png	(n)ath			pending manual source-image review			
7	GAR	Garsah	38	31	1	cells/i007-GAR-pdf038.png	:7. aith/ba:			pending manual source-image review			
7	JIB	Jibhi	37	30	2	cells/i007-JIB-pdf037.png	ba:			pending manual source-image review			
7	KUL	Kullu (District Headquarters)	38	31	2	cells/i007-KUL-pdf038.png	ba(n)T			pending manual source-image review			
7	LOR	Loren / South Kullu Valley	34	27	3	cells/i007-LOR-pdf034.png	sai			pending manual source-image review			
7	MAN	Manali	36	29	1	cells/i007-MAN-pdf036.png	7. 'ho :th			pending manual source-image review			
7	MAR	Maraur Village	36	29	3	cells/i007-MAR-pdf036.png	ba			pending manual source-image review			
7	MNK	Manikaran	39	32	1	cells/i007-MNK-pdf039.png	ot			pending manual source-image review			
7	RAI	Raila Village	36	29	2	cells/i007-RAI-pdf036.png	ba:			pending manual source-image review			
7	SHA	Shalwar Village	35	28	1	cells/i007-SHA-pdf035.png				pending manual source-image review			
7	SHG	Shangarh	35	28	3	cells/i007-SHG-pdf035.png				pending manual source-image review			
7	SID	Sidua	37	30	1	cells/i007-SID-pdf037.png	bha			pending manual source-image review			
8	ANI	Ani	39	32	2	cells/i008-ANI-pdf039.png	natoi			pending manual source-image review			
8	BAT	Bathad	37	30	3	cells/i008-BAT-pdf037.png	nathali			pending manual source-image review			
8	BHU	Bhutti Village / Lag Valley	38	31	3	cells/i008-BHU-pdf038.png	"tha""!"			pending manual source-image review			
8	CHI	Chinninal Village	35	28	2	cells/i008-CHI-pdf035.png	1.) t'ana: l°			pending manual source-image review			
8	CHU	Churla / Lag Valley	34	27	2	cells/i008-CHU-pdf034.png	1nач7			pending manual source-image review			
8	GAR	Garsah	38	31	1	cells/i008-GAR-pdf038.png	tana:|			pending manual source-image review			
8	JIB	Jibhi	37	30	2	cells/i008-JIB-pdf037.png	nothali			pending manual source-image review			
8	KUL	Kullu (District Headquarters)	38	31	2	cells/i008-KUL-pdf038.png	47с4			pending manual source-image review			
8	LOR	Loren / South Kullu Valley	34	27	3	cells/i008-LOR-pdf034.png				pending manual source-image review			
8	MAN	Manali	36	29	1	cells/i008-MAN-pdf036.png	8. 'ho:t4			pending manual source-image review			
8	MAR	Maraur Village	36	29	3	cells/i008-MAR-pdf036.png	tna:l			pending manual source-image review			
8	MNK	Manikaran	39	32	1	cells/i008-MNK-pdf039.png	tanai			pending manual source-image review			
8	RAI	Raila Village	36	29	2	cells/i008-RAI-pdf036.png	tàna:l'			pending manual source-image review			
8	SHA	Shalwar Village	35	28	1	cells/i008-SHA-pdf035.png	ihnnali			pending manual source-image review			
8	SHG	Shangarh	35	28	3	cells/i008-SHG-pdf035.png	tana:(			pending manual source-image review			
8	SID	Sidua	37	30	1	cells/i008-SID-pdf037.png	thanali			pending manual source-image review			
9	ANI	Ani	39	32	2	cells/i009-ANI-pdf039.png	gunti			pending manual source-image review			
9	BAT	Bathad	37	30	3	cells/i009-BAT-pdf037.png	ghunthi			pending manual source-image review			
9	BHU	Bhutti Village / Lag Valley	38	31	3	cells/i009-BHU-pdf038.png	guthi			pending manual source-image review			
9	CHI	Chinninal Village	35	28	2	cells/i009-CHI-pdf035.png	oyguli:			pending manual source-image review			
9	CHU	Churla / Lag Valley	34	27	2	cells/i009-CHU-pdf034.png	gothi			pending manual source-image review			
9	GAR	Garsah	38	31	1	cells/i009-GAR-pdf038.png	19. gothi			pending manual source-image review			
9	JIB	Jibhi	37	30	2	cells/i009-JIB-pdf037.png	guthi			pending manual source-image review			
9	KUL	Kullu (District Headquarters)	38	31	2	cells/i009-KUL-pdf038.png	guthi			pending manual source-image review			
9	LOR	Loren / South Kullu Valley	34	27	3	cells/i009-LOR-pdf034.png	guftie			pending manual source-image review			
9	MAN	Manali	36	29	1	cells/i009-MAN-pdf036.png	9. gu: thi			pending manual source-image review			
9	MAR	Maraur Village	36	29	3	cells/i009-MAR-pdf036.png	guthi			pending manual source-image review			
9	MNK	Manikaran	39	32	1	cells/i009-MNK-pdf039.png	ghuti			pending manual source-image review			
