PDF_Page	Printed_Page	Site	First_Item	Forms_JSON	Review	Uncertainty_JSON	Notes
34	27	CHU	1	["dʒɪsəm","ˈmʌɳɖə","ˈmoːtʰə","ˈteɳɖe","naːk","kʰakʰ","(h)atʰ","tʰəːl","gaːtʰi","petʰ","ˈdʒoŋgʰə","peːr","kʰal","ˈhəɖokə","kʰuːn","bəŋgə"]	manual-source-image	[]	Every cell checked against full-page scan and deterministic crop; source similarity numbers omitted
34	27	LOR	1	["dʒɪsəm","ˈmʌɳɖɪ","mʌɳɖə","ˈteɳɖe / ˈakʰɪ","","kʰakʰ / mũː","baː","tʰuːl","gʌtʰi","dʌɳɖə / petʰ / dʒidə","ˈdʒoŋgə","peːr","kʰal","həɖokə","kʰuːn / loː","bəŋgə"]	manual-source-image	["","","","","blank","","","","","","","","","","",""]	Item 5 is a visually confirmed true blank; every other cell checked against scan
35	28	SHA	1	["deː / purɪdʒ","pɪkʊlə / mʌɳɖə","muː","ətʃiː","naːk","ˈtʰotʰə","baː","tʰəɳaːli","ˈgʌtʰiː","dʌɳɖə / peːtʰ","ˈdʒəŋgə","tʃəkʰəːrə","kʰapɽi","haɖokʰə","loː","ˈbəŋgə / bʌnd / bəɖi / kəŋgʊː"]	manual-source-image	[]	Every cell checked against full-page scan and deterministic crop
35	28	CHI	1	["dʌʈer","mʌɳɖə","muː","əkʰo","nak","kʰakʰ","baːdʒu","tʰəɳaːl","oŋgʊliː","dʌɳɖə","toŋgə","tʃəː","tʃʌmbəɖi","əɖiː","kʰuːn","bəŋgʊː / bəŋgə"]	manual-source-image	[]	Every cell checked against full-page scan and deterministic crop
35	28	SHG	1	["deː","ˈmʊɳɖə","muː","ətʃiː","nak","kʰakʰ","ba","tʰəɳaːl","gatʰi","ˈdʌɳɖə","latʰ / dʒoŋg","dʒəŋg","kaːl","həɖokə","loː","bəŋgə"]	manual-source-image	[]	Every cell checked against full-page scan and deterministic crop
36	29	MAN	1	["ˈdʒɪsəm","ˈsɪr","ˈmũː","ˈ(h)otʃi","ˈnaːk","ˈmũː","ˈhoːtʰ","ˈhoːtʰ","ˈguːtʰi","ˈpeːtʰə","ˈdʒəŋg","dʒoŋg","ˈtʃʌmbəɖi","ˈhəɖiː","ˈloːhu","ˈbəŋgə"]	manual-source-image	[]	Every cell checked against full-page scan and deterministic crop
36	29	RAI	1	["ˈkajə","mʌɳɖə","matʰə","ˈatʃi","naːk","kʰakʰ","baː","tʰəɳaːl","gʌtʰi","dʌɳɖə","dʒoŋgə","dʒoŋgə","kʰaːl / kʊpɽə","həɖokə","loː","bəŋgə"]	manual-source-image	[]	Every cell checked against full-page scan and deterministic crop
36	29	MAR	1	["ʃəreːr / deː","muː / mʌɳɖə","muː","ətʃi","nak","kʰakʰ","ba","tʰəɳaːl","gʊtʰi","dʌɳɖə","tʰaːr / dəŋgə","dʒəŋgə","kʰal","(h)əɖokə","loː","bəŋgə"]	manual-source-image	[]	Every cell checked against full-page scan and deterministic crop
37	30	SID	1	["de","mʊɳɖə","mũː","akɪ","nakʰ","kʰakʰ","bʰa","tʰəɳali","gʰʊntɪ","pʰet","dʒəŋgə","dʒəŋgə","tʃəmbəɖi","(h)əɖikeː","lo","tʃʊti"]	manual-source-image	[]	Every cell checked against full-page scan and deterministic crop
37	30	JIB	1	["dʒɪsəm","mʌɳɖə","moː","aːtʃ","nakʰ","kʰakʰ","baː","notʰali","gʊtʰi","peːt / dʌɳ","dʒəŋgə","dʒəŋgə","kʊpɽo","əkə","loːu","bəŋgə"]	manual-source-image	[]	Every cell checked against full-page scan and deterministic crop
37	30	BAT	1	["dʒʊsəm","mʊɳɖə","mũː","otʃʰ","nakʰ","kʰakʰ","bʰa","natʰali","gʰʊntʰi","pʰetʰ","dʒoŋg","poɽi","tʃəmbəɖi","həɖikə","lo","bəŋgə"]	manual-source-image	[]	Every cell checked against full-page scan and deterministic crop
38	31	GAR	1	["dʒɪsəm","mʌɳɖi","muː","ətʃi","nakʰ","kʰakʰ","aːtʰ / baː","tʰəɳaːl","gʌtʰi","dʌɳɖ","dʒoŋgə","dʒoŋgə","kʰal","həɖokə","lo(h)u","bəŋgə"]	manual-source-image	[]	Every cell checked against full-page scan and deterministic crop
38	31	KUL	1	["dʒɪsəm","ʃɪr / ˈmʌɳɖi","muː","okʰu","nakʰ","muː / kʰakʰ","ba(n)ɽi","hoːtʰ","gʊtʰi","petʰ","dʌɳɖ / dʒoŋg","peːr","tʃʌmbəɖi","həɖi","lo(h)u","bəŋgə"]	manual-source-image	[]	Every cell checked against full-page scan and deterministic crop
38	31	BHU	1	["dʒɪsəm","ʃɪr","muː / tʃerə","ũːkʰ / ətʃi","naːkʰ","mũː / kʰakʰ","bãː","tʰəːl","gʊtʰi","peːt","tãːŋ(g)","peːr","maːs","həɖi","lo(h)u","bəŋgə"]	manual-source-image	[]	Every cell checked against full-page scan and deterministic crop; source glosses item 13 response as flesh
39	32	MNK	1	["dʒɪsəm","mʊɳɖi","mʊɳɖə","ətʃi","nakʰ","kʰakʰ","ot","tʰəɳai","gʰʊtʰi","dʌɳɖə","dʒəŋgə","","kʌlɽə","əɖəkə","lu","bəŋgə"]	manual-source-image	["","","","","","","","","","","","blank","","","",""]	Item 12 is a source dash/confirmed no response; every other cell checked against scan
39	32	ANI	1	["dʒʊsəm / de","mʊɳɖə","mũː","okɪ","nak","dʒot","ba","nətoi","gʊntɪ","pet","roɽ","dʒəŋ","kəlaɖo","əɖiko","loː","bəŋə"]	manual-source-image	[]	Every cell checked against full-page scan and deterministic crop
