PDF_Page	Printed_Page	Response_Lines	Review_Status	Review_Method
66	56	103	complete	visual comparison of every printed response line and code bracket at 200 dpi
67	57	120	complete	visual comparison of every printed response line and code bracket at 200 dpi
68	58	112	complete	visual comparison of every printed response line and code bracket at 200 dpi
69	59	114	complete	visual comparison of every printed response line and code bracket at 200 dpi
70	60	117	complete	visual comparison of every printed response line and code bracket at 200 dpi
71	61	114	complete	visual comparison of every printed response line and code bracket at 200 dpi
72	62	111	complete	visual comparison of every printed response line and code bracket at 200 dpi
73	63	113	complete	visual comparison of every printed response line and code bracket at 200 dpi
74	64	114	complete	visual comparison of every printed response line and code bracket at 200 dpi
75	65	117	complete	visual comparison of every printed response line and code bracket at 200 dpi
76	66	123	complete	visual comparison of every printed response line and code bracket at 200 dpi
77	67	120	complete	visual comparison of every printed response line and code bracket at 200 dpi
78	68	115	complete	visual comparison of every printed response line and code bracket at 200 dpi
79	69	117	complete	visual comparison of every printed response line and code bracket at 200 dpi
80	70	123	complete	visual comparison of every printed response line and code bracket at 200 dpi
81	71	121	complete	visual comparison of every printed response line and code bracket at 200 dpi
82	72	116	complete	visual comparison of every printed response line and code bracket at 200 dpi
83	73	121	complete	visual comparison of every printed response line and code bracket at 200 dpi
84	74	122	complete	visual comparison of every printed response line and code bracket at 200 dpi
85	75	126	complete	visual comparison of every printed response line and code bracket at 200 dpi
86	76	123	complete	visual comparison of every printed response line and code bracket at 200 dpi
87	77	123	complete	visual comparison of every printed response line and code bracket at 200 dpi
88	78	123	complete	visual comparison of every printed response line and code bracket at 200 dpi
89	79	120	complete	visual comparison of every printed response line and code bracket at 200 dpi
90	80	72	complete	visual comparison of every printed response line and code bracket at 200 dpi
