PDF_Page	Printed_Page	Line	Item	Gloss	Similarity_Group	Manual_Form	Site_Codes	Unknown_Site_Codes	Confidence	Review_Status	Review_Note
66	56	5	1	body	1	d̪ɛ	H		high	complete	
66	56	6	1	body	1	d̪ɛah	m		high	complete	
66	56	7	1	body	1	d̪eh	Kjp		high	complete	
66	56	8	1	body	1	d̪ẽa	bcd		high	complete	
66	56	9	1	body	1	d̪ẽh	BCDGLMRTVZt		high	complete	
66	56	10	1	body	2	d̪ɛah	m		high	complete	
66	56	11	1	body	2	d̪eham	w		high	complete	
66	56	12	1	body	2	d̪eja	bc		high	complete	
66	56	13	1	body	2	d̪ejaɲ	S		high	complete	
66	56	14	1	body	3	hoɖɔ	AJ		high	complete	
66	56	15	1	body	3	hoɽmɔ	U		high	complete	
66	56	16	1	body	4	gət̪ːeɾ	k		high	complete	
66	56	17	1	body	5	bəd̪ɐn	k		high	complete	
66	56	20	2	head	1	bhoʔ	Sbcdjmptw		high	complete	
66	56	21	2	head	1	bo	HKR		high	complete	
66	56	22	2	head	1	boʔ	CDGLMTZ		high	complete	
66	56	23	2	head	2	bhoʔ	Sbcdjmptw		high	complete	
66	56	24	2	head	2	bɔʔɔ	U		high	complete	
66	56	25	2	head	2	bɔhɔ	AJ		high	complete	
66	56	26	2	head	2	boʔ	CDLMZ		high	complete	
66	56	27	2	head	3	mʊɖɨ	B		high	complete	
66	56	28	2	head	3	muɖɪ	V		high	complete	
66	56	29	2	head	3	muʈ	k		high	complete	
66	56	32	3	hair	1	uːb	bcjpw		high	complete	
66	56	33	3	hair	1	uːbɨ	AJ		high	complete	
66	56	34	3	hair	1	ub	CDGHKLMRTZ		high	complete	
66	56	35	3	hair	1	ubɨ	Sdpt		high	complete	
66	56	36	3	hair	2	kɛ̃s	BZk		high	complete	
66	56	37	3	hair	3	tʃun̪d̪i	V		high	complete	
66	56	38	3	hair	4	rɔã	m		high	complete	
66	56	39	3	hair	5	uːʔum	U		high	complete	
66	56	42	4	face	1	mɛɖ ɐha	c		high	complete	
66	56	43	4	face	1	mɛɖɨ aha	Sbcdw		high	complete	
66	56	44	4	face	1	menʌha	J		high	complete	
66	56	45	4	face	1	muh ɐha	j		high	complete	
66	56	46	4	face	2	tʃɛhəɾa	A		high	complete	
66	56	47	4	face	2	tʃɛhɾa	Km		high	complete	
66	56	48	4	face	2	tʃehəɾɐ	k		high	complete	
66	56	49	4	face	3	gall	T		high	complete	
66	56	50	4	face	3	gʌlʊ	GKR		high	complete	
66	56	51	4	face	4	aːkh muh	BV		high	complete	
66	56	52	4	face	4	ah muh	p		high	complete	
66	56	53	4	face	4	akh muː	p		high	complete	
66	56	54	4	face	5	sʌmʌŋg	MZ		high	complete	
66	56	55	4	face	6	mɛɖɨ mʊaɖɨ	U		high	complete	
66	56	56	4	face	7	mʊrt̪han	t		high	complete	
66	56	57	4	face	8	ɴo entry	CDHL		high	complete	
66	56	60	5	eye	1	mɛɖɨ	STjpt		high	complete	
66	56	61	5	eye	1	mɛɖh	c		high	complete	
66	56	62	5	eye	1	meɖ	A		high	complete	
66	56	63	5	eye	1	meɖɨ	CDGHKLMRZdmw		high	complete	
66	56	64	5	eye	1	meɖɨʔ	bc		high	complete	
66	56	65	5	eye	2	ɐikh	k		high	complete	
66	56	66	5	eye	2	aikh	B		high	complete	
66	56	67	5	eye	2	aiŋkh	V		high	complete	
66	56	68	5	eye	3	meʔen	U		high	complete	
66	56	69	5	eye	4	men	J		high	complete	
66	56	72	6	ear	1	lʊt̪t̪ʊr	SUbcjpw		high	complete	
66	56	73	6	ear	1	lʊt̪uɾ	CDGHKLMRTZdmt		high	complete	
66	56	74	6	ear	1	lut̪ur	AJ		high	complete	
66	56	75	6	ear	2	kɐn	k		high	complete	
66	56	76	6	ear	2	kan	BV		high	complete	
66	56	79	7	nose	1	hʊmmʊ	CDGKMRm		high	complete	
66	56	80	7	nose	1	hʊmmʊm	TZ		high	complete	
66	56	81	7	nose	1	hʊmmʊt̪	L		high	complete	
66	56	82	7	nose	1	hʊ̃mu	H		high	complete	
66	56	83	7	nose	2	muhʔ	b		high	complete	
66	56	84	7	nose	2	muhũː	TU		high	complete	
66	56	85	7	nose	2	mũh	cdptw		high	complete	
66	56	86	7	nose	2	mũhʊ	AJ		high	complete	
66	56	87	7	nose	2	mũm	Scj		high	complete	
66	56	88	7	nose	3	nak	BV		high	complete	
66	56	89	7	nose	3	nək	k		high	complete	
66	56	92	8	mouth	1	ɐha	AJSTZbcdjpt		high	complete	
66	56	93	8	mouth	1	ah	GHKM		high	complete	
66	56	94	8	mouth	1	ah̩	CDKLR		high	complete	
66	56	95	8	mouth	1	ahah	m		high	complete	
66	56	96	8	mouth	2	ɐham	dw		high	complete	
66	56	97	8	mouth	2	ahah	m		high	complete	
66	56	98	8	mouth	3	muh	BV		high	complete	
66	56	99	8	mouth	3	mũh	k		high	complete	
66	56	100	8	mouth	4	mutʃa	U		high	complete	
66	56	103	9	tooth	1	kiɾiŋg	Z		high	complete	
66	56	104	9	tooth	1	t̪ɪɾɪŋg	CDHKLMRm		high	complete	
66	56	105	9	tooth	1	t̪iriɲ	Sbcdjptw		high	complete	
66	56	106	9	tooth	1	t̪iriŋ	Gp		high	complete	
