Form_ID,Position,Kind,Format,Content,Source
n1272,100206,etymology,html,"<article class=""nured-commentary"" data-page-id=""206"" data-revision-id=""3627""><h3>NurED commentary: <a href=""https://nured.org/w/index.php?title=Da%E1%B9%81%E1%B8%8Da&amp;oldid=3627"">Daṁḍa</a> <small>(revision 3627)</small></h3><div class=""mw-heading mw-heading2""><h2 id=""nured-206-Commentary"">Commentary</h2></div>
<p>A widespread Indo-Aryan word without cognates in Iranian. Earlier hypotheses of Indo-European origin and relation to <abbr title=""(Ancient) Greek""><b>Gr.</b></abbr> δένδρον 'tree' are faced with difficulties on the Greek side (cf. <abbr title=""Mayrhofer, Manfred. 1992-2001. ''Etymologisches Wörterbuch des Altindoarischen''. 3 vols. Heidelberg: Universitätsverlag Winter."">EWA</abbr> I: 692). The most promising alternative explanation is that the word is of Dravidian origin (cf. <abbr title=""Burrow, Thomas &amp; Murray Barnson Emeneau. 1984. ''A Dravidian etymological dictionary''. 2nd ed. Oxford: Clarendon Press. London: Oxford University Press."">DED</abbr> 3056; see also s.v. <a href=""https://nured.org/wiki/*t%C4%81%E1%B9%81%E1%B8%8Dag%C4%81"" title=""*tāṁḍagā"">*tāṁḍagā</a>), in which case borrowing via Indo-Aryan is the most likely case.
</p><p>The descendant forms show various divergences from the original distribution of dental and retroflex (<i>d</i>V<i>ṇḍ</i>°). <abbr title=""Prasun""><b>Pr.</b></abbr> forms like <i>ḍuṇḍ</i>, which have most likely been borrowed via other Nuristani languages, provide a clue that the <i>ḍ</i>V<i>nd</i>° forms may have come about via assimilation to <i>ḍ</i>V<i>ṇḍ</i>°, followed in turn by a dissimilation to <i>ḍ</i>V<i>nd</i>°.
</p><p>The place name <abbr title=""Katë""><b>Kt.</b></abbr> <span><abbr title=""Southeastern dialect"">se</abbr></span> <i>Ḍuníğil</i> 'Dir Kohistan' may also contain this root.
</p></article>","nured[page 206, revision 3627, 2026-07-31]"
n1273,100206,etymology,html,"<article class=""nured-commentary"" data-page-id=""206"" data-revision-id=""3627""><h3>NurED commentary: <a href=""https://nured.org/w/index.php?title=Da%E1%B9%81%E1%B8%8Da&amp;oldid=3627"">Daṁḍa</a> <small>(revision 3627)</small></h3><div class=""mw-heading mw-heading2""><h2 id=""nured-206-Commentary"">Commentary</h2></div>
<p>A widespread Indo-Aryan word without cognates in Iranian. Earlier hypotheses of Indo-European origin and relation to <abbr title=""(Ancient) Greek""><b>Gr.</b></abbr> δένδρον 'tree' are faced with difficulties on the Greek side (cf. <abbr title=""Mayrhofer, Manfred. 1992-2001. ''Etymologisches Wörterbuch des Altindoarischen''. 3 vols. Heidelberg: Universitätsverlag Winter."">EWA</abbr> I: 692). The most promising alternative explanation is that the word is of Dravidian origin (cf. <abbr title=""Burrow, Thomas &amp; Murray Barnson Emeneau. 1984. ''A Dravidian etymological dictionary''. 2nd ed. Oxford: Clarendon Press. London: Oxford University Press."">DED</abbr> 3056; see also s.v. <a href=""https://nured.org/wiki/*t%C4%81%E1%B9%81%E1%B8%8Dag%C4%81"" title=""*tāṁḍagā"">*tāṁḍagā</a>), in which case borrowing via Indo-Aryan is the most likely case.
</p><p>The descendant forms show various divergences from the original distribution of dental and retroflex (<i>d</i>V<i>ṇḍ</i>°). <abbr title=""Prasun""><b>Pr.</b></abbr> forms like <i>ḍuṇḍ</i>, which have most likely been borrowed via other Nuristani languages, provide a clue that the <i>ḍ</i>V<i>nd</i>° forms may have come about via assimilation to <i>ḍ</i>V<i>ṇḍ</i>°, followed in turn by a dissimilation to <i>ḍ</i>V<i>nd</i>°. 
</p><p>The place name <abbr title=""Katë""><b>Kt.</b></abbr> <span><abbr title=""Southeastern dialect"">se</abbr></span> <i>Ḍuníğil</i> 'Dir Kohistan' may also contain this root.
</p></article>","nured[page 206, revision 3627, 2026-07-31]"
n2163,100274,etymology,html,"<article class=""nured-commentary"" data-page-id=""274"" data-revision-id=""2074""><h3>NurED commentary: <a href=""https://nured.org/w/index.php?title=%2An%C4%81s%28%C4%81%CC%86%29-&amp;oldid=2074"">*nās(ā̆)-</a> <small>(revision 2074)</small></h3><div class=""mw-heading mw-heading2""><h2 id=""nured-274-Commentary"">Commentary</h2></div>
<p>The Nuristani forms are superficially similar to their Indo-Aryan cognates in the surrounding region, but the Indo-Aryan forms reflect the later Indo-Aryan generalization of various derivatives, such as <i>nastā̆-</i> or <i>nā́sikā-</i>, as their suffixes and stem variation patterns show. The Nuristani forms, on the other hand, could represent the older formation of <abbr title=""Old Indo-Aryan""><b>OIA</b></abbr> <i>nā́sā-</i>, <abbr title=""Young Avestan""><b>YAv.</b></abbr> <i>nā̊ŋhā-</i>, a feminine <i>ā</i> stem resulting from reanalysis of the dual form (= <abbr title=""Old Indo-Aryan""><b>OIA</b></abbr> <i>nās-ā</i>) of the original <abbr title=""Proto-Indo-Iranian""><b>PIIr.</b></abbr> root noun *<i>(H)nas-</i> ~ *<i>(H)nās-</i> (<abbr title=""Mayrhofer, Manfred. 1992-2001. ''Etymologisches Wörterbuch des Altindoarischen''. 3 vols. Heidelberg: Universitätsverlag Winter."">EWA</abbr> II: 30), or it could result from an independent thematization of the root noun. The masculine gender in <abbr title=""Katë""><b>Kt.</b></abbr> need not be original (for the other languages the gender of the noun has not been recorded), but if it is, it could point to an independent derivative *<i>(H)nās-a-</i>, which is not attested in the rest of Indo-Iranian. Though there is no fully conclusive proof for this, the word is more likely inherited, also in view of its semantic field (basic body parts).
</p><p>The <abbr title=""Katë""><b>Kt.</b></abbr> meaning probably results from metaphorical usage of the body part term for landscape/mountain features, a process that has several parallels in Nuristani. For 'nose' in particular, cf. also the similar developments in German <i>(Fels-)nase</i> 'rock outcrop' and Avar <i>meʕer</i> 'nose; mountain'. The original meaning of the <abbr title=""Katë""><b>Kt.</b></abbr> word is preserved in compounds, such as <a href=""https://nured.org/wiki/*k%C4%81rr(%C3%A3)-"" title=""*kārr(ã)-""><i>naskór</i></a> 'face'.
</p><p>The appurtenance of <abbr title=""Nuristani Kalasha""><b>NKal.</b></abbr> <i>naštë́</i> ~ <i>nāstá</i> is uncertain. The development *<i>st</i> &gt; <span><abbr title=""Dialect of Ẓönčigal (Arans)"">ẓ</abbr></span> <i>št</i> indicates that it is likely an inherited word. In its formation it may be compared with <abbr title=""Old Indo-Aryan""><b>OIA</b></abbr> <i>nasta-</i> 'nose' and on the Iranian side with <abbr title=""Parachi""><b>Par.</b></abbr> <i>nēšt</i> 'nose' &lt; *<i>nās-ti-</i> (<abbr title=""Morgenstierne, Georg. 1973a. ''Parachi and Ormuri'' (Indo-Iranian Frontier Languages I). 2nd, revised edn. Oslo: Universitetsforlaget."">IIFL I</abbr>: 277). Semantically, cf. <abbr title=""Khowar""><b>Kho.</b></abbr> <i>nas</i> 'edge' &lt; <i>nāsā-</i> and <i>nast</i> 'ahead, in front, preceding' &lt; <i>nasta-</i> (<abbr title=""Bashir, Elena. 2023. ''A Khowar-English Lexicon - with Cultural and Etymological Notes'' (Himalayan Linguistics Archive 12). https://doi.org/10.5070/H90057297"">BKhoL</abbr>). Alternatively, a connection with <abbr title=""Proto-Indo-Iranian""><b>PIIr.</b></abbr> *<i>nas-</i> 'to arrive (home)' could also be considered.
</p><p>Related words borrowed from <abbr title=""Indo-Aryan"">IA</abbr> are discussed s.v. <abbr title=""Middle Indo-Aryan"">MIA</abbr> <a href=""https://nured.org/wiki/*n%C4%81s%C4%81vu%E1%B8%8Da"" title=""*nāsāvuḍa"">*nāsāvuḍa</a>, <a href=""https://nured.org/wiki/*n%C4%81%E1%B9%A3a"" title=""*nāṣa"">*nāṣa</a> and <a class=""new"" href=""https://nured.org/wiki/*natth%C4%81?action=edit&amp;redlink=1"" title=""*natthā (page does not exist)"">*natthā</a>.
</p>
</article>","nured[page 274, revision 2074, 2025-10-22]"
n2387,100990,etymology,html,"<article class=""nured-commentary"" data-page-id=""990"" data-revision-id=""3621""><h3>NurED commentary: <a href=""https://nured.org/w/index.php?title=%2A%C4%8Bu%C4%8Bama-&amp;oldid=3621"">*ċuċama-</a> <small>(revision 3621)</small></h3><div class=""mw-heading mw-heading2""><h2 id=""nured-990-Commentary"">Commentary</h2></div>
<p>The <abbr title=""Katë""><b>Kt.</b></abbr> <span><abbr title=""Northeastern dialect"">ne</abbr></span>/<span><abbr title=""Southeastern dialect"">se</abbr></span> <i>a</i> in the first syllable is unexplained, but perhaps comparable to that in <a class=""mw-redirect"" href=""https://nured.org/wiki/Tap%C3%A9k"" title=""Tapék"">tapék</a>/<a class=""mw-redirect"" href=""https://nured.org/wiki/Tapk%C3%AB%CC%81"" title=""Tapkë́"">tapkë́</a> 'rifle' ⇐ <abbr title=""Pashto""><b>Psht.</b></abbr> <a href=""https://nured.org/wiki/Tup%C3%A1k"" title=""Tupák"">tupák</a>.
</p><p>The inclusion of the <abbr title=""Prasun""><b>Pr.</b></abbr> words in this cognate set is not certain, but they match formally and the identification of the deity <i>Züzúm</i> with <abbr title=""Katë""><b>Kt.</b></abbr> <i>noŋ</i> makes it possible semantically. The correspondence <abbr title=""Katë""><b>Kt.</b></abbr> <i>ċ</i> <abbr title=""Nuristani Kalasha""><b>NKal.</b></abbr> <i>ċ</i> ~ <abbr title=""Prasun""><b>Pr.</b></abbr> <i>z</i> points to an inherited word with <abbr title=""Reconstructed Proto-Nuristani""><b>PNur.</b></abbr> *<i>ċ</i>.
</p><p>Even if the <abbr title=""Prasun""><b>Pr.</b></abbr> words are not included, Morgenstierne's (<a href=""https://nured.org/wiki/Indexes:References#Morgenstierne1929"" title=""Indexes:References""><abbr title=""Morgenstierne, Georg. 1929. The language of the Ashkun Kafirs. ''Norsk Tidsskrift for Sprogvidenskap'' 2. 192–289."">1929</abbr></a>: 197–198) supposition that these words are early borrowings into Nuristani from an equivalent of <abbr title=""Old Indo-Aryan""><b>OIA</b></abbr> <i>śiṁśumā́ra-</i> is difficult to accept, since it would require borrowing from Pre-Proto-Indo-Aryan into Pre-Proto-Nuristani at a time when both still had *<i>ć</i> &lt; <abbr title=""Proto-Indo-Iranian""><b>PIIr.</b></abbr> *<i>ć</i>. The non-matching vocalism and the lack of a correspondence for the ending <i>°āra-</i> of the <abbr title=""Old Indo-Aryan""><b>OIA</b></abbr> form introduce additional difficulties.
</p><p>A connection with the <abbr title=""Indo-Aryan"">IA</abbr> forms is possible only under the assumption of a very ancient loanword from an unknown language, independently borrowed into Indo-Aryan (perhaps more than once) and Nuristani. The alternating vowels and suffixes (?) could then be attributed to unknown features of the unknown source language.
</p>
</article>","nured[page 990, revision 3621, 2026-07-28]"
n2426,101040,etymology,html,"<article class=""nured-commentary"" data-page-id=""1040"" data-revision-id=""2828""><h3>NurED commentary: <a href=""https://nured.org/w/index.php?title=%2A%C4%8B%C5%AB%28k%C4%81%CC%86%29b%C4%81r%28a%29-&amp;oldid=2828"">*ċū(kā̆)bār(a)-</a> <small>(revision 2828)</small></h3><div class=""mw-heading mw-heading2""><h2 id=""nured-1040-Commentary"">Commentary</h2></div>
<p>An inherited word with <abbr title=""Proto-Indo-Iranian""><b>PIIr.</b></abbr> *<i>ć</i> &gt; <i>ċ</i> preserved only in <abbr title=""Dameli""><b>Dam.</b></abbr>, whereas all other languages have an <abbr title=""Indo-Aryan"">IA</abbr> loanword (<abbr title=""Middle Indo-Aryan"">MIA</abbr> <a href=""https://nured.org/wiki/*%C5%9Bp%C4%81vi"" title=""*śpāvi"">*śpāvi</a>) as the usual word for 'porcupine'.
</p><p>The formation appears to be a compound of an Indo-Iranian word for 'spike, bristle, needle' with a form of <i>*bʰar-</i> 'to carry'. The long vowel in the second element can be taken to point to a nominal <i>*bʰāra-</i> 'load, burden' (as opposed to <i>*-bʰara-</i> 'carrying') having been combined in a <i>bahuvrīhi</i> compound ('having spikes as a load' = 'carrying spikes'). In Middle Iranian (and probably Nuristani, cf. <a class=""new"" href=""https://nured.org/wiki/*-b%C4%81ra-?action=edit&amp;redlink=1"" title=""*-bāra- (page does not exist)"">*-bāra-</a>), reflexes of *<i>bʰāra-</i> also appear as adjectival suffixes meaning 'having &lt; *'carrying'. This usage could itself be based on earlier use in <i>bahuvrīhi-</i> compounds, though Schmitt (<a href=""https://nured.org/wiki/Indexes:References#Schmitt2014"" title=""Indexes:References""><abbr title=""Schmitt, Rüdiger. 2014. ''Wörterbuch der altpersischen Königsinschriften''. Wiesbaden: Reichert."">2014</abbr></a>: 138) assumes that an adjectival/agent noun form *<i>bʰāra-</i> in the sense of 'carrying, carrier' existed already in <abbr title=""Proto-Indo-Iranian""><b>PIIr.</b></abbr> and uses this to explain the <abbr title=""Old Persian""><b>OP</b></abbr> compound <i>asa-bāra-</i> 'rider' as having an original sense of 'having a horse as carrier'.
</p><p><i>Pace</i> Morgenstierne (<a href=""https://nured.org/wiki/Indexes:References#Morgenstierne1942"" title=""Indexes:References""><abbr title=""Morgenstierne, Georg. 1942. Notes on Dameli, a Kafir-Dardic language of Chitral. ''Norsk Tidsskrift for Sprogvidenskap'' 12. 113–198."">1942</abbr></a>: 163) and Turner (<abbr title=""Turner, Ralph. 1962-1966. ''A Comparative Dictionary of the Indo-Aryan Languages''. London: Oxford University Press."">CDIAL</abbr>: T. 12766), the <abbr title=""Dameli""><b>Dam.</b></abbr> word is most likely not an inherited cognate of <abbr title=""Old Indo-Aryan""><b>OIA</b></abbr> <i>śvāvídh-</i>, since the derivation suggested above provides a better explanation of the phonological form.
</p>
</article>","nured[page 1040, revision 2828, 2025-12-28]"
n2428,101021,etymology,html,"<article class=""nured-commentary"" data-page-id=""1021"" data-revision-id=""2744""><h3>NurED commentary: <a href=""https://nured.org/w/index.php?title=%2A%C5%9Bp%C4%81vi&amp;oldid=2744"">*śpāvi</a> <small>(revision 2744)</small></h3><div class=""mw-heading mw-heading2""><h2 id=""nured-1021-Commentary"">Commentary</h2></div>
<p>A certain loanword with an <abbr title=""Indo-Aryan"">IA</abbr> palatal development (*<i>ć</i> &gt; <i>ś</i>) and a Northwestern <abbr title=""Middle Indo-Aryan"">MIA</abbr> phonological innovation (<i>śv</i> &gt; <i>śp</i>).
</p><p><i>Pace</i> Morgenstierne (<a href=""https://nured.org/wiki/Indexes:References#Morgenstierne1942"" title=""Indexes:References""><abbr title=""Morgenstierne, Georg. 1942. Notes on Dameli, a Kafir-Dardic language of Chitral. ''Norsk Tidsskrift for Sprogvidenskap'' 12. 113–198."">1942</abbr></a>: 163) and Turner (<abbr title=""Turner, Ralph. 1962-1966. ''A Comparative Dictionary of the Indo-Aryan Languages''. London: Oxford University Press."">CDIAL</abbr>: T. 12766), <abbr title=""Dameli""><b>Dam.</b></abbr> <i><a class=""mw-redirect"" href=""https://nured.org/wiki/%C4%8Auw%C4%81%CC%81r"" title=""Ċuwā́r"">ċuwā́r</a></i> 'porcupine' is most likely unrelated to these words.
</p></article>","nured[page 1021, revision 2744, 2025-12-08]"
n2453,101386,etymology,html,"<article class=""nured-commentary"" data-page-id=""1386"" data-revision-id=""3553""><h3>NurED commentary: <a href=""https://nured.org/w/index.php?title=%2A%C5%A1tarwa%28ka%29-&amp;oldid=3553"">*štarwa(ka)-</a> <small>(revision 3553)</small></h3><div class=""mw-heading mw-heading2""><h2 id=""nured-1386-Commentary"">Commentary</h2></div>
<p>These words are most likely inherited due to *<i>st</i> &gt; *<i>št</i>. The development of <abbr title=""Proto-Indo-Iranian""><b>PIIr.</b></abbr> *<i>ru̯</i> &gt; *<i>rw</i>, suggested here by the preservation of *<i>r</i> in most of the daughter forms, is unlike the development *<i>ru̯</i> &gt; *<i>ww</i> observed by Halfmann (<a href=""https://nured.org/wiki/Indexes:References#Halfmann2025"" title=""Indexes:References""><abbr title=""Halfmann, Jakob. 2025. ''The Diversification of Indo-Iranian and the Position of the Nuristani Languages'' (Beiträge zur Iranistik 54). Wiesbaden: Reichert."">2025</abbr></a>: 93–94) in monosyllables. A possible way to reconcile the two is by assuming a role of stress<sup class=""reference"" id=""nured-1386-cite_ref-2""><a href=""#nured-1386-cite_note-2""><span class=""cite-bracket"">[</span>2<span class=""cite-bracket"">]</span></a></sup> in the development of the cluster: V́<i>ru̯</i>V &gt; V́<i>ww</i>V, but V<i>ru̯</i>V́ &gt; V<i>rw</i>V́.
</p><p>The <abbr title=""Katë""><b>Kt.</b></abbr> dialect forms result from varying reductions of the cluster *<i>štrw</i> after pre-stress syncope. The <span><abbr title=""Southeastern dialect"">se</abbr></span> form has a prothetic vowel emerging from labialization/*<i>w</i>.<sup class=""reference"" id=""nured-1386-cite_ref-3""><a href=""#nured-1386-cite_note-3""><span class=""cite-bracket"">[</span>3<span class=""cite-bracket"">]</span></a></sup>
</p><p>The suffix formation with *<i>-u̯a-ka-</i> &lt; <abbr title=""Proto-Indo-Iranian""><b>PIIr.</b></abbr> *<i>-u̯an-</i> + *<i>-ka-</i> is most closely matched by the Iranian forms with  *<i>-u̯an-</i> and lacks a counterpart in <abbr title=""Old Indo-Aryan""><b>OIA</b></abbr>. The presence of the suffix is not immediately obvious in the modern Nuristani forms, but without it the preservation of *<i>-r-</i> and the vowel developments would be difficult to explain.
</p>
<div class=""nured-commentary-notes""><h4>Commentary notes</h4><ol><li id=""nured-1386-cite_note-2""><span class=""mw-cite-backlink""><a href=""#nured-1386-cite_ref-2"">↑</a></span> <span class=""reference-text"">Meaning the secondary Nuristani penultimate stress.</span>
</li><li id=""nured-1386-cite_note-3""><span class=""mw-cite-backlink""><a href=""#nured-1386-cite_ref-3"">↑</a></span> <span class=""reference-text"">Cf. <abbr title=""Katë""><b>Kt.</b></abbr> <span><abbr title=""Northeastern dialect"">ne</abbr></span> <i>ssi-</i>, <span><abbr title=""Southeastern dialect"">se</abbr></span> <i>vušší-</i> &lt; *<i>sčʷčča-</i> &lt; *<i>sčut-i̯a-</i> in Halfmann (<a href=""https://nured.org/wiki/Indexes:References#Halfmann2025"" title=""Indexes:References""><abbr title=""Halfmann, Jakob. 2025. ''The Diversification of Indo-Iranian and the Position of the Nuristani Languages'' (Beiträge zur Iranistik 54). Wiesbaden: Reichert."">2025</abbr></a>: 72). There the <span><abbr title=""Southeastern dialect"">se</abbr></span> form is most likely incorrectly explained as ""probably prefixed"".</span>
</li></ol></div></article>","nured[page 1386, revision 3553, 2026-04-14]"
n2603,100876,etymology,html,"<article class=""nured-commentary"" data-page-id=""876"" data-revision-id=""2453""><h3>NurED commentary: <a href=""https://nured.org/w/index.php?title=%2Aaj%CC%88%C4%81%28ra%29-&amp;oldid=2453"">*aj̈ā(ra)-</a> <small>(revision 2453)</small></h3><div class=""mw-heading mw-heading2""><h2 id=""nured-876-Commentary"">Commentary</h2></div>
<p>An inherited word with cognates only outside of Indo-Iranian. While Morgenstierne (<a href=""https://nured.org/wiki/Indexes:References#Morgenstierne1954"" title=""Indexes:References""><abbr title=""Morgenstierne, Georg. 1954. The Waigali language. ''Norsk Tidsskrift for Sprogvidenskap'' 17. 146–324."">1954</abbr></a>: 162) classified it as ""of unknown origin"", Hamp (<a href=""https://nured.org/wiki/Indexes:References#Hamp1968"" title=""Indexes:References""><abbr title=""Hamp, Eric. 1968. On *R in Kafir. In Bhadriraju Krishnamurti (ed.), ''Studies in Indian Linguistics (Professor M.B. Emeneau Ṣaṣṭipūrti Volume)'', 124–137. Pune, Annamalainagar: Centers of Advanced Study in Linguistics, Deccan College, Annamalai University."">1968</abbr></a>: 130) proposed a connection to ""Slavic <i>(j)ezero</i>"". The form ⟨árzá⟩ printed in Lumsden (<a href=""https://nured.org/wiki/Indexes:References#Lumsden1860"" title=""Indexes:References""><abbr title=""Lumsden, Harry Burnett. 1860. ''The Mission to Kandahar''. Calcutta: C.B. Lewis, Baptist Mission Press."">1860</abbr></a>), which he cites in support of this, is based on a misreading from the original manuscript, which says ⟨āzā⟩ (<abbr title=""Lumsden, Harry Burnett. 1859. A Vocabulary of the Kaffir Language as spoken in Traieguma and Waiegul (manuscript). In ''Report of the Kandahar Mission'', British Library: India Office Records and Private Papers, IOR/L/PS/5/253, ff 76-292, in Qatar Digital Library, fols. 195–210. https://www.qdl.qa/en/archive/81055/vdc_100126288473.0x000004."">Lumsden (1859)</abbr>), and is therefore irrelevant for the etymological interpretation. Nevertheless, Hamp's proposal can be maintained, since *<i>-r-</i> is regularly lost in the relevant position.
</p><p>The long vowel in the second syllable is best explained if we assume an independent analogical thematization of the original <i>r</i>-stem in pre-Proto-Nuristani, during which the strong stem of the accusative was generalized, in a parallel to the well-known development of this kind in <abbr title=""Middle Indo-Aryan"">MIA</abbr> (e.g. <abbr title=""Old Indo-Aryan""><b>OIA</b></abbr> <i>ádhvan-</i> way &gt; <abbr title=""Pali""><b>Pa.</b></abbr> <i>addhāna-</i>, cf. von Hinüber <a href=""https://nured.org/wiki/Indexes:References#von_Hinüber2001"" title=""Indexes:References""><abbr title=""von Hinüber, Oskar. 2001. ''Das ältere Mittelindisch im Überblick''. 2nd edn. Vienna: Verlag der Österreichischen Akademie der Wissenschaften."">2001</abbr></a>: 219). Thus, roughly, *<i>aj̈ar-</i> (nom. *<i>aj̈ā</i>, acc. *<i>aj̈āram</i>) &gt; *<i>aj̈āra-</i> (nom. *<i>aj̈āras</i>, acc. *<i>aj̈āram</i>).
</p><p>The <abbr title=""Katë""><b>Kt.</b></abbr> <span><abbr title=""Western dialect"">w</abbr></span> <span><abbr title=""Subdialect of Ktívi (Kantiwā)""><i>kt</i></abbr></span> form <i>azyú</i> is unexpected and does not agree with the other forms.<sup class=""reference"" id=""nured-876-cite_ref-2""><a href=""#nured-876-cite_note-2""><span class=""cite-bracket"">[</span>2<span class=""cite-bracket"">]</span></a></sup>
</p>
<div class=""nured-commentary-notes""><h4>Commentary notes</h4><ol><li id=""nured-876-cite_note-2""><span class=""mw-cite-backlink""><a href=""#nured-876-cite_ref-2"">↑</a></span> <span class=""reference-text"">Could it be a typographical error? It appears in the wordlist directly below the identical tree name <i>azyú</i>.</span>
</li></ol></div></article>","nured[page 876, revision 2453, 2025-10-23]"
n2638,100223,etymology,html,"<article class=""nured-commentary"" data-page-id=""223"" data-revision-id=""3543""><h3>NurED commentary: <a href=""https://nured.org/w/index.php?title=%2Aa%E1%B9%81najja&amp;oldid=3543"">*aṁnajja</a> <small>(revision 3543)</small></h3><div class=""mw-heading mw-heading2""><h2 id=""nured-223-Commentary"">Commentary</h2></div>
<p>The shortening of the second vowel is a result of the <abbr title=""Middle Indo-Aryan"">MIA</abbr> law of two moras. In the <abbr title=""New Indo-Aryan"">NIA</abbr> cognates this is reversed by vowel lengthening before geminates, but the syncope in <abbr title=""Katë""><b>Kt.</b></abbr> would only apply to a short *<i>a</i>, which shows that this re-lengthening did not take place in Nuristani.
</p></article>","nured[page 223, revision 3543, 2026-04-13]"
n2746,101403,etymology,html,"<article class=""nured-commentary"" data-page-id=""1403"" data-revision-id=""3615""><h3>NurED commentary: <a href=""https://nured.org/w/index.php?title=%2Awi%C4%8B%28aya%29n%28a%29-&amp;oldid=3615"">*wiċ(aya)n(a)-</a> <small>(revision 3615)</small></h3><div class=""mw-heading mw-heading2""><h2 id=""nured-1403-Commentary"">Commentary</h2></div>
<p>An inherited word due to <abbr title=""Proto-Indo-Iranian""><b>PIIr.</b></abbr> *<i>ć</i> &gt; <abbr title=""Reconstructed Proto-Nuristani""><b>PNur.</b></abbr> *<i>ċ</i>.
</p><p>Turner derives these words from a reconstructed pseudo-<abbr title=""Old Indo-Aryan""><b>OIA</b></abbr> form *<i>ut-śiras-</i> (i.e., <abbr title=""Proto-Indo-Iranian""><b>PIIr.</b></abbr> *<i>ud</i> + *<i>ćr̥Has-</i>), citing the parallel of <abbr title=""Indo-Aryan"">IA</abbr> forms like <abbr title=""Old Indo-Aryan""><b>OIA</b></abbr> <i>ucchīrṣaka-</i> <i>n. n.</i> 'that which raises the head, pillow', <abbr title=""Prakrit""><b>Pkt.</b></abbr> <i>ussīsa-</i> <i>n. n.</i> 'pillow', but the Nuristani words require a nasal rather than a rhotic in the ancestral form and do not have much in common with the reflexes of <abbr title=""Proto-Indo-Iranian""><b>PIIr.</b></abbr> *<i>ćr̥Has-</i>.
</p><p>The fact that the <abbr title=""Katë""><b>Kt.</b></abbr> forms have a segmental nasal instead of vowel nasalization is explainable as an analogical generalization of the original non-direct stem ending in *<i>-n̆-</i> (cf. Halfmann <a href=""https://nured.org/wiki/Indexes:References#Halfmann2024a"" title=""Indexes:References""><abbr title=""Halfmann, Jakob. 2024. A Grammatical Description of the Katë Language (Nuristani). Cologne: University of Cologne dissertation. https://kups.ub.uni-koeln.de/73732/"">2024a</abbr></a>: 134–136).
</p><p>The <abbr title=""Katë""><b>Kt.</b></abbr> <span><abbr title=""Northeastern dialect"">ne</abbr></span> form <i>aċén̆</i> may derive from a different formation *<i>ā-ċayana-</i> with <abbr title=""Proto-Indo-Iranian""><b>PIIr.</b></abbr> *<i>ā</i> instead of *<i>u̯i</i> (cf. <abbr title=""Old Indo-Aryan""><b>OIA</b></abbr> <i>ā-śay-</i> 'to lie or rest on', <abbr title=""Middle Persian""><b>MP</b></abbr> <i>āsāy-</i> 'to rest'), though in view of the agreement of all other dialects and languages it is worth considering whether it could instead be explained as an analogical creation (extracted from a prefixed locative?).
</p></article>","nured[page 1403, revision 3615, 2026-04-23]"
