Form_ID,Position,Kind,Format,Content,Source
d1000,215,comparison,text,Cf. 2856 Ta. coli (Kol. Nk. and Pa. may be borrowed from Te.). DED(S) 841.,"dedr[entry 1000, DED(S) 841]"
d1004,453,comparison,text,? Cf. 1025 Ta. oṉpatu . Cf. 5281 Ta. vali . DED(S) 844.,"dedr[entry 1004, DED(S) 844]"
d1006,1314,comparison,text,Cf. 5276 Ta. val . DED(S) 846.,"dedr[entry 1006, DED(S) 846]"
d1010,837,comparison,text,Cf. 5296 Ta. var̤i . DED(S) 849.,"dedr[entry 1010, DED(S) 849]"
d1015,1103,comparison,text,"Cf. 698 Ta. uḷ . DED(S, N) 853.","dedr[entry 1015, DED(S, N) 853]"
d102,225,comparison,text,? Cf. 80 Ta. aṭukku . DED 92.,"dedr[entry 102, DED 92]"
d1025,435,comparison,text,"Cf. 990( a ) Ta. oru , 3532 Ta. toḷḷ-āyiram ; or ? cf. 1004 Ta. olku . DED 862.","dedr[entry 1025, DED 862]"
d1029,555,comparison,text,? Cf. 678 Ta. uvaṭṭu .,dedr[entry 1029]
d1030,206,comparison,text,"Cf. OMar. (Master) ogara, vogara rice, food. DED(S) 867.","dedr[entry 1030, DED(S) 867]"
d104,134,comparison,text,"? < Skt. ardha- , Pali Pkt. addha-, aḍḍha- half. DED 94.","dedr[entry 104, DED 94]"
d1047,188,comparison,text,Cf. 743 Konḍa ūd- . DED(S) 882.,"dedr[entry 1047, DED(S) 882]"
d1051,109,comparison,text,Cf. 984 Ta. oy . DED 885.,"dedr[entry 1051, DED 885]"
d1054,291,comparison,text,"Cf. Mar. ō̃vā L. ajwaen ; bishop's weed, or the seed of it, S. ammi. [C. copticum Benth. = L. ajawain Fleming = L. ajouan Roxb. = P. ajowan DC. = S. ammi Jacq.] DED 890.","dedr[entry 1054, DED 890]"
d106,55,comparison,text,? Cf. 372 ( a ) Ta. ār. DEDS 17.,"dedr[entry 106, DEDS 17]"
d1062,420,comparison,text,Cf. 5360 Ta. varam . DED(S) 896.,"dedr[entry 1062, DED(S) 896]"
d1064,212,comparison,text,Cf. 656 Ta. uru. DED(S) 898.,"dedr[entry 1064, DED(S) 898]"
d1068,91,comparison,text,Cf. 999 Ta. oliyal . DED 901.,"dedr[entry 1068, DED 901]"
d107,242,comparison,text,"Cf. Halbi aḍra bad. DEDS 18, and from DED 58.","dedr[entry 107, DEDS 18, DED 58]"
d1071,261,comparison,text,"Cf. 558 Ta. uka. DED(S, N) 904.","dedr[entry 1071, DED(S, N) 904]"
d1073,162,comparison,text,? Cf. 601 Ta. uṇaṅku . DED(S) 905.,"dedr[entry 1073, DED(S) 905]"
d1076,66,comparison,text,Cf. Skt. ( lex. ) karkaśa- sword. DED 907.,"dedr[entry 1076, DED 907]"
d1078,102,comparison,text,"Cf. Skt. ( Śabdaratnākara 1624) karkara- a gallinaceous bird, Pali kakkara- jungle cock. DED 908.","dedr[entry 1078, DED 908]"
d1079,948,comparison,text,Cf. 1477 Ta. kāl. DED(S) 909.,"dedr[entry 1079, DED(S) 909]"
d1080,219,comparison,text,? Cf. 1256 Kol. kayŋg-. DEDS 130.,"dedr[entry 1080, DEDS 130]"
d1091,305,comparison,text,"Cf. Pkt. kasavva- wet, damp. DED(S) 918.","dedr[entry 1091, DED(S) 918]"
d1097,880,comparison,text,"Cf. 1390 Ta. kaṟi . DED(S, N) 920.","dedr[entry 1097, DED(S, N) 920]"
d1098,113,comparison,text,? < Skt. kañcuka-. DED 921.,"dedr[entry 1098, DED 921]"
d110,720,comparison,text,? Cf. 131 Ta. aṇṇaṉ. DED 96.,"dedr[entry 110, DED 96]"
d1106,35,comparison,text,Cf. Pkt. ( DNM ) gajja- id. DED(S) 926.,"dedr[entry 1106, DED(S) 926]"
d1109,5278,comparison,text,"Cf. OMar. (Master) kaḍe, kaḍa edge, side. DED(S, N) 929.","dedr[entry 1109, DED(S, N) 929]"
d1113,363,comparison,text,"? Cf. 1149 Ta. kaṭṭu. DED(S, N) 934.","dedr[entry 1113, DED(S, N) 934]"
d1114,482,comparison,text,"Cf. 1123 Ta. kaṭavu . DED(S, N) 935.","dedr[entry 1114, DED(S, N) 935]"
d1117,567,comparison,text,"Cf. Skt. kaṇabha- a kind of fly with a sting; cf. Skt. gandhālī-, gandholī- wasp, Pkt. ( DNM ) gandhellī- bee, Mar. gã̄ndhīl (māśī) gadfly or other fly of which the bite occasions a bump. DED(S, N) 938.","dedr[entry 1117, DED(S, N) 938]"
d1123,1165,comparison,text,Cf. 1114 Ta. kaṭamā .,dedr[entry 1123]
d1132,240,comparison,text,Cf. Pkt. ( DNM ) karaḍa- id. DED (S) 1059( b ).,"dedr[entry 1132, DED(S) 1059(b)]"
d1135,2518,comparison,text,Cf. 1137 Ta. kaṭuku.,dedr[entry 1135]
d1137,134,comparison,text,Cf. 1135 Ta. kaṭu. DED 953.,"dedr[entry 1137, DED 953]"
d1139,391,comparison,text,Cf. Mar. kaḍbū a cake stuffed and rolled up. DED(S) 955.,"dedr[entry 1139, DED(S) 955]"
d1144,510,comparison,text,? Cf. 1148 Ta. kaṭṭu. DED 959.,"dedr[entry 1144, DED 959]"
d1146,110,comparison,text,Cf. 1147 Ta. kaṭṭu. DEDS 147.,"dedr[entry 1146, DEDS 147]"
d1147,3633,comparison,text,Cf. 1146 Ma. kaṭṭila .,dedr[entry 1147]
d1148,2050,comparison,text,? Cf. 1144 Ta. keṭṭi .,dedr[entry 1148]
d1149,287,comparison,text,? Cf. 1113 Ta. kaṭam. DED(S) 963.,"dedr[entry 1149, DED(S) 963]"
d1150,262,comparison,text,"Cf. Mar. kaṭ decoction of pulse. DED(S, N) 964.","dedr[entry 1150, DED(S, N) 964]"
d1152,61,comparison,text,Cf. Skt. ( lex. ) kaṭa- corpse. DED 966.,"dedr[entry 1152, DED 966]"
d1156,516,comparison,text,Cf. Pkt. ( DNM ) khaḍḍa- = śmaśru-. DED(S) 970.,"dedr[entry 1156, DED(S) 970]"
d1159,1084,comparison,text,Cf. 1443 Ta. kāṇ and 1182 Ta. kaṇṇāṭi .,dedr[entry 1159]
d1160,903,comparison,text,Cf. 1946 Ta. keṇṭai . DED(S) 974.,"dedr[entry 1160, DED(S) 974]"
d1166,849,comparison,text,"Cf. Skt., Pali kaṇaya- a kind of spear or lance. DED(S, N) 979.","dedr[entry 1166, DED(S, N) 979]"
d1167,83,comparison,text,Cf. Skt. kaṇā- id. DED 980.,"dedr[entry 1167, DED 980]"
d117,225,comparison,text,? < Skt. anīka-; Pkt. aṇiya-. DED(S) 99.,"dedr[entry 117, DED(S) 99]"
d1171,652,comparison,text,Cf. Sgh. kaḍol mangrove. DED(S) 984.,"dedr[entry 1171, DED(S) 984]"
d1172,227,comparison,text,? Cf. 1443 Ta. kāṇ. DED 985.,"dedr[entry 1172, DED 985]"
d1173,1014,comparison,text,"Cf. Skt. ( lex. ) gaṇḍa-, gaṇḍīra- hero. DED(S) 986.","dedr[entry 1173, DED(S) 986]"
d1174,222,comparison,text,Cf. Mar. kaṇṭhāḷī a bag having opening in the middle. DED 987.,"dedr[entry 1174, DED 987]"
d118,205,comparison,text,? < Skt. anīka- ; Pkt. aṇiya- ; this meaning not recorded. DED(S) 100.,"dedr[entry 118, DED(S) 100]"
d1182,456,comparison,text,Cf. 1159 Ta. kaṇ . DED 993.,"dedr[entry 1182, DED 993]"
d1185,88,comparison,text,"Cf. 1353 Ma. kayal , Ka. kar̤ale . DED(S) 996.","dedr[entry 1185, DED(S) 996]"
d1186,411,comparison,text,Cf. 1447 Ta. kātu . DED 997.,"dedr[entry 1186, DED 997]"
d1189,571,comparison,text,Cf. 1206 Ta. kattu. DED 1000.,"dedr[entry 1189, DED 1000]"
d1192,192,comparison,text,Cf. Halbi gadeya granary. DEDS 152.,"dedr[entry 1192, DEDS 152]"
d1198,108,comparison,text,"? Cf. Skt. kadamba(ka)- multitude, troop. DED(S) 1006.","dedr[entry 1198, DED(S) 1006]"
d120,2977,comparison,text,"Cf. 3588 Ta. naṇṇu . DED(S, N) 69( b ).","dedr[entry 120, DED(S, N) 69(b)]"
d1204,460,comparison,text,? Cf. 1208 Kol. katk- . DED(S) 1012.,"dedr[entry 1204, DED(S) 1012]"
d1206,183,comparison,text,Cf. 1189 Ta. kataṟu . DED 1013.,"dedr[entry 1206, DED 1013]"
d1208,884,comparison,text,"? Cf. 1204 Ta. katti. DED(S, N) 1015.","dedr[entry 1208, DED(S, N) 1015]"
d1212,334,comparison,text,Cf. 1552 Ta. kittu . DED(S) 1018.,"dedr[entry 1212, DED(S) 1018]"
d1213,213,comparison,text,Cf. Or. kāndula id. DED(S) 1019.,"dedr[entry 1213, DED(S) 1019]"
d1218,147,comparison,text,"Cf. Apabhraṃśa ( Mahāpurāṇa ) kappa- tribute, tax, ransom. DED 1021.","dedr[entry 1218, DED 1021]"
d122,382,comparison,text,? Cf. 83 Ta. aṭai . DED 102.,"dedr[entry 122, DED 102]"
d1221,1998,comparison,text,Cf. 1225 Kur. kappnā and 1324 Ta. kavanti.,dedr[entry 1221]
d1223,340,comparison,text,Cf. 1467 Go. kār- .,dedr[entry 1223]
d1231,156,comparison,text,"Cf. Skt. kavara- sourness, acidity. DED 1031.","dedr[entry 1231, DED 1031]"
d1237,162,comparison,text,"Cf. Mayrhofer, s.v. kampanaḥ . DED 1036.","dedr[entry 1237, DED 1036]"
d1240,72,comparison,text,Cf. Sgh. kam̆ba strong rope. DEDS 162.,"dedr[entry 1240, DEDS 162]"
d1242,146,comparison,text,Cf. Skt. kambū- (Hem. Uṇ 847) = kuruvinda-. [ Pennisetum typhoideum Rich. = Panicum spicatum Roxb. = H. spicatus Linn. = many other synonyms.] DED 1040.,"dedr[entry 1242, DED 1040]"
d1247,1389,comparison,text,Cf. 1334 Ta. kaviccu .,dedr[entry 1247]
d1247,1414,comparison,text,Cf. H. gamak fragrance.,dedr[entry 1247]
d1253,103,comparison,text,"Cf. DCV , no. 957. DEDS 163.","dedr[entry 1253, DEDS 163]"
d1256,450,comparison,text,? Cf. 2010 Te. kēru . ? Cf. 1080 Kui kapka . DED(S) 1053.,"dedr[entry 1256, DED(S) 1053]"
d1257,82,comparison,text,"Cf. DCV , no. 1843. DEDS(N) 164.",dedr[entry 1257]
d1258,630,comparison,text,"Cf. Skt. kharpara- thief; kharapaṭa- name of the author of the cora-śāstra-, otherwise called Karṇīsuta (Mattavilāsap°; in Ta. the treatise is known as karavaṭa-nūl [Cilapp.]). DED 1054.","dedr[entry 1258, DED 1054]"
d1260,84,comparison,text,? Cf. 1265 Ta. karaṭu . DED 1056.,"dedr[entry 1260, DED 1056]"
d1261,110,comparison,text,Cf. 1966 Ko. kerc.,dedr[entry 1261]
d1261,131,comparison,text,"? Cf. Pali karīsa- a square measure of land, being that space on which a karīsa of seed can be sown. DED(S) 1057.","dedr[entry 1261, DED(S) 1057]"
d1264,175,comparison,text,Cf. Skt. karaṭa- a kind of drum. DED 1060.,"dedr[entry 1264, DED 1060]"
d1265,1582,comparison,text,? Cf. 1260 Ka. garasu.,dedr[entry 1265]
d1278,3028,comparison,text,Cf. 1282 Ta. karuṅkāli .,dedr[entry 1278]
d1278,3055,comparison,text,Cf. Mar. karapṇẽ to scorch.,dedr[entry 1278]
d1279,590,comparison,text,"Cf. 1281 Ta. karukkāy . DED(S, N) 1074.","dedr[entry 1279, DED(S, N) 1074]"
d1281,303,comparison,text,Cf. 1279 Ta. karu . DED(S) 1076.,"dedr[entry 1281, DED(S) 1076]"
d1282,324,comparison,text,Cf. 1278( a ) Ta. karu . DED(S) 1077.,"dedr[entry 1282, DED(S) 1077]"
d1288,278,comparison,text,Cf. Mar. karvā a bit of sugarcane. DED(S) 1083.,"dedr[entry 1288, DED(S) 1083]"
d1297,2215,comparison,text,Cf. Skt. kalā- an art. DED (S) 1090.,"dedr[entry 1297, DED(S) 1090]"
d1299,2569,comparison,text,Cf. Skt. kalka- a medicinal paste (mixture); avakalkana- mixing ( lex. ). DED(S) 1092.,"dedr[entry 1299, DED(S) 1092]"
d1301,133,comparison,text,? Cf. 1305 Ta. kalam .,dedr[entry 1301]
d1301,158,comparison,text,"Cf. Pkt. (Sheth, suppl.) khallaga-, khallaya- leaf-cup. DED(S) 1094.","dedr[entry 1301, DED(S) 1094]"
d1303,2778,comparison,text,Cf. 1306 Ta. kalavaram.,dedr[entry 1303]
d1305,344,comparison,text,? Cf. 1301 Ta. kallai.,dedr[entry 1305]
d1305,369,comparison,text,Cf. Skt. kalā- boat; ? kalaśa- pot. DED(S) 1098.,"dedr[entry 1305, DED(S) 1098]"
d1306,482,comparison,text,Cf. 1303 Ta. kalaṅku and 1310 Ta. kalipali.,dedr[entry 1306]
d1307,122,comparison,text,"? Cf. Ta. kar̤unīr, ceṅ-kar̤unīr, Ma. ceṅ-kar̤inīr waterlily. DEN 15.","dedr[entry 1307, DEN 15]"
d1308,167,comparison,text,"Cf. Skt. (inscr.; Schmidt, Nachträge ) kali- hero. DEDS 169.","dedr[entry 1308, DEDS 169]"
d131,905,comparison,text,? Cf. 110 Ta. aṇ .,dedr[entry 131]
d131,925,comparison,text,"Cf. Pkt. ( DNM 1.51) aṇṇī- . DED(S, N) 112.","dedr[entry 131, DED(S, N) 112]"
d1310,270,comparison,text,"Cf. 1306 Ta. kalavaram , esp. Ka. kaḷavaḷike , etc.",dedr[entry 1310]
d1310,324,comparison,text,Cf. Mar. galbalṇẽ to be in commotion; galbā clamour; and also the references at 1306. DED 1101.,"dedr[entry 1310, DED 1101]"
d1324,235,comparison,text,"Cf. Ta. kavi , s.v. 1221 Ta. kappu. DED 1112.","dedr[entry 1324, DED 1112]"
d1326,597,comparison,text,Cf. Skt. kavarakī- a captive female prisoner. DED(S) 1114.,"dedr[entry 1326, DED(S) 1114]"
d1327,202,comparison,text,"Cf. Skt. kavara-, kabara-, kavarī-, kabarī braid of hair. DED 1115.","dedr[entry 1327, DED 1115]"
d1331,39,comparison,text,"Cf. DCV , no. 1076. DEDS 173.","dedr[entry 1331, DEDS 173]"
d1334,676,comparison,text,Cf. 1247( a ) Ta. kamm-eṉal. DED(S) 1120.,"dedr[entry 1334, DED(S) 1120]"
d1335,1103,comparison,text,Cf. 1344 Kur. kab'ā-kub'urnā. DED(S) 1121.,"dedr[entry 1335, DED(S) 1121]"
d1344,205,comparison,text,Cf. 1335 Ta. kavir̤ . DED 1131.,"dedr[entry 1344, DED 1131]"
d1347,317,source-note,text,[ Caesalpinia = Guilandina. ] DED(N) 1134.,"dedr[entry 1347, DED(N) 1134]"
