Byte	Unicode	Name
21	ː	modifier letter triangular colon
3C	ɸ	latin small letter phi
41	ɑ	latin small letter alpha
43	ç	latin small letter c with cedilla
45	ɛ	latin small letter open e
49	ɪ	latin letter small capital i
4B	ɠ	latin small letter g with hook
50	ɵ	latin small letter barred o
52	ɾ	latin small letter r with fishhook
53	ʃ	latin small letter esh
55	ʊ	latin small letter upsilon
56	ʋ	latin small letter v with hook
5A	ʒ	latin small letter ezh
67	g	latin small letter g
7D	ɽ	latin small letter r with tail
82	i	latin small letter i positional variant
84	ə	latin small letter schwa
86	ɐ	latin small letter turned a
89	ʌ	latin small letter turned v
8A	ɔ	latin small letter open o
95	ɳ	latin small letter n with retroflex hook
96	ʂ	latin small letter s with hook
98	ʈ	latin small letter t with retroflex hook
99	ɖ	latin small letter d with tail
9B	ɭ	latin small letter l with retroflex hook
9D	ɲ	latin small letter n with left hook
A4	ŋ	latin small letter eng
A9	ɦ	latin small letter h with hook
D0	◌̃	combining tilde
D1	◌̃	combining tilde positional variant
E4	◌̱	combining macron below
E6	◌̪	combining bridge below
