Codepoint	Occurrences	Unicode	Glyph	Source_image_evidence
U+F045	145	U+025B	ɛ	pp. 35, 50: beli; dʒallitʃʰɛ
U+F049	29	U+026A	ɪ	pp. 35, 50: dɪn; tɪŋŋitʃʰɛ
U+F052	102	U+027E	ɾ	pp. 35, 52: taɾa; amɾa
U+F053	154	U+0283	ʃ	pp. 35, 50: akaʃ; ʃukna
U+F05A	67	U+0292	ʒ	pp. 35, 50: dʒilkar; dʒal
U+F067	91	U+0261	ɡ	pp. 35, 52: ɡudʒuɾan; kuŋɡo
U+F07D	18	U+027D	ɽ	pp. 35, 42: pahaɽ; bɔɽo
U+F08A	81	U+0254	ɔ	pp. 35, 50: ʃɔmudɾo; ɡɔɾom
U+F091	2	U+0279	ɹ	p. 35: ʃuɹdʒo; mɛɡʰ ɡɔɹdʒon
U+F098	121	U+0074	t	pp. 35, 50: tʃãd; tʃalakkoɾɛ
U+F099	8	U+0256	ɖ	pp. 45, 50: ɖʰoka; tʰanɖa
U+F0A4	79	U+014B	ŋ	pp. 35, 52: rɔŋdʰɔnu; taŋŋi
U+F0D0	7	U+0303	◌̃	pp. 35, 43: tʃãd; dʒãaɽu
U+F0EB	43	U+032F	◌̯	pp. 35, 52: bou̯; koi̯ɡo
