section,pdf_page,printed_page,top,native,raw_head,form,pos,gloss,cdial_ids,link_method,etymology,ocr_confidence,confidence,review_reasons,gold_rows,raw_entry
main,36,1,79,ਉਸ,usa (emph. usahi),usa,pr,"that, him",,unlinked,usu. form of USU before ppn.,90.1773296923077,0.8300000000000001,,,"usa (emph. usahi), pr. ‘that, him’. 2. [usu. form of USU before ppn.]"
main,36,1,155,ਉਸਟਿ,usatti,usaṭṭi,vt,"throw, cast away",1890,gold,< 1890 utsrsta-j,86.5861969,1.0,,1,"usatti, v.t. ‘throw, cast away’. 1. [ < 1890 utsrsta-j"
main,36,1,211,ਉਸਤਤਿ,usatati,usatati,f,praise,,unlinked,for Sk. stuti-,73.2341061111111,0.71,,,"usatati, f. ‘praise’ (+ kari). 4. [for Sk. stuti-]"
main,36,1,271,,usatādu,usatādu,m,"teacher, guru",,unlinked,Pers. ustād,86.89340157142858,0.77,missing_native,,"usatādu, m. ‘teacher, guru’. 1. [Pers. ustād]"
main,36,1,333,ਉਸਠ,usanu,usanu,adj,"hot; heat, hot season",,unlinked,,93.65410763636363,0.8300000000000001,,,"usanu, adj., m. ‘hot; heat, hot season’. 1. (for Sk. usna-]"
main,36,1,391,ਉਸਰਿ,ussari,ussari,vi,be built,1874,gold,1874 utsarati: = OSARI,87.63664066666666,1.0,,2,"ussari, v.i. ‘be built’. 1. [1874 utsarati: = OSARI]"
main,36,1,450,ਉਸਾਰਿ,usāri,usāri,vt,"build, construct",1881,gold,1881 utsārayatij,74.69580642857143,1.0,,3,"usāri, v.t. ‘build, construct’. 9. [1881 utsārayatij"
main,36,1,510,ਉਸੁ,usu,usu,pr,"that, him, for him",972,gold,"972 asau: so. of “uhu, which does not occur (but see OHU): related forms are so. USA; sl. UTAÊ, UTU, UNI; po. UNHA, UNHĀM",90.41051414358974,1.0,,4,"usu, pr. ‘that, him, for him’. 2. [972 asau: so. of “uhu, which does not occur (but see OHU): related forms are so. USA; sl. UTAÊ, UTU, UNI; po. UNHA, UNHĀM]"
main,36,1,661,ਉਗਵਿ,uggavi,uggavi,vi,"shoot, spring up, grow; rise (of the sun)",1947,gold,1947 *udgamati: = ŪGAVI,74.45910145833334,1.0,,5,"uggavi, v.i. ‘shoot, spring up, grow; rise (of the suny. 7. [1947 *udgamati: = ŪGAVI]"
main,36,1,763,ਉਗਾਹੀ,ugāhiī,ugāhiī,f,"evidence, witness",,unlinked,Pers. gavåāhī. cf. tOGAHU,71.3621548,0.71,,,"ugāhiī, f. ‘evidence, witness’ (+de). 1. [Pers. gavåāhī. cf. tOGAHU]"
main,36,1,826,ਉਘਤਿ,tugghari,ugghaṛi,vi,open (of door),1968,gold,1968 *udghatati,85.787577625,1.0,,6,"tugghari, v.i. ‘open (of door]. M2. [1968 *udghatati]"
main,36,1,888,ਉਚਰਿ,uccari,uccari,vt,"utter, pronounce, recite",1641,gold,1641 učcarati: = ŪCARI,79.2629791,1.0,,7,"uccari, v.t. ‘utter, pronounce, recite’. 4. [1641 učcarati: = ŪCARI]"
main,36,1,945,ਉਚਾ,uccā (ext. fsl. -arīai SuC3),"uccā, uccaṛīai",adj,high; loud (of voice),1634,gold,1634 ucca-: =0MCĀ,77.97515496153846,1.0,,8,"uccā (ext. fsl. -arīai SuC3), adj. ‘high; loud (of voicey. 3. [1634 ucca-: =0MCĀ]"
main,36,1,1050,ਉਚਾਇ,ucāi,ucāi,vt,"raise, lift",1634,gold,< 1634 ucca- (Pk. uccāāvei),82.65066054545454,1.0,,9,"ucāi, v.t. ‘raise, lift’. 1. [ < 1634 ucca- (Pk. uccāāvei)]"
main,36,1,1113,ਉਚਾਪਤਿ,ucāpati,ucāpati,f,goods taken on credit,1643,gold,< 1643 *uccāpyate?,81.42403663636364,1.0,,10,"ucāpati, f. ‘goods taken on credit’. 1. [ < 1643 *uccāpyate?]"
main,36,1,1169,ਉਛਾਹਾੜਾ,uchāhārā,uchāhāṛā,adj,merry,1882,gold,ext. of 1882 utsāha-,88.36038095,1.0,,11,"uchāhārā, adj. ‘merry’, in kūru māre kālu ucčchāhārā MrS6' ‘death merrily strikes down the false’. 1"". [ext. of 1882 utsāha-]"
main,36,1,1273,ਉਲਲਾ,ujjalā (-u),"ujjalā, ujjalu",adj,"bright, clean, beautiful; white (of hair)",1670,gold,1670 ujjvala-: = OJALU,85.77814648333333,1.0,,12,"ujjalā (-u), adj. ‘bright, clean, beautiful; white (of hairy: mukhu ujjalu hoi ‘face to be bright, i.e. be honoured, unsmirched’. 9. [1670 ujjvala-: = OJALU]"
main,36,1,1424,ਉਜਤਿ,ajjari,ujjaṛi,vi,"be uprooted, laid waste, ruined",1661,gold,E661 *ujjatati,78.1302735,1.0,,13,"ajjari, v.i. ‘be uprooted, laid waste, ruined’. 1. [E661 *ujjatati]]"
main,36,1,1481,ਉਜਾਰਿ,ujāri,ujari,vt,make (lamp) shine,1669,gold,1669 *ujjvārayati,86.1586485,1.0,,14,"ujāri, v.t. ‘make (lamp) shine’. 1"". [1669 *ujjvārayati]"
main,36,1,1539,ਉਜਾਲਾ,ujālā,ujālā,m,"light, shining, dawn",1673,gold,1673 *ujjvālaka-: = UNALA,66.8758236,1.0,,15,"ujālā, m. ‘light, shining, dawn’. 2"". [1673 *ujjvālaka-: = UNALA]"
main,36,1,1599,ਉਜਾੜਿ,ujāri,ujāṛi,vt,"uproot, lay waste, ruin",1661,gold,1661 *ujjātayati,87.01138777777777,1.0,,16,"ujāri, v.t. ‘uproot, lay waste, ruin’. 1"". [1661 *ujjātayati]"
main,36,1,1658,ਉਜਿਆਰਾ,ujiāārā,ujiāārā,m,,1673,crossref,= UJIALA,59.87953133333334,0.52,missing_gloss,,"ujiāārā, m. 2°. [ = UJIALA]]"
main,36,1,1715,ਉਜਿਆਲਾ,ujiālā,"ujiālā, ujiārā",m,"light, shining, dawn",1673,gold,"1673 *ujjvālaka- [x386 andhakāra-): = UJĀLĀ, UJIĀRĀ",68.10166476388889,1.0,,17;18,"ujiālā, m. “light, shining, dawn’. 2%. [1673 *ujjvālaka- [x386 andhakāra-): = UJĀLĀ, UJIĀRĀ]"
main,36,1,1817,ਉਜੂ,tujū,ujū,m,Muslim ritual ablution,,unlinked,Ar. vuzā,84.1138525,0.8300000000000001,,,"tujū, m. ‘Muslim ritual ablution’ (+ sāāji). F. [Ar. vuzā]"
main,37,2,6,ਉਝੜ,ujjharu,ujjhaṛu,m,"trackless country, wilderness",1660b,gold,"1660b *ujjata- (with -jh- < 1674 ujjhat?), =S. ojharu: = OJHARU",80.03997325757575,1.0,,20,"ujjharu, m. ‘trackless country, wilderness’ ; sl. ujjhari as adv. ‘astray’, sim. ujjhara pāi? MIV16 ‘having caused to go astray’. 7. [1660b *ujjata- (with -jh- < 1674 ujjhat?), =S. ojharu: = OJHARU]"
main,37,2,160,ਉਠਾਇ,uthāi,uṭhāi,vt,"lift, take up (burden)",1903,gold,1903 *ut-sthāpayati:= UTHALT,76.86504190000001,1.0,,21,"uthāi, v.t. ‘lift, take up (burdeny. 2. [1903 *ut-sthāpayati:= UTHALT"
main,37,2,219,ਉਠਾਲਿ,uthāli,uṭhāli,vt,"lift, raise, rouse (sleepers)",1900,gold,v.c. < UTTRI: = UTHĀI,67.46918041666667,1.0,,22,"uthāli, v.t. ‘lift, raise; rouse (sleepers). 3. [v.c. < UTTRI: = UTHĀI]"
main,37,2,274,ਉਠਿ,utthi (abs. also utthi),"uṭṭhi, uṭṭhī",vi,"rise, get up",1900,gold,1900 *ut-sthāti,80.26635991666666,1.0,,23,"utthi (abs. also utthi), v.i. ‘rise, get up”: utthi jāi, utthī calli ‘get up and go, die, depart’. 31. [1900 *ut-sthāti]"
