section,pdf_page,printed_page,top,native,raw_head,form,pos,gloss,cdial_ids,link_method,etymology,ocr_confidence,confidence,review_reasons,gold_rows,raw_entry
main,36,1,211,ਉਸਤਤਿ,usatati,usatati,f,praise,,unlinked,for Sk. stuti-,73.2341061111111,0.71,,,"usatati, f. ‘praise’ (+ kari). 4. [for Sk. stuti-]"
main,36,1,763,ਉਗਾਹੀ,ugāhiī,ugāhiī,f,"evidence, witness",,unlinked,Pers. gavåāhī. cf. tOGAHU,71.3621548,0.71,,,"ugāhiī, f. ‘evidence, witness’ (+de). 1. [Pers. gavåāhī. cf. tOGAHU]"
main,36,1,1658,ਉਜਿਆਰਾ,ujiāārā,ujiāārā,m,,1673,crossref,= UJIALA,59.87953133333334,0.52,missing_gloss,,"ujiāārā, m. 2°. [ = UJIALA]]"
main,37,2,1456,ਉਤਾਹਿ,utārhhi,utārhhi,adv,"upwards, up",,unlinked,uttamasmin: cf. tUTTAI,73.82841442857143,0.71,,,"utārhhi, adv. ‘upwards, up’. [uttamasmin: cf. tUTTAI]"
main,37,2,1798,ਉਤੈ,tuttai,uttai,ppn,òn,,unlinked,uttamasmin: cf. UTAMHI] (a D a aa E ma oaa E e,42.61753682738095,0.5899999999999999,low_ocr_confidence,,"tuttai, ppn. ‘òn’. F. [uttamasmin: cf. UTAMHI] (a D a aa E ma oaa E e"
main,38,3,369,ਉਦਿਆਨਾ,udiānā,udiānā,m,"forest, jungle",,unlinked,Sk. udyāna- ‘park’`,71.052923375,0.71,,,"udiānā, m. ‘forest, jungle’. 4"". [Sk. udyāna- ‘park’`]"
main,38,3,1189,ਉਨਾਂ,unhāārh,unhāārh,pr,"those, them",,unlinked,,74.7222351,0.71,,,"unhāārh, pr. ‘those, them’. 1. ( = UNHa; see Usu]"
main,38,3,1306,ਉਪਕੰਠੁ,upakantthu,upakaṇṭṭhu,m,neighbourhood,,unlinked,,76.87099202777777,0.71,,,"upakantthu, m. ‘neighbourhood’, as nadi upakanthi MIA2 ‘beside a river’. 1. (Sk. upakantha-])"
main,38,3,1405,ਉਪਕਾਰੁ,tupakāru,upakāru,m,"help, service, benefit",,unlinked,Sk. upakāāra-,78.106174,0.71,,,"tupakāru, m. ‘help, service, benefit’. M2"". [Sk. upakāāra-]"
main,39,4,91,ਉਪਦੇਸੁ,upadesu,upadesu,m,"instruction, direction, teaching",,unlinked,Sk. upadeśa-,79.58253305555556,0.71,,,"upadesu, m. ‘instruction, direction, teaching’ (+ kari). 8. [[Sk. upadeśa-]"
main,39,4,912,ਉਂਮਰ,tummara,ummara,f,,,unlinked,Ar. ‘umr,85.32531383333334,0.56,missing_gloss,,"tummara, f. life’. F. [Ar. ‘umr]]"
main,39,4,1138,ਉਰਹਾਰੁ,urabāru,urabāru,m,"garland (for the breast, hearty. 1"". [URU + HAĀRU",,unlinked,URU + HAĀRU',81.58765936363636,0.71,suspicious_gloss,,"urabāru, m. ‘garland (for the breast, hearty. 1"". [URU + HAĀRU']"
main,40,5,1555,ਉਤਾ,ūbhā (-au),ūbhā,adj,standing,,unlinked,= UBBHĀ,69.20763775,0.71,,,"ūbhā (-au), adj. ‘standing’. 5. [ = UBBHĀ]"
main,40,5,1782,ਉਰਮ,ürama,ürama,f,"wave, i.e. sea.",,unlinked,"Sk. ürmi-] ""a, HLO OVI ICALI J AL LE -",61.3922435625,0.71,,,"ürama, f. ‘wave, i.e. sea.’ 1. [Sk. ürmi-] ""a, HLO OVI ICALI J AL LE -"
main,41,6,78,ਓਮ਼ੈਕਾਰੁ,oarhkāru,oarhkāru,m,God (as the primal being].,,unlinked,"Sk. orhkāra- ‘the sacre syllable om, etc.'",74.16122679166666,0.71,,,"oarhkāru, m. ‘God (as the primal being]. 6. [Sk. orhkāra- ‘the sacre syllable om, etc.']"
main,41,6,524,ਓਹੀ,ohī? (ohi' Si6),ohī,intj,"lament, moan, groan",,unlinked,onom.,50.68753154545455,0.5899999999999999,low_ocr_confidence,,"ohī? (ohi' Si6), intj. ʻalas”: ohī kari ‘lament, moan, groan’. c [onom.]"
main,41,6,675,,MrAT'; pd. ohi?),MrAT'; pd. ohi?),pr,"that, he, she, it",,rejected,972 asa related forms are so. Osu (and cf. VA); sl. OTU; pd. OI; po. ONHĀAM; p ONHĪM (and see usu),80.8930635079365,0.51,missing_native;unverified_cdial_candidate;suspicious_headword,,"MrAT'; pd. ohi?), pr. ‘that, he, she, it'; p. ‘those, they’. 47. [972 asa related forms are so. Osu (and cf. VA); sl. OTU; pd. OI; po. ONHĀAM; p ONHĪM (and see usu)]"
