PDF_Page	Printed_Page	Concept	Gloss	Lect	Category	Response_Index	Form	Raw_Fragments	Notes	Source_Status
59	59	1	body	Ujjaini-Malvi-Harsodan	1	1	sʌɾiɾ	s(cid:106)(cid:52)i(cid:52)		response
59	59	1	body	Ujjaini-Malvi-Chandukhedi	2	1	bʌd̪ʌn	b(cid:106)d(cid:196)(cid:106)n		response
59	59	1	body	Ujjaini-Malvi-Nain	1,3	1	ʃʌɾiɾ, ɖil	(cid:53)(cid:106)(cid:52)i(cid:52), (cid:122)il		response
59	59	1	body	Ujjaini-Malvi-Nain	4	2	ʌŋg	(cid:106)(cid:132)(cid:73)		response
59	59	1	body	Ujjaini-Malvi-Koyal	1	1	sʌɾiɾ	s(cid:106)(cid:52)i(cid:52)		response
59	59	1	body	Ujjaini-Malvi-Rojdi	1	1	çʌɾiɾ	(cid:37)(cid:106)(cid:52)i(cid:52)		response
59	59	1	body	Ujjaini-Malvi-Thillorkhurd	1	1	ʃəɾɪɾ	(cid:53)(cid:101)(cid:52)(cid:43)(cid:52)	source label 'Ujjain-Malvi-Thillorkhurd'	response
59	59	1	body	Ujjaini-Malvi-Kumardi	1	1	sʌɾiɾ	s(cid:106)(cid:52)i(cid:52)		response
59	59	1	body	Ujjaini-Malvi-Kumardi	2	2	bʌd̪ʌn	b(cid:106)d(cid:196)(cid:106)n		response
59	59	1	body	Ujjaini-Malvi-Jokhar	1	1	ʃʌɾiɾ	(cid:53)(cid:106)(cid:52)i(cid:52)		response
59	59	1	body	Ujjaini-Malvi-Bercha	1,3	1	ʃʌɾiɾ, ɖil	(cid:53)(cid:106)(cid:52)i(cid:52), (cid:122)il		response
59	59	1	body	Ujjaini-Malvi-Moondikhedi	2	1	vʌd̪ʌn	v(cid:106)d(cid:196)(cid:106)n		response
59	59	1	body	Rajwadi-Malvi-Lojithara	1	1	sʌɾiɾ	s(cid:106)(cid:52)i(cid:52)		response
59	59	1	body	Rajwadi-Malvi-Bhimakhedi	1,4	1	ʃʌɾiɾ, ʌŋg	(cid:53)(cid:106)(cid:52)i(cid:52), (cid:106)(cid:132)(cid:73)		response
59	59	1	body	Rajwadi-Malvi-Kishorpura	3	1	ɖil	(cid:122)il		response
59	59	1	body	Rajwadi-Malvi-Bhunyakhedi	1	1	sʌɾiɾ	s(cid:106)(cid:52)i(cid:52)		response
59	59	1	body	Rajwadi-Malvi-Jesingpura	3,6	1	ɖil, t̪ʌn	(cid:122)il, t(cid:196)(cid:106)n		response
59	59	1	body	Rajwadi-Malvi-Bhandia	1	1	ʃʌɾiɾ	(cid:53)(cid:106)(cid:52)i(cid:52)		response
59	59	1	body	Umadwadi-Malvi-Jhadmu	6	1	t̪ʌn	t(cid:196)(cid:106)n		response
59	59	1	body	Umadwadi-Malvi-Semlikakad	1	1	sʌɾiɾ	s(cid:106)(cid:52)i(cid:52)		response
59	59	1	body	Umadwadi-Malvi-Sagpur	1	1	sʌɾiɾ	s(cid:106)(cid:52)i(cid:52)		response
59	59	1	body	Umadwadi-Malvi-Paldyabana	2	1	bʌd̪ʌn	b(cid:106)d(cid:196)(cid:106)n		response
59	59	1	body	Umadwadi-Malvi-Mungavali	1	1	sʌɾiɾ	s(cid:106)(cid:52)i(cid:52)		response
59	59	1	body	Umadwadi-Malvi-Mungavali	2	2	bʌd̪ʌn	b(cid:106)d(cid:196)(cid:106)n		response
59	59	1	body	Sondhwadi-Malvi-Harnauda	3	1	ɖil	(cid:122)il		response
59	59	1	body	Sondhwadi-Malvi-Narana	1	1	sʌɾiɾ	s(cid:106)(cid:52)i(cid:52)		response
59	59	1	body	Sondhwadi-Malvi-Adakhedi	2	1	bʌd̪ʌn	b(cid:106)d(cid:196)(cid:106)n		response
59	59	1	body	Sondhwadi-Malvi-Era	1	1	sʌɾiɾ	s(cid:106)(cid:52)i(cid:52)		response
59	59	1	body	Sondhwadi-Malvi-Deevdi	1	1	sʌɾiɾ	s(cid:106)(cid:52)i(cid:52)		response
59	59	1	body	Sondhwadi-Malvi-Jamli	2,3	1	bʌd̪ʌn, ɖil	b(cid:106)d(cid:196)(cid:106)n, (cid:122)il		response
59	59	1	body	Gond-Malvi-Kalwar	3	1	ɖil	(cid:122)il		response
59	59	1	body	Gond-Malvi-Samapura	1	1	sʌɾiɾ	s(cid:106)(cid:52)i(cid:52)		response
59	59	1	body	Gond-Malvi-Samapura	2	2	bʌd̪ʌn	b(cid:106)d(cid:196)(cid:106)n		response
59	59	1	body	Bhil-Malvi-Bhandikhali	1	1	ɕʌɾili	(cid:139)(cid:106)(cid:52)ili		response
59	59	1	body	Bhili-Kankaria	7	1	mʌnʌk	m(cid:106)n(cid:106)k		response
59	59	1	body	Bhili-Athwaniya	3	1	ɖil	(cid:122)il		response
59	59	1	body	Nimadi-Jajumkhedi	2	1	bɑd̪ɑn	b(cid:35)d(cid:196)(cid:35)n		response
59	59	1	body	Nimadi-Sonipura	1	1	sʌɾir	s(cid:106)(cid:52)ir		response
59	59	1	body	Bhopali-Rpura	5	1	sinɑ	sin(cid:35)		response
59	59	1	body	Hindi-standard	1	1	ʃəɾiɾ	(cid:53)(cid:101)(cid:52)i(cid:52)		response
59	59	1	body	Gujarati-Standard	1	1	ʃəɾiɾ	(cid:53)(cid:101)(cid:52)i(cid:52)		response
59	59	1	body	Marathi-Standard	1	1	səɾiɾ	s(cid:101)(cid:52)i(cid:52)		response
59	59	1	body	Marathi-Standard	4	2	ʌŋg	(cid:106)(cid:132)(cid:73)		response
59	59	2	head	Ujjaini-Malvi-Harsodan	1	1	mɑt̪ʰo	m(cid:35)t(cid:196)ho		response
59	59	2	head	Ujjaini-Malvi-Chandukhedi	1	1	mɑt̪ʰɑ	m(cid:35)t(cid:196)h(cid:35)		response
59	59	2	head	Ujjaini-Malvi-Nain	1	1	mad̪ʱo	mad(cid:196)(cid:137)o		response
59	59	2	head	Ujjaini-Malvi-Koyal	1	1	mɑt̪ʰɑ	m(cid:35)t(cid:196)h(cid:35)		response
59	59	2	head	Ujjaini-Malvi-Rojdi	1	1	mad̪ʱɑ	mad(cid:196)(cid:137)(cid:35)		response
59	59	2	head	Ujjaini-Malvi-Thillorkhurd	1	1	mɑt̪ʰɑ	m(cid:35)t(cid:196)h(cid:35)		response
59	59	2	head	Ujjaini-Malvi-Kumardi	1	1	mad̪ʱo	mad(cid:196)(cid:137)o		response
59	59	2	head	Ujjaini-Malvi-Jokhar	1	1	mad̪ʱɑ	mad(cid:196)(cid:137)(cid:35)		response
59	59	2	head	Ujjaini-Malvi-Bercha	1	1	mɑt̪ʰo	m(cid:35)t(cid:196)ho		response
59	59	2	head	Ujjaini-Malvi-Bercha	3	2	kʌbal	k(cid:106)bal		response
59	59	2	head	Ujjaini-Malvi-Moondikhedi	1	1	mɑt̪ʰɑ	m(cid:35)t(cid:196)h(cid:35)		response
59	59	2	head	Rajwadi-Malvi-Lojithara	1	1	mɑt̪ʰo	m(cid:35)t(cid:196)ho		response
59	59	2	head	Rajwadi-Malvi-Bhimakhedi	1	1	mɑd̪ɑ	m(cid:35)d(cid:196)(cid:35)		response
59	59	2	head	Rajwadi-Malvi-Kishorpura	1	1	mɑt̪ʰɑ	m(cid:35)t(cid:196)h(cid:35)		response
59	59	2	head	Rajwadi-Malvi-Bhunyakhedi	1	1	mɑt̪ʰɑ	m(cid:35)t(cid:196)h(cid:35)		response
59	59	2	head	Rajwadi-Malvi-Jesingpura	1	1	mɑt̪ʰo	m(cid:35)t(cid:196)ho		response
59	59	2	head	Rajwadi-Malvi-Bhandia	1	1	mat̪o	mat(cid:196)o		response
59	59	2	head	Umadwadi-Malvi-Jhadmu	1	1	mɑt̪ʰɑ	m(cid:35)t(cid:196)h(cid:35)		response
59	59	2	head	Umadwadi-Malvi-Semlikakad	1	1	mɑt̪ʰɑ	m(cid:35)t(cid:196)h(cid:35)		response
59	59	2	head	Umadwadi-Malvi-Sagpur	1	1	mɑt̪ʰɑ	m(cid:35)t(cid:196)h(cid:35)		response
59	59	2	head	Umadwadi-Malvi-Paldyabana	1	1	mat̪ʰʌ	mat(cid:196)h(cid:106)		response
59	59	2	head	Umadwadi-Malvi-Mungavali	1	1	mad̪ʱɑ	mad(cid:196)(cid:137)(cid:35)		response
59	59	2	head	Sondhwadi-Malvi-Harnauda	1	1	mɑt̪ʰo	m(cid:35)t(cid:196)ho		response
59	59	2	head	Sondhwadi-Malvi-Narana	1	1	mat̪ɑ	mat(cid:196)(cid:35)		response
59	59	2	head	Sondhwadi-Malvi-Adakhedi	1	1	mɑt̪ʰɑ	m(cid:35)t(cid:196)h(cid:35)		response
59	59	2	head	Sondhwadi-Malvi-Era	1	1	mɑt̪ʰo	m(cid:35)t(cid:196)ho		response
59	59	2	head	Sondhwadi-Malvi-Deevdi	2	1	kopəɖʌ	kop(cid:101)(cid:122)(cid:106)		response
59	59	2	head	Sondhwadi-Malvi-Jamli	1	1	mat̪ʰʌ	mat(cid:196)h(cid:106)		response
59	59	2	head	Gond-Malvi-Kalwar	1	1	mɑt̪ʰɑ	m(cid:35)t(cid:196)h(cid:35)		response
59	59	2	head	Gond-Malvi-Samapura	1	1	mɑt̪ʰɑ	m(cid:35)t(cid:196)h(cid:35)		response
59	59	2	head	Bhil-Malvi-Bhandikhali	1	1	mɑd̪o	m(cid:35)d(cid:196)o		response
59	59	2	head	Bhil-Malvi-Bhandikhali	5	2	sɪɾ	s(cid:43)(cid:52)		response
59	59	2	head	Bhili-Kankaria	1	1	mɑt̪ʰɑ	m(cid:35)t(cid:196)h(cid:35)		response
59	59	2	head	Bhili-Athwaniya	1	1	mɑt̪ʰɑ	m(cid:35)t(cid:196)h(cid:35)		response
59	59	2	head	Nimadi-Jajumkhedi	1	1	mɑt̪ʰo	m(cid:35)t(cid:196)ho		response
59	59	2	head	Nimadi-Sonipura	1	1	mad̪ʱɔ	mad(cid:196)(cid:137)(cid:107)		response
59	59	2	head	Bhopali-Rpura	1	1	mɑd̪ɑ	m(cid:35)d(cid:196)(cid:35)		response
59	59	2	head	Hindi-standard	5	1	sɪɾ	s(cid:43)(cid:52)		response
59	59	2	head	Gujarati-Standard	1	1	mɑt̪ʰu	m(cid:35)t(cid:196)hu		response
59	59	2	head	Marathi-Standard	4	1	ɖoke	(cid:122)oke		response
60	60	3	hair	Ujjaini-Malvi-Harsodan	1	1	bal	bal		response
60	60	3	hair	Ujjaini-Malvi-Chandukhedi	4	1	lʌʈʈe	l(cid:106)(cid:121)(cid:121)e		response
60	60	3	hair	Ujjaini-Malvi-Nain	1	1	baləɖʌ	bal(cid:101)(cid:122)(cid:106)		response
60	60	3	hair	Ujjaini-Malvi-Nain	4	2	lʌʈʈɑ	l(cid:106)(cid:121)(cid:121)(cid:35)		response
60	60	3	hair	Ujjaini-Malvi-Koyal	1	1	bɑl	b(cid:35)l		response
60	60	3	hair	Ujjaini-Malvi-Rojdi	1	1	bal	bal		response
60	60	3	hair	Ujjaini-Malvi-Thillorkhurd	1	1	bɑl	b(cid:35)l		response
60	60	3	hair	Ujjaini-Malvi-Kumardi	1	1	bɑl	b(cid:35)l		response
60	60	3	hair	Ujjaini-Malvi-Kumardi	4	2	lʌʈijɑ	l(cid:106)(cid:121)ij(cid:35)		response
60	60	3	hair	Ujjaini-Malvi-Jokhar	1	1	bɑl	b(cid:35)l		response
60	60	3	hair	Ujjaini-Malvi-Bercha	1	1	baɭ	ba(cid:124)		response
60	60	3	hair	Ujjaini-Malvi-Moondikhedi	1	1	bɑl	b(cid:35)l		response
60	60	3	hair	Rajwadi-Malvi-Lojithara	1	1	bɑl	b(cid:35)l		response
60	60	3	hair	Rajwadi-Malvi-Bhimakhedi	1	1	bɑl	b(cid:35)l		response
60	60	3	hair	Rajwadi-Malvi-Kishorpura	1	1	bɑl	b(cid:35)l		response
60	60	3	hair	Rajwadi-Malvi-Bhunyakhedi	1	1	bal	bal		response
60	60	3	hair	Rajwadi-Malvi-Jesingpura	3	1	keʃ	ke(cid:53)		response
60	60	3	hair	Rajwadi-Malvi-Bhandia	1	1	bal	bal		response
60	60	3	hair	Rajwadi-Malvi-Bhandia	3	2	keʃ	ke(cid:53)		response
60	60	3	hair	Umadwadi-Malvi-Jhadmu	1	1	bal	bal		response
60	60	3	hair	Umadwadi-Malvi-Semlikakad	1	1	bal	bal		response
60	60	3	hair	Umadwadi-Malvi-Sagpur	1	1	bal	bal		response
60	60	3	hair	Umadwadi-Malvi-Paldyabana	1	1	bɑl	b(cid:35)l		response
60	60	3	hair	Umadwadi-Malvi-Mungavali	1	1	bal	bal		response
60	60	3	hair	Sondhwadi-Malvi-Harnauda	1	1	bal	bal		response
60	60	3	hair	Sondhwadi-Malvi-Narana	1	1	bɑl	b(cid:35)l		response
60	60	3	hair	Sondhwadi-Malvi-Adakhedi	4	1	lʌʈʈɑ	l(cid:106)(cid:121)(cid:121)(cid:35)		response
60	60	3	hair	Sondhwadi-Malvi-Era	4	1	lʌʈʈɑ	l(cid:106)(cid:121)(cid:121)(cid:35)		response
60	60	3	hair	Sondhwadi-Malvi-Deevdi	1	1	bal	bal		response
60	60	3	hair	Sondhwadi-Malvi-Jamli	4	1	lʌʈʈɑ	l(cid:106)(cid:121)(cid:121)(cid:35)		response
60	60	3	hair	Gond-Malvi-Kalwar	1	1	bɑl	b(cid:35)l		response
60	60	3	hair	Gond-Malvi-Samapura	1	1	bɑl	b(cid:35)l		response
60	60	3	hair	Bhil-Malvi-Bhandikhali	1	1	bɑl	b(cid:35)l		response
60	60	3	hair	Bhili-Kankaria	1	1	bɑl	b(cid:35)l		response
60	60	3	hair	Bhili-Athwaniya	5	1	ɾungɑ	(cid:52)un(cid:73)(cid:35)		response
60	60	3	hair	Nimadi-Jajumkhedi	2	1	babɾijʌ	bab(cid:52)ij(cid:106)		response
60	60	3	hair	Nimadi-Sonipura	1	1	bɑl	b(cid:35)l		response
60	60	3	hair	Bhopali-Rpura	1	1	bɑɾ	b(cid:35)(cid:52)		response
60	60	3	hair	Hindi-standard	1	1	bɑl	b(cid:35)l		response
60	60	3	hair	Gujarati-Standard	1	1	βɑɭ	(cid:36)(cid:35)(cid:124)		response
60	60	3	hair	Marathi-Standard	3	1	kes	kes		response
