PDF_Page	Printed_Page	Concept	Gloss	Lect	Category	Response_Index	Form	Notes	Continuation	Raw_Fragments	Source_Status
87	80	1	body	Rathwi Pauri-Amalwadi	4	1	ɖil̪		0	Rathwi Pauri-Amalwadi 4 ɖil ̪	response
87	80	1	body	Rathwi Pauri-Segwi	2	1	dh̪ʌɖ		0	Rathwi Pauri-Segwi 2 dh̪ʌɖ	response
87	80	1	body	Rathwi Bareli-Tharadpura	4	1	ɖil		0	Rathwi Bareli-Tharadpura 4 ɖil	response
87	80	1	body	Rathwi Bareli-Udainagar	4	1	ɖil		0	Rathwi Bareli-Udainagar 4 ɖil	response
87	80	1	body	Rathwi Bareli-Chiklia	4	1	ɖil		0	Rathwi Bareli-Chiklia 4 ɖil	response
87	80	1	body	Rathwi-Chenpur	4	1	ɖil		0	Rathwi-Chenpur 4 ɖil	response
87	80	1	body	Rathwi-Dongargaon	4	1	ɖil		0	Rathwi-Dongargaon 4 ɖil	response
87	80	1	body	Bhilali-Bodugam	4	1	ɖil		0	Bhilali-Bodugam 4 ɖil	response
87	80	1	body	Bhili-Punyawat	1	1	de̪hi		0	Bhili-Punyawat 1 de̪hi	response
87	80	1	body	Bhili-Anjhera	4	1	ɖil		0	Bhili-Anjhera 4 ɖil	response
87	80	1	body	Bhilali-Anjhera	3	1	seɾi		0	Bhilali-Anjhera 3 seɾi	response
87	80	1	body	Bhilali-Mandwi	3	1	sɛɾi		0	Bhilali-Mandwi 3 sɛɾi	response
87	80	1	body	Bhilali-Navalpura	4	1	ɖil		0	Bhilali-Navalpura 4 ɖil	response
87	80	1	body	Bhilali-Agar	1	1	de̪hi		0	Bhilali-Agar 1 de̪hi	response
87	80	1	body	Bhilali-Udaigadh	4	1	ɖil		0	Bhilali-Udaigadh 4 ɖil	response
87	80	1	body	Bhilali-Kattivada	1	1	de̪hi		0	Bhilali-Kattivada 1 de̪hi	response
87	80	1	body	Parya Bhilali-Bhorwada	3	1	sʌɾir		0	Parya Bhilali- Bhorwada 3 sʌɾir	response
87	80	1	body	Bhili-Piplia	4	1	ɖil		0	Bhili-Piplia 4 ɖil	response
87	80	1	body	Bhili-Kharod	1	1	dɛ̪h		0	Bhili-Kharod 1 dɛ̪h	response
87	80	1	body	Bhili-Kharod	4	2	dil		1	4 dil	response
87	80	1	body	Bhilali-Aspai	4	1	ɖil		0	Bhilali-Aspai 4 ɖil	response
