level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1489	2105	-1	
2	1	1	0	0	0	203	102	1104	1785	-1	
3	1	1	1	0	0	203	102	1104	1785	-1	
4	1	1	1	1	0	1281	102	26	18	-1	
5	1	1	1	1	1	1281	102	26	18	96.878807	87
4	1	1	1	2	0	203	196	194	28	-1	
5	1	1	1	2	1	203	197	44	20	94.913490	73.
5	1	1	1	2	2	269	196	128	28	96.251968	eggplant
4	1	1	1	3	0	203	259	786	30	-1	
5	1	1	1	3	1	203	262	44	21	67.187019	HOt
5	1	1	1	3	2	274	262	7	20	90.878273	1
5	1	1	1	3	3	304	262	78	27	92.066910	benga
5	1	1	1	3	4	811	259	48	21	96.333076	HOP
5	1	1	1	3	5	881	260	7	20	90.805008	1
5	1	1	1	3	6	910	259	79	27	89.418472	binga
4	1	1	1	4	0	203	291	785	27	-1	
5	1	1	1	4	1	203	294	48	21	92.134880	HTH
5	1	1	1	4	2	271	304	79	5	88.601021	-----
5	1	1	1	4	3	811	291	47	22	96.473534	HBA
5	1	1	1	4	4	881	292	7	20	91.787933	1
5	1	1	1	4	5	910	291	78	27	86.813690	bigga
4	1	1	1	5	0	203	324	787	27	-1	
5	1	1	1	5	1	203	327	48	21	89.583672	HKA
5	1	1	1	5	2	272	337	78	5	89.583672	-----
5	1	1	1	5	3	812	324	43	21	90.311020	HNI
5	1	1	1	5	4	882	325	6	19	88.162453	1
5	1	1	1	5	5	911	324	79	27	66.037605	bigga
4	1	1	1	6	0	203	359	243	28	-1	
5	1	1	1	6	1	203	359	49	22	90.849960	HKE
5	1	1	1	6	2	274	360	7	21	91.622490	1
5	1	1	1	6	3	303	360	143	27	52.163601	dgacubingga
4	1	1	1	7	0	204	390	820	30	-1	
5	1	1	1	7	1	204	393	48	21	94.345894	HCH
5	1	1	1	7	2	275	393	6	20	93.219063	1
5	1	1	1	7	3	303	393	143	27	85.642548	garubinga
5	1	1	1	7	4	812	390	48	21	93.775070	BBG
5	1	1	1	7	5	882	391	8	19	88.842827	1
5	1	1	1	7	6	912	390	112	27	12.097931	bing’ra
4	1	1	1	8	0	204	422	803	31	-1	
5	1	1	1	8	1	204	426	48	21	91.873383	HCU
5	1	1	1	8	2	274	426	7	20	89.384315	1
5	1	1	1	8	3	304	426	78	27	89.384315	binga
5	1	1	1	8	4	813	423	46	21	95.498367	BMA
5	1	1	1	8	5	883	424	7	19	91.024017	1
5	1	1	1	8	6	912	422	95	28	89.935791	bingad
4	1	1	1	9	0	204	454	820	31	-1	
5	1	1	1	9	1	204	458	48	21	95.542427	HSU
5	1	1	1	9	2	275	458	6	21	90.077858	1
5	1	1	1	9	3	304	458	78	27	90.579582	binga
5	1	1	1	9	4	813	455	48	22	95.936066	BOP
5	1	1	1	9	5	883	456	7	19	93.237152	1
5	1	1	1	9	6	913	454	111	28	91.721695	bejgada
4	1	1	1	10	0	204	487	804	28	-1	
5	1	1	1	10	1	204	490	47	20	95.690636	HSA
5	1	1	1	10	2	275	490	6	20	92.294342	1
5	1	1	1	10	3	304	490	127	25	66.366058	garubina
5	1	1	1	10	4	813	487	47	21	95.975060	BRA
5	1	1	1	10	5	883	488	7	19	90.686325	1
5	1	1	1	10	6	913	487	95	27	33.560452	biggal
4	1	1	1	11	0	204	518	805	28	-1	
5	1	1	1	11	1	204	522	48	21	92.111542	HJO
5	1	1	1	11	2	272	532	79	5	88.591194	-----
5	1	1	1	11	3	813	519	48	22	91.752319	BGH
5	1	1	1	11	4	884	521	7	19	79.286667	1
5	1	1	1	11	5	913	518	96	28	52.220505	binggad
4	1	1	1	12	0	204	553	755	29	-1	
5	1	1	1	12	1	204	554	48	22	90.388573	HDH
5	1	1	1	12	2	275	555	6	20	93.159302	1
5	1	1	1	12	3	304	554	143	28	47.230854	garubinga
