Site_Code	Scope	Install	Language_ID	Dialect_ID	Display_Name	Source_Language_Label	Source_Date	Source_Type	Ho2024_Overlap_Code	Notes
BAI	target	yes	unr	bhumij1989-baigodia	Bhumij – Baigodia	Bhumij	1989-04-01	fieldwork	BOP	Same elicitation republished in Ho 2024; install this primary route
CHA	target	yes	unr	bhumij1989-champi	Bhumij – Champi	Bhumij	1989-04-17	fieldwork	BGH	Same elicitation republished in Ho 2024; install this primary route
DIG	target	yes	unr	bhumij1996-dighinuasahi	Bhumij – Dighinuasahi	Bhumij	1996-07-20	fieldwork		
DUM	target	yes	unr	bhumij1989-dumadie	Bhumij – Dumadie	Bhumij	1989-03-08	fieldwork	BRA	Same elicitation republished in Ho 2024; install this primary route
LAD	target	yes	unr	bhumij1989-ladhiramsai	Bhumij – Ladhiramsai	Bhumij	1989-03-16	fieldwork	BBG	Same elicitation republished in Ho 2024; install this primary route
MAD	target	yes	unr	bhumij1989-madhupur	Bhumij – Madhupur	(Sardar) Bhumij	1989-09-21	fieldwork		
MOH	target	yes	unr	bhumij1996-mohuldiha	Bhumij – Mohuldiha	Bhumij	1996-07-26	fieldwork		
MUN	target	yes	unr	bhumij1996-munduy	Bhumij – Munduy	Bhumij	1996-10-22	fieldwork		
POD	target	yes	unr	bhumij1989-podadiha	Bhumij – Podadiha	Bhumij	1989-04-19	fieldwork	BMA	Same elicitation republished as Podadie in Ho 2024; install this primary route
UDA	target	yes	unr	bhumij-mundari1989-udala	Bhumij/Mundari – Udala	Mundari? Bhumij?	1989-09-11	fieldwork		Source explicitly questions the language assignment; retain mixed label under the Mundari/Bhumij ISO parent without resolving it
MCH	comparison_control	no	unr		Mundari – Chalagi	Mundari	1996-09-30	fieldwork		Audit-only comparison
MDI	comparison_control	no	unr		Mundari – Dictionary	Mundari	1928	published_dictionary		Audit-only comparison
MDH	comparison_control	no	unr		Mundari – Dhungarisai	Mundari	1989-09-14	fieldwork		Audit-only comparison
MJH	comparison_control	no	unr		Mundari – Jharmunda	Mundari	1996-08-25	fieldwork		Audit-only comparison
HDI	comparison_control	no	hoc		Ho – Dillisore	Ho	1996-08-08	fieldwork		Audit-only comparison
SDI	comparison_control	no	sat		Santali – Dictionary	Santali	1933	published_dictionary		Audit-only comparison
SNA	comparison_control	no	sat		Santali – Nayarangamotia	Santali	1996-07-18	fieldwork		Audit-only comparison
ORI	comparison_control	no	ory		Oriya – Cuttack	Oriya	1989-03-03/29	fieldwork		Audit-only comparison
