Item	Gloss	Bhumij_Site_Code	Ho2024_Site_Code	Locality	Elicitation_Date	Durable_List_ID	Durable_Cell_ID	Bhumij_2015_Status	Bhumij_2015_Forms	Bhumij_2015_Cognate_Labels	Bhumij_2015_Citation	Ho_2024_Status	Ho_2024_Transcription	Ho_2024_Citation	Status_Parity	Representation_Comparison	Canonical_Publication	Disposition
1	body	BAI	BOP	Baigodia, Opada, Balasore	1989-04-01	bhumij1989-baigodia	bhumij1989-baigodia-i001	attested	hoɖomo	1	baileymaggard2015bhumij[Appendix B.3, printed p. 29, item 1, list BAI]	attested	hoɖomo	varenkamp2024ho[Appendix D.3, printed p. 63, item 1, list BOP]	yes	unicode-exact-after-label-removal	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
2	head	BAI	BOP	Baigodia, Opada, Balasore	1989-04-01	bhumij1989-baigodia	bhumij1989-baigodia-i002	attested	boʔo	1	baileymaggard2015bhumij[Appendix B.3, printed p. 29, item 2, list BAI]	attested	bo?o	varenkamp2024ho[Appendix D.3, printed p. 63, item 2, list BOP]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
3	hair	BAI	BOP	Baigodia, Opada, Balasore	1989-04-01	bhumij1989-baigodia	bhumij1989-baigodia-i003	attested	boʔo up	1	baileymaggard2015bhumij[Appendix B.3, printed p. 29, item 3, list BAI]	attested	bo?o up	varenkamp2024ho[Appendix D.3, printed p. 63, item 3, list BOP]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
4	face	BAI	BOP	Baigodia, Opada, Balasore	1989-04-01	bhumij1989-baigodia	bhumij1989-baigodia-i004	attested	meʔt moɑŋ	1	baileymaggard2015bhumij[Appendix B.3, printed p. 29, item 4, list BAI]	attested	me?t moan	varenkamp2024ho[Appendix D.3, printed p. 64, item 4, list BOP]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
5	eye	BAI	BOP	Baigodia, Opada, Balasore	1989-04-01	bhumij1989-baigodia	bhumij1989-baigodia-i005	attested	meʔn	1	baileymaggard2015bhumij[Appendix B.3, printed p. 29, item 5, list BAI]	attested	me?n	varenkamp2024ho[Appendix D.3, printed p. 64, item 5, list BOP]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
6	ear	BAI	BOP	Baigodia, Opada, Balasore	1989-04-01	bhumij1989-baigodia	bhumij1989-baigodia-i006	attested	lut̪uɾ	1	baileymaggard2015bhumij[Appendix B.3, printed p. 30, item 6, list BAI]	attested	luṯur	varenkamp2024ho[Appendix D.3, printed p. 64, item 6, list BOP]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
7	nose	BAI	BOP	Baigodia, Opada, Balasore	1989-04-01	bhumij1989-baigodia	bhumij1989-baigodia-i007	attested	muː	1	baileymaggard2015bhumij[Appendix B.3, printed p. 30, item 7, list BAI]	attested	mu·	varenkamp2024ho[Appendix D.3, printed p. 65, item 7, list BOP]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
8	mouth	BAI	BOP	Baigodia, Opada, Balasore	1989-04-01	bhumij1989-baigodia	bhumij1989-baigodia-i008	attested	motʃɑ	1	baileymaggard2015bhumij[Appendix B.3, printed p. 30, item 8, list BAI]	attested	motʃa	varenkamp2024ho[Appendix D.3, printed p. 65, item 8, list BOP]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
9	tooth	BAI	BOP	Baigodia, Opada, Balasore	1989-04-01	bhumij1989-baigodia	bhumij1989-baigodia-i009	attested	dɑtɑ	1	baileymaggard2015bhumij[Appendix B.3, printed p. 30, item 9, list BAI]	attested	data	varenkamp2024ho[Appendix D.3, printed p. 65, item 9, list BOP]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
10	tongue	BAI	BOP	Baigodia, Opada, Balasore	1989-04-01	bhumij1989-baigodia	bhumij1989-baigodia-i010	attested	ɑlɑŋ	1	baileymaggard2015bhumij[Appendix B.3, printed p. 30, item 10, list BAI]	attested	alaŋ	varenkamp2024ho[Appendix D.3, printed p. 66, item 10, list BOP]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
11	breast	BAI	BOP	Baigodia, Opada, Balasore	1989-04-01	bhumij1989-baigodia	bhumij1989-baigodia-i011	source_blank		0	baileymaggard2015bhumij[Appendix B.3, printed p. 31, item 11, list BAI]	blank		varenkamp2024ho[Appendix D.3, printed p. 66, item 11, list BOP]	yes	blank-parity	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
12	belly	BAI	BOP	Baigodia, Opada, Balasore	1989-04-01	bhumij1989-baigodia	bhumij1989-baigodia-i012	attested	lɑi	1	baileymaggard2015bhumij[Appendix B.3, printed p. 31, item 12, list BAI]	attested	lai	varenkamp2024ho[Appendix D.3, printed p. 66, item 12, list BOP]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
13	arm	BAI	BOP	Baigodia, Opada, Balasore	1989-04-01	bhumij1989-baigodia	bhumij1989-baigodia-i013	attested	t̪i	1	baileymaggard2015bhumij[Appendix B.3, printed p. 31, item 13, list BAI]	attested	ṯi	varenkamp2024ho[Appendix D.3, printed p. 67, item 13, list BOP]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
