Item	Gloss	Site_Code	Language_Label	Site_Name	Target	PDF_Page	Printed_Page	Column	Manual_Transcription	Source_Cognate_Labels	Review_Status	Confidence	Uncertainty	Reviewer_Method	Reviewed_At	Reviewer_Declaration	Scope	Dialect_ID	Stable_Cell_ID	Disposition
1	body	BAI	Bhumij	Baigodia	yes	34	29	left	hoɖomo	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	bhumij1989-baigodia	bhumij1989-baigodia-i001	target-staged
1	body	CHA	Bhumij	Champi	yes	34	29	left	hoɖomo	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	bhumij1989-champi	bhumij1989-champi-i001	target-staged
1	body	DIG	Bhumij	Dighinuasahi	yes	34	29	left	hɔɭmo	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	bhumij1996-dighinuasahi	bhumij1996-dighinuasahi-i001	target-staged
1	body	DUM	Bhumij	Dumadie	yes	34	29	left	hoɾəmo	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	bhumij1989-dumadie	bhumij1989-dumadie-i001	target-staged
1	body	LAD	Bhumij	Ladhiramsai	yes	34	29	left	hoɾəmo	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	bhumij1989-ladhiramsai	bhumij1989-ladhiramsai-i001	target-staged
1	body	MAD	Bhumij	Madhupur	yes	34	29	left	hoɖomo	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	bhumij1989-madhupur	bhumij1989-madhupur-i001	target-staged
1	body	MOH	Bhumij	Mohuldiha	yes	34	29	left	hɔɖmo	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	bhumij1996-mohuldiha	bhumij1996-mohuldiha-i001	target-staged
1	body	MUN	Bhumij	Munduy	yes	34	29	left	hɔɖmo	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	bhumij1996-munduy	bhumij1996-munduy-i001	target-staged
1	body	POD	Bhumij	Podadiha	yes	34	29	left	hoɖomo	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	bhumij1989-podadiha	bhumij1989-podadiha-i001	target-staged
1	body	UDA	Bhumij/Mundari	Udala	yes	34	29	left	hoɖomo	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	bhumij-mundari1989-udala	bhumij-mundari1989-udala-i001	target-staged
1	body	MCH	Mundari	Chalagi	no	34	29	left	hɔɖmo	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	comparison_control			comparison-control-excluded
1	body	MDI	Mundari	Dictionary	no	34	29	left	hɔɖmo | hoɽmo	1 | 1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	comparison_control			comparison-control-excluded
