Character	Codepoint	Unicode_Name	Occurrences	Covered_By_Profile
 	U+0020	SPACE	321	yes
,	U+002C	COMMA	165	yes
a	U+0061	LATIN SMALL LETTER A	27	yes
b	U+0062	LATIN SMALL LETTER B	305	yes
d	U+0064	LATIN SMALL LETTER D	580	yes
e	U+0065	LATIN SMALL LETTER E	755	yes
g	U+0067	LATIN SMALL LETTER G	285	yes
h	U+0068	LATIN SMALL LETTER H	333	yes
i	U+0069	LATIN SMALL LETTER I	1302	yes
j	U+006A	LATIN SMALL LETTER J	200	yes
k	U+006B	LATIN SMALL LETTER K	390	yes
l	U+006C	LATIN SMALL LETTER L	450	yes
m	U+006D	LATIN SMALL LETTER M	664	yes
n	U+006E	LATIN SMALL LETTER N	591	yes
o	U+006F	LATIN SMALL LETTER O	566	yes
p	U+0070	LATIN SMALL LETTER P	161	yes
r	U+0072	LATIN SMALL LETTER R	20	yes
s	U+0073	LATIN SMALL LETTER S	406	yes
t	U+0074	LATIN SMALL LETTER T	571	yes
u	U+0075	LATIN SMALL LETTER U	695	yes
v	U+0076	LATIN SMALL LETTER V	2	yes
w	U+0077	LATIN SMALL LETTER W	24	yes
z	U+007A	LATIN SMALL LETTER Z	2	yes
õ	U+00F5	LATIN SMALL LETTER O WITH TILDE	16	yes
ĩ	U+0129	LATIN SMALL LETTER I WITH TILDE	4	yes
ŋ	U+014B	LATIN SMALL LETTER ENG	310	yes
ũ	U+0169	LATIN SMALL LETTER U WITH TILDE	10	yes
ɐ	U+0250	LATIN SMALL LETTER TURNED A	49	yes
ɑ	U+0251	LATIN SMALL LETTER ALPHA	1481	yes
ɔ	U+0254	LATIN SMALL LETTER OPEN O	98	yes
ɖ	U+0256	LATIN SMALL LETTER D WITH TAIL	223	yes
ə	U+0259	LATIN SMALL LETTER SCHWA	24	yes
ɛ	U+025B	LATIN SMALL LETTER OPEN E	143	yes
ɦ	U+0266	LATIN SMALL LETTER H WITH HOOK	21	yes
ɪ	U+026A	LATIN LETTER SMALL CAPITAL I	5	yes
ɭ	U+026D	LATIN SMALL LETTER L WITH RETROFLEX HOOK	23	yes
ɲ	U+0272	LATIN SMALL LETTER N WITH LEFT HOOK	14	yes
ɳ	U+0273	LATIN SMALL LETTER N WITH RETROFLEX HOOK	36	yes
ɽ	U+027D	LATIN SMALL LETTER R WITH TAIL	6	yes
ɾ	U+027E	LATIN SMALL LETTER R WITH FISHHOOK	461	yes
ʃ	U+0283	LATIN SMALL LETTER ESH	131	yes
ʈ	U+0288	LATIN SMALL LETTER T WITH RETROFLEX HOOK	94	yes
ʊ	U+028A	LATIN SMALL LETTER UPSILON	1	yes
ʋ	U+028B	LATIN SMALL LETTER V WITH HOOK	1	yes
ʌ	U+028C	LATIN SMALL LETTER TURNED V	260	yes
ʒ	U+0292	LATIN SMALL LETTER EZH	264	yes
ʔ	U+0294	LATIN LETTER GLOTTAL STOP	232	yes
ː	U+02D0	MODIFIER LETTER TRIANGULAR COLON	21	yes
̃	U+0303	COMBINING TILDE	12	yes
̩	U+0329	COMBINING VERTICAL LINE BELOW	4	yes
̪	U+032A	COMBINING BRIDGE BELOW	481	yes
β	U+03B2	GREEK SMALL LETTER BETA	1	yes
ẽ	U+1EBD	LATIN SMALL LETTER E WITH TILDE	4	yes
