PDF_Page	Printed_Page	First_Item	Last_Item	Response_Lines	Attested_Lines	No_Entry_Lines	Conceptual_Cells	Review_Status	Review_Method	Notes
80	71	1	5	89	89	0	85	complete	manual visual comparison against rendered source image	typeset and legible; every response line inspected; no clipping or illegibility observed
81	72	5	10	99	99	0	95	complete	manual visual comparison against rendered source image	typeset and legible; every response line inspected; no clipping or illegibility observed
82	73	10	15	98	98	0	91	complete	manual visual comparison against rendered source image	typeset and legible; every response line inspected; no clipping or illegibility observed
83	74	15	20	99	99	0	97	complete	manual visual comparison against rendered source image	typeset and legible; every response line inspected; no clipping or illegibility observed
84	75	20	24	100	74	26	79	complete	manual visual comparison against rendered source image	typeset and legible; every response line inspected; no clipping or illegibility observed
85	76	24	28	96	84	12	88	complete	manual visual comparison against rendered source image	typeset and legible; every response line inspected; no clipping or illegibility observed
86	77	29	33	99	99	0	93	complete	manual visual comparison against rendered source image	typeset and legible; every response line inspected; no clipping or illegibility observed
87	78	33	37	100	100	0	73	complete	manual visual comparison against rendered source image	typeset and legible; every response line inspected; no clipping or illegibility observed
88	79	37	41	98	98	0	81	complete	manual visual comparison against rendered source image	typeset and legible; every response line inspected; no clipping or illegibility observed
89	80	42	46	99	99	0	86	complete	manual visual comparison against rendered source image	typeset and legible; every response line inspected; no clipping or illegibility observed
90	81	46	50	100	100	0	85	complete	manual visual comparison against rendered source image	typeset and legible; every response line inspected; no clipping or illegibility observed
91	82	51	55	98	98	0	86	complete	manual visual comparison against rendered source image	typeset and legible; every response line inspected; no clipping or illegibility observed
92	83	55	60	98	98	0	90	complete	manual visual comparison against rendered source image	typeset and legible; every response line inspected; no clipping or illegibility observed
93	84	60	65	98	98	0	96	complete	manual visual comparison against rendered source image	typeset and legible; every response line inspected; no clipping or illegibility observed
94	85	65	70	98	98	0	95	complete	manual visual comparison against rendered source image	typeset and legible; every response line inspected; no clipping or illegibility observed
95	86	70	74	100	100	0	88	complete	manual visual comparison against rendered source image	typeset and legible; every response line inspected; no clipping or illegibility observed
96	87	74	79	98	98	0	90	complete	manual visual comparison against rendered source image	typeset and legible; every response line inspected; no clipping or illegibility observed
97	88	79	83	100	100	0	84	complete	manual visual comparison against rendered source image	typeset and legible; every response line inspected; no clipping or illegibility observed
98	89	83	88	97	97	0	94	complete	manual visual comparison against rendered source image	typeset and legible; every response line inspected; no clipping or illegibility observed
99	90	88	92	100	100	0	88	complete	manual visual comparison against rendered source image	typeset and legible; every response line inspected; no clipping or illegibility observed
100	91	92	97	98	98	0	95	complete	manual visual comparison against rendered source image	typeset and legible; every response line inspected; no clipping or illegibility observed
101	92	97	102	98	98	0	87	complete	manual visual comparison against rendered source image	typeset and legible; every response line inspected; no clipping or illegibility observed
102	93	102	106	100	100	0	90	complete	manual visual comparison against rendered source image	typeset and legible; every response line inspected; no clipping or illegibility observed
103	94	106	110	100	100	0	83	complete	manual visual comparison against rendered source image	typeset and legible; every response line inspected; no clipping or illegibility observed
104	95	110	114	100	100	0	81	complete	manual visual comparison against rendered source image	typeset and legible; every response line inspected; no clipping or illegibility observed
105	96	114	119	98	98	0	97	complete	manual visual comparison against rendered source image	typeset and legible; every response line inspected; no clipping or illegibility observed
106	97	119	124	98	98	0	84	complete	manual visual comparison against rendered source image	typeset and legible; every response line inspected; no clipping or illegibility observed
