PDF_Page	Printed_Page	Line	Item	Gloss	Site	Manual_Form	Similarity_Group	Confidence	Review_Method	Review_Status	Source_Text
80	71	L05@150.91	1	body	Gemelput	d̪iɔ	2	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Gemelput d̪iɔ 2
80	71	L06@162.91	1	body	Sabhapatiguda	d̪iɔ	2	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Sabhapatiguda d̪iɔ 2
80	71	L07@174.92	1	body	Bodgaon	ɡaɡɔɖɨ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Bodgaon ɡaɡɔɖɨ 1
80	71	L08@186.92	1	body	Dame side	ɡaɡɔɖɨ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Dame side ɡaɡɔɖɨ 1
80	71	L09@198.92	1	body	Gagnapur	ɡaɡɔɖɨ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Gagnapur ɡaɡɔɖɨ 1
80	71	L10@210.93	1	body	Gemelput	ɡaɡɔɖɨ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Gemelput ɡaɡɔɖɨ 1
80	71	L11@222.93	1	body	Ghumar	ɡaɡɔɖɨ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Ghumar ɡaɡɔɖɨ 1
80	71	L12@234.94	1	body	Jujhari	ɡaɡɔɖɨ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Jujhari ɡaɡɔɖɨ 1
80	71	L13@246.94	1	body	Konda Maliguda	ɡaɡɔɖɨ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Konda Maliguda ɡaɡɔɖɨ 1
80	71	L14@258.94	1	body	Patta Maliguda	ɡaɡɔɖɨ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Patta Maliguda ɡaɡɔɖɨ 1
80	71	L15@270.95	1	body	Potenda	ɡaɡɔɖɨ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Potenda ɡaɡɔɖɨ 1
80	71	L16@282.95	1	body	Sabhapatiguda	ɡaɡɔɖɨ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Sabhapatiguda ɡaɡɔɖɨ 1
80	71	L17@294.96	1	body	Sindhiguda	ɡaɡɔɖɨ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Sindhiguda ɡaɡɔɖɨ 1
80	71	L18@306.96	1	body	Souraguda	ɡaɡɔɖɨ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Souraguda ɡaɡɔɖɨ 1
80	71	L19@318.96	1	body	Potenda	ɡaɡɔɖɨ muɳɖ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Potenda ɡaɡɔɖɨ muɳɖ 1
80	71	L20@330.97	1	body	Aunli	ɡaɡɔr	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Aunli ɡaɡɔr 1
80	71	L21@342.97	1	body	Burja	ɡaɡɔr	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Burja ɡaɡɔr 1
