Byte	Codepoint	Glyph	Official_Mapping	Occurrences
22	U+F022	i	latin_small_letter_i before above diacritic (contextual rule)	1
29	U+F029	◌̃	combining_tilde	20
45	U+F045	ɛ	latin_small_letter_open_e	27
48	U+F048	ʰ	modifier_letter_small_h	30
49	U+F049	ɪ	latin_letter_small_capital_i	25
52	U+F052	ɾ	latin_small_letter_r_with_fishhook	45
53	U+F053	ʃ	latin_small_letter_esh	19
55	U+F055	ʊ	latin_small_letter_upsilon	28
5A	U+F05A	ʒ	latin_small_letter_ezh	18
67	U+F067	ɡ	latin_small_letter_script_g	18
7D	U+F07D	ɽ	latin_small_letter_r_with_tail	14
82	U+F082	ɘ	latin_small_letter_reversed_e	2
83	U+F083	◌͡	combining_double_inverted_breve	32
8D	U+F08D	ɔ	latin_small_letter_open_o	8
AB	U+F0AB	ə	latin_small_letter_schwa	107
E2	U+F0E2	◌̃	combining_tilde after i-width character	1
EA	U+F0EA	ɖ	latin_small_letter_d_with_tail	20
F7	U+F0F7	ɳ	latin_small_letter_n_with_retroflex_hook	11
F9	U+F0F9	ː	modifier_letter_triangular_colon	40
FF	U+F0FF	ʈ	latin_small_letter_t_with_retroflex_hook	11
