Item	Gloss	Raw_Form	Form	PDF_Page	Printed_Page	Column	Status	Review
1	body	dsm	d͡ʒɪsɘm	26	26	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
2	head	s	sɪɾ	26	26	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
3	hair	bal	bal	26	26	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
4	face	muh	mũh	26	26	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
5	eye	ak	ãkʰ	26	26	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
6	ear	ka	ka	26	26	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
7	nose	nak	nak	26	26	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
8	mouth	muh	mũh	26	26	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
9	tooth	dat	dãt	26	26	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
10	tongue	dib	d͡ʒibʰ	26	26	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
11	breast			26	26	left	blank	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
12	belly		ʈɪɖ	26	26	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
13	arm (whole)	ba	bã	26	26	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
14	elbow	aki	aɽki	26	26	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
15	palm	tli	tɘli	26	26	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
16	finger	li	ʊ̃ɡli	26	26	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
17	fingernail	n, n	nɛ, nɔ	26	26	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
18	leg	l	ləʈʰ	26	26	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
