PDF_Page	Printed_Page	Item	Gloss	Site_Key	Source_Code	Issue_Type	Visual_Description	Candidates	Confidence
31	26	1	body	RNS_Sisaikhara	RNS	site_mapping	first of two clearly printed RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
31	26	1	body	RNS_Sisana	RNS	site_mapping	second of two clearly printed RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
31	26	2	head	RNS_Sisaikhara	RNS	site_mapping	first of two clearly printed RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
31	26	2	head	RNS_Sisana	RNS	site_mapping	second of two clearly printed RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
31	26	3	hair	RNS_Sisaikhara	RNS	site_mapping	first of two clearly printed RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
31	26	3	hair	RNS_Sisana	RNS	site_mapping	second of two clearly printed RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
32	27	4	face	RNS_Sisaikhara	RNS	site_mapping	first of two clearly printed RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
32	27	4	face	RNS_Sisana	RNS	site_mapping	second of two clearly printed RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
32	27	5	eye	RNS_Sisaikhara	RNS	site_mapping	first of two clearly printed RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
32	27	5	eye	RNS_Sisana	RNS	site_mapping	second of two clearly printed RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
32	27	6	ear	RNS_Sisaikhara	RNS	site_mapping	first of two clearly printed RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
32	27	6	ear	RNS_Sisana	RNS	site_mapping	second of two clearly printed RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
32	27	7	nose	RNS_Sisaikhara	RNS	site_mapping	first of two clearly printed RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
32	27	7	nose	RNS_Sisana	RNS	site_mapping	second of two clearly printed RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
32	27	8	mouth	RNS_Sisaikhara	RNS	site_mapping	first of two clearly printed RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
32	27	8	mouth	RNS_Sisana	RNS	site_mapping	second of two clearly printed RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
32	27	9	teeth	RNS_Sisaikhara	RNS	site_mapping	first of two clearly printed RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
32	27	9	teeth	RNS_Sisana	RNS	site_mapping	second of two clearly printed RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
33	28	10	tongue	RNS_Sisaikhara	RNS	site_mapping	first of two clearly printed RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
33	28	10	tongue	RNS_Sisana	RNS	site_mapping	second of two clearly printed RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
33	28	11	breast	RNS_Sisaikhara	RNS	site_mapping	within each comparison group the first RNS response, plus the sole group-3 response, is provisionally assigned to metadata row 1	Sisaikhara / Sisana	medium
33	28	11	breast	RNS_Sisana	RNS	site_mapping	within each comparison group the second RNS response is provisionally assigned to metadata row 2	Sisaikhara / Sisana	medium
33	28	12	belly	RNS_Sisaikhara	RNS	site_mapping	first of two clearly printed RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
33	28	12	belly	RNS_Sisana	RNS	site_mapping	second of two clearly printed RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
33	28	13	arm	RNS_Sisaikhara	RNS	site_mapping	within each comparison group the first RNS response, plus the sole group-1 response, is provisionally assigned to metadata row 1	Sisaikhara / Sisana	medium
33	28	13	arm	RNS_Sisana	RNS	site_mapping	within comparison group 2 the second RNS response is provisionally assigned to metadata row 2	Sisaikhara / Sisana	medium
33	28	14	elbow	RNS_Sisaikhara	RNS	site_mapping	first of two clearly printed RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
33	28	14	elbow	RNS_Sisana	RNS	site_mapping	second of two clearly printed RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
33 / 34	28 / 29	15	palm	RNS_Sisaikhara	RNS	site_mapping	within comparison group 1 the first RNS response, plus the sole group-2 response, is provisionally assigned to metadata row 1	Sisaikhara / Sisana	medium
34	29	15	palm	RNS_Sisana	RNS	site_mapping	within comparison group 1 the second RNS response is provisionally assigned to metadata row 2	Sisaikhara / Sisana	medium
34	29	16	finger	RNS_Sisaikhara	RNS	site_mapping	first of two clearly printed RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
34	29	16	finger	RNS_Sisana	RNS	site_mapping	second of two clearly printed RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
34	29	17	nail	RNS_Sisaikhara	RNS	site_mapping	first of two clearly printed RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
34	29	17	nail	RNS_Sisana	RNS	site_mapping	second of two clearly printed RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
34	29	18	leg	RNS_Sisaikhara	RNS	site_mapping	within comparison group 2 the first RNS response, plus the sole group-4 response, is provisionally assigned to metadata row 1	Sisaikhara / Sisana	medium
34	29	18	leg	RNS_Sisana	RNS	site_mapping	within comparison group 2 the second RNS response is provisionally assigned to metadata row 2	Sisaikhara / Sisana	medium
34	29	19	skin	RNS_Sisaikhara	RNS	site_mapping	first of two clearly printed RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
34	29	19	skin	RNS_Sisana	RNS	site_mapping	second of two clearly printed RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
34	29	20	bone	RNS_Sisaikhara	RNS	site_mapping	first of two clearly printed RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
34	29	20	bone	RNS_Sisana	RNS	site_mapping	second of two clearly printed RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
35	30	21	heart	RNS_Sisaikhara	RNS	site_mapping	within comparison group 1 the first RNS response, plus the sole group-2 response, is provisionally assigned to metadata row 1	Sisaikhara / Sisana	medium
35	30	21	heart	RNS_Sisana	RNS	site_mapping	within comparison group 1 the second RNS response is provisionally assigned to metadata row 2	Sisaikhara / Sisana	medium
35	30	22	blood	RNS_Sisaikhara	RNS	site_mapping	first of two clearly printed RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
35	30	22	blood	RNS_Sisana	RNS	site_mapping	second of two clearly printed RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
35	30	23	urine	RNS_Sisaikhara	RNS	site_mapping	first of two clearly printed RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
35	30	23	urine	RNS_Sisana	RNS	site_mapping	second of two clearly printed RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
35	30	24	feces	RNS_Sisaikhara	RNS	site_mapping	within groups 2 and 4 the first RNS responses, plus the unmatched third group-2 response, are provisionally assigned to metadata row 1	Sisaikhara / Sisana	medium
35	30	24	feces	RNS_Sisana	RNS	site_mapping	within groups 2 and 4 the second RNS responses are provisionally assigned to metadata row 2	Sisaikhara / Sisana	medium
35	30	25	village	RNS_Sisaikhara	RNS	site_mapping	first of two clearly printed RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
35	30	25	village	RNS_Sisana	RNS	site_mapping	second of two clearly printed RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
35	30	26	house	RNS_Sisaikhara	RNS	site_mapping	first RNS response before the page break; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
36	31	26	house	RNS_Sisana	RNS	site_mapping	second RNS response after the page break; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
36	31	27	roof	RNS_Sisaikhara	RNS	site_mapping	within comparison group 2 the first RNS response, plus the sole group-3 response, is provisionally assigned to metadata row 1	Sisaikhara / Sisana	medium
36	31	27	roof	RNS_Sisana	RNS	site_mapping	within comparison group 2 the second RNS response is provisionally assigned to metadata row 2	Sisaikhara / Sisana	medium
36	31	28	door	RNS_Sisaikhara	RNS	site_mapping	first of two clearly printed RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
36	31	28	door	RNS_Sisana	RNS	site_mapping	second of two clearly printed RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
36	31	29	firewood	RNS_Sisaikhara	RNS	site_mapping	first of two clearly printed RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
36	31	29	firewood	RNS_Sisana	RNS	site_mapping	second of two clearly printed RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
36	31	30	broom	RNS_Sisaikhara	RNS	site_mapping	first of two clearly printed RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
36	31	30	broom	RNS_Sisana	RNS	site_mapping	second of two clearly printed RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
37	32	31	mortar	RNS_Sisaikhara	RNS	site_mapping	first of two clearly printed group-2 RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
37	32	31	mortar	RNS_Sisana	RNS	site_mapping	second of two clearly printed group-2 RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
37	32	32	pestle	RNS_Sisaikhara	RNS	site_mapping	within comparison group 1 the first RNS response, plus the sole group-2 response, is provisionally assigned to metadata row 1	Sisaikhara / Sisana	medium
37	32	32	pestle	RNS_Sisana	RNS	site_mapping	within comparison group 1 the second RNS response is provisionally assigned to metadata row 2	Sisaikhara / Sisana	medium
37	32	33	hammer	RNS_Sisaikhara	RNS	site_mapping	first of two clearly printed group-1 RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
37	32	33	hammer	RNS_Sisana	RNS	site_mapping	second of two clearly printed group-1 RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
37	32	34	knife	RNS_Sisaikhara	RNS	site_mapping	within groups 1, 2, and 3 the first RNS response is provisionally assigned to metadata row 1	Sisaikhara / Sisana	medium
37	32	34	knife	RNS_Sisana	RNS	site_mapping	within groups 1, 2, and 3 the second RNS response is provisionally assigned to metadata row 2	Sisaikhara / Sisana	medium
37	32	35	axe	RNS_Sisaikhara	RNS	site_mapping	first of two clearly printed group-1 RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
37	32	35	axe	RNS_Sisana	RNS	site_mapping	second of two clearly printed group-1 RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
38	33	36	rope	RNS_Sisaikhara	RNS	site_mapping	left column; first of two clearly printed group-1 RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
38	33	36	rope	RNS_Sisana	RNS	site_mapping	left column; second of two clearly printed group-1 RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
38	33	37	thread	RNS_Sisaikhara	RNS	site_mapping	left column; first of two clearly printed group-1 RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
38	33	37	thread	RNS_Sisana	RNS	site_mapping	left column; second of two clearly printed group-1 RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
38	33	38	needle	RNS_Sisaikhara	RNS	site_mapping	left column; first group-1 RNS response before the column break; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
38	33	38	needle	RNS_Sisana	RNS	site_mapping	right column; second group-1 RNS response after the column break; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
38	33	39	cloth	RNS_Sisaikhara	RNS	site_mapping	right column; first of two clearly printed group-2 RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
38	33	39	cloth	RNS_Sisana	RNS	site_mapping	right column; second of two clearly printed group-2 RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
38	33	40	ring	RNS_Sisaikhara	RNS	site_mapping	right column; first of two clearly printed group-3 RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
38	33	40	ring	RNS_Sisana	RNS	site_mapping	right column; second of two clearly printed group-3 RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
39	34	41	sun	RNS_Sisaikhara	RNS	site_mapping	left column after the page break; first of two clearly printed group-2 RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
39	34	41	sun	RNS_Sisana	RNS	site_mapping	left column after the page break; second of two clearly printed group-2 RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
39	34	42	moon	RNS_Sisaikhara	RNS	site_mapping	left column; first of two group-3 RNS responses (`dʒoni`); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
39	34	42	moon	RNS_Sisana	RNS	site_mapping	left column; second of two group-3 RNS responses (`dʒõni`); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
39	34	43	sky	RNS_Sisaikhara	RNS	site_mapping	left column; first of two clearly printed group-2 RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
39	34	43	sky	RNS_Sisana	RNS	site_mapping	left column; second of two clearly printed group-2 RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
39	34	44	star	RNS_Sisaikhara	RNS	site_mapping	right column; first printed group-1 RNS response (`taɾe`); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
39	34	44	star	RNS_Sisana	RNS	site_mapping	right column; second printed group-1 RNS response (`taɾa`); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
39	34	45	rain	RNS_Sisaikhara	RNS	site_mapping	right column; first of two clearly printed group-2 RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
39	34	45	rain	RNS_Sisana	RNS	site_mapping	right column; second of two clearly printed group-2 RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
39	34	46	water	RNS_Sisaikhara	RNS	site_mapping	right column before the page break; first of two clearly printed group-1 RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
39	34	46	water	RNS_Sisana	RNS	site_mapping	right column before the page break; second of two clearly printed group-1 RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
40	35	47	river	RNS_Sisaikhara	RNS	site_mapping	left column; first printed group-1 RNS response (`nʌdija`); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
40	35	47	river	RNS_Sisana	RNS	site_mapping	left column; second printed group-1 RNS response (`nʌdija`) has an extra literal `1` between the group label and response; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
40	35	48	cloud	RNS_Sisaikhara	RNS	site_mapping	left column; first printed group-1 RNS response (`badʌɾi`); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
40	35	48	cloud	RNS_Sisana	RNS	site_mapping	left column; second printed group-1 RNS response (`bʌdʌɾija`); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
40	35	49	lightning	RNS_Sisaikhara	RNS	site_mapping	left column; first of two clearly printed group-1 RNS responses; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
40	35	49	lightning	RNS_Sisana	RNS	site_mapping	right column; second group-1 RNS response after the column break; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
40	35	50	rainbow	RNS_Sisaikhara	RNS	site_mapping	right column; first printed group-2 RNS response (`dʰʌnuʃ`); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
40	35	50	rainbow	RNS_Sisana	RNS	site_mapping	right column; second printed group-2 RNS response (`dʰʌnuʃman`); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
40	35	51	wind	RNS_Sisaikhara	RNS	site_mapping	right column; first of two clearly printed group-2 RNS responses (`bjaɾ`); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
40	35	51	wind	RNS_Sisana	RNS	site_mapping	right column; second of two clearly printed group-2 RNS responses (`bjaɾ`); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
40	35	52	stone	RNS_Sisaikhara	RNS	site_mapping	right column; first printed group-1 RNS response (`pʌtʰːʌɾ`); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
40	35	52	stone	RNS_Sisana	RNS	site_mapping	right column; second printed group-1 RNS response (`pʌtʰʌɾa`); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
41	36	53	path	RNS_Sisaikhara	RNS	site_mapping	left column; lone group-1 `ɾasta` plus first group-3 `ɾʌtːa` provisionally assigned to metadata row 1	Sisaikhara / Sisana	medium
41	36	53	path	RNS_Sisana	RNS	site_mapping	left column; second group-3 response `ɾaha` provisionally assigned to metadata row 2	Sisaikhara / Sisana	medium
41	36	54	sand	RNS_Sisaikhara	RNS	site_mapping	left column; first of two clearly printed group-2 RNS responses (`ɾeta`); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
