Site_Key	Metadata_Code	Response_Code	Code_Occurrence	Scope	Parent_Language_ID	Proposed_Dialect_ID	Language_Name	Village	Tehsil	District	Country	Survey_Date	Existing_Route_Notes
BNM	BNM	BNM		target	Buksa	Tharu-BNM	Bhuksa Tharu	Madinapur	Gandepur	Nainital	India	09/09/92	Reuse existing dialect
BNT	BNT	BNT		target	Buksa	Tharu-BNT	Bhuksa Tharu	Thari	Ram Nagar	Nainital	India	11/09/92	Reuse existing dialect
RNK	RNK	RNK		target	Rana	Tharu-RNK	Rana Tharu	Sugia	Khatima	Nainital	India	10/09/92	Reuse existing dialect
RNS_Sisaikhara	RNS	RNS	1	target	Rana	Tharu-RNS-Sisaikhara	Rana Tharu	Sisaikhara	Sitarganj	Nainital	India	09/09/92	Split legacy combined Tharu-RNS row; occurrence-order mapping requires audit note
RNS_Sisana	RNS	RNS	2	target	Rana	Tharu-RNS-Sisana	Rana Tharu	Sisana	Sitarganj	Nainital	India	15/09/92	Split legacy combined Tharu-RNS row; occurrence-order mapping requires audit note
RKM	RKM	RkM		target	Rana	Tharu-RkM	Rana Tharu	Majhgam	Kanchanpur	Kanchanpur	Nepal	17/09/92	Reuse existing dialect; response tables print RkM
RKB	RKB	RKB		target	Rana	Tharu-RKB	Rana Tharu	Banghati	Nighasan	Kheri	India	15/09/92	Reuse existing dialect
TkN	TkN	TkN		target	Rana	Tharu-TkN	Thakur Tharu	Nai Basti	Mahandranagar	Kanchanpur	Nepal	16/09/92	Reuse existing parent/dialect routing pending classification review
KkP	KkP	KkP		target	Kathoriya	Tharu-KkP	Kathoria Tharu	Pavera	Pavera	Kailali	Nepal	06/10/92	Reuse existing dialect
SkP	SkP	SkP		target	Sunha	Tharu-SkP	Sunha Tharu	Piparia	Mahandranagar	Kanchanpur	Nepal	16/09/92	Reuse existing dialect
DKS	DKS	DKS		target	Dang	Tharu-DKS	Dangora Tharu	Sivratnapur	Asuliya	Kailali	Nepal	17/09/92	Reuse existing dialect (registered spelling Shivratanpur)
DDK	DDK	DDK		target	Dang	Tharu-DDK	Dang Tharu	Kothari	Gobadilha	Dang	Nepal	29/09/92	Reuse existing dialect
DGC	DGC	DGC		target	Dang	Tharu-DGC	Dangora Tharu	Chandanpur	Tulsipar	Gonda	India	29/09/92	Reuse existing dialect
DkR	DkR	DkR		target	Dang	Tharu-DkR	Dangora Tharu	Rajipur	Kanchanpur	Kanchanpur	Nepal	11/09/92	Reuse existing dialect
CCC	CCC	CCC		target	Chitwan	Tharu-CCC	Chit Wan Tharu	Chitwan	Chitwan	Chitwan	Nepal	1978	New dialect row required; legacy forms use bare Chitwan language ID
HIN	HIN	HIN		control	H		Standard Hindi						Audit-only control; do not stage
