@@ p18c1
#1 body
Bobbili	1	mɛnu
Gogada	1	mɛnu
Panuku	1	mɛnu
Reyavani	1	mɛnu
Kotha	1	mɛnu
Suregadi	1	mɛnu
Chinachipuru	1	mɛnu
TELUGU	4	sərirəmu
#2 head
Bobbili	1	t̪ʌlu
Gogada	1	t̪ʌlːe
Panuku	1	t̪əlːu
Reyavani	1	t̪ʌlu
Kotha	1	t̪əlːu
-	1	t̪əiu
Suregadi	1	t̪əlːu
Chinachipuru	1	t̪ʌlu
TELUGU	1	t̪ələ
#3 hair
Bobbili	2	ken̪d̪ukulu
Gogada	2	ken̪d̪ukulu
Panuku	2	ken̪d̪ukul
-	2	ken̪d̪ɪkɪl
Reyavani	2	ken̪d̪ukulu
Kotha	2	ken̪d̪ugulʊ
Suregadi	2	t̪əlːken̪d̪ukulu
Chinachipuru	2	ken̪d̪ikilu
TELUGU	4	dʒʊʈːu
#4 face
Bobbili	1	pon̪d̪u
Gogada	1	pon̪d̪u
Panuku	1	pon̪d̪u
Reyavani	1	pon̪d̪u
Kotha	1	pon̪d̪u
Suregadi	1	pon̪d̪u
Chinachipuru	1	pon̪d̪u
TELUGU	3	mʊkʰəmu
@@ p18c2
#5 eye
Bobbili	1	kʌɳuku
Gogada	1	kʌɳuku
Panuku	1	kəɳːu
Reyavani	1	kʌɳuku
Kotha	1	kəɳ
Suregadi	1	kəɳːu
Chinachipuru	1	kʌnnu
TELUGU	1	kəɳːu
#6 ear
Bobbili	1	kekːol
Gogada	1	kekːosə
Panuku	1	kokːol
Reyavani	1	kokːol
Kotha	1	kokːol
Suregadi	1	kekol
Chinachipuru	1	kekol
TELUGU	3	tʃevi
#7 nose
Bobbili	1	mʊŋɑ
Gogada	1	mʊŋɑn
Panuku	1	mũŋen
Reyavani	1	mʊŋɑ
Kotha	1	muŋen
Suregadi	1	mũŋen
Chinachipuru	1	mʊŋɑ
TELUGU	3	mʊkːu
#8 mouth
Bobbili	1	solːu
Gogada	1	solːu
Panuku	1	tʃolːu
Reyavani	1	sulːu
Kotha	1	solːu
Suregadi	1	solːu
Chinachipuru	1	solːu
TELUGU	3	noru
@@ p18c3
#9 teeth
Bobbili	1	pʌlkil
Gogada	1	pʌlkil
Panuku	2	pənːu
Reyavani	1	pʌlkil
Kotha	1	pəlkil
Suregadi	1	pəlkil
-	1	pulu
Chinachipuru	1	pʌlkil
TELUGU	1	pəlːu
-	2	pənːu??CHECK
#10 tongue
Bobbili	1	nɑŋu
Gogada	1	nɑŋu
Panuku	1	nẽŋu
Reyavani	1	nɑŋu
Kotha	1	nẽɲu??CHECK
Suregadi	1	ŋẽŋu??CHECK
Chinachipuru	1	nɑŋu
TELUGU	3	nɐlʊkɐ
#11 breast
DISQUALIFIED
#12 belly
Bobbili	1	pʊɖːu
-	2	pʊɖːu
Gogada	1	pʊɖu
-	2	pʊɖu
Panuku	1	puɖʊ?
-	2	puɖʊ?
Reyavani	1	pʊɖːu
-	2	pʊɖːu
Kotha	1	pʊɖːu
Suregadi	1	pʊɖːu
Chinachipuru	1	pʊɖu
-	2	pʊɖu
TELUGU	3	poʈːɐ
@@ p19c1
#13 arm
Bobbili	1	kɪju
Gogada	1	kɪju
Panuku	1	kiju
Reyavani	1	kɪju
Kotha	1	kɪju
Suregadi	1	kiju
Chinachipuru	1	kɪju
TELUGU	3	tʃeji
#14 elbow
Bobbili	1	kokere
Gogada	3	mʊɖuku
Panuku	3	muɖukːu
Reyavani	1	kompere
Kotha	2	morɐ
Suregadi	2	morɐ
-	3	muɖukːu
Chinachipuru	1	kompere
TELUGU	4	motʃeji
#15 hand (palm)
Bobbili	2	ɑrɪkiju
Gogada	2	ɑrɪkiju
Panuku	2	kiju
Reyavani	2	ɑrɪkiju
Kotha	2	ərɪkɪju
Suregadi	2	ərkɪju
Chinachipuru	2	ɑrɪkiju
TELUGU	5	ɐretʃeji
#16 finger
Bobbili	1	vʌn̪d̪e
Gogada	1	vʌn̪d̪e
Panuku	1	vən̪d̪ɛ
Reyavani	1	vʌn̪d̪e
Kotha	1	ven̪d̪e
Suregadi	1	vən̪d̪ɛ
Chinachipuru	1	vʌn̪d̪e
TELUGU	3	velu
@@ p19c2
#17 fingernail
Bobbili	2	goru
Gogada	2	gor
Panuku	2	goru
Reyavani	2	gor
Kotha	2	goru
Suregadi	2	goru
Chinachipuru	2	goru
TELUGU	2	goru
#18 leg
Bobbili	1	kɑlgil(pl)
Gogada	1	kɑlgil(pl)
Panuku	1	kɐl
Reyavani	1	kɑlgil(pl)
Kotha	1	kɐlgil
Suregadi	1	kɐlu
Chinachipuru	1	kɑlu(sg)
TELUGU	1	kɐlu
#19 skin
Bobbili	2	t̪okːɑ
Gogada	2	t̪okːɑ
Panuku	2	t̪okːɐ
-	4	tʃərməm
Reyavani	2	t̪okːɑ
-	4	sʌrmɑ
Kotha	2	t̪okːɐ
Suregadi	2	t̪okːɐ
Chinachipuru	2	t̪okːɑ
TELUGU	4	tʃərməmu
#20 bone
Bobbili	2	d̪umːe
Gogada	2	d̪umːu
Panuku	2	d̪umːu
Reyavani	2	d̪umːu
Kotha	2	d̪umːu
Suregadi	2	d̪umːu
Chinachipuru	2	d̪umːu
TELUGU	4	ɛmʊkɐ
@@ p19c3
#21 heart
Bobbili	6	gunɖe
Gogada	5	ʌrgɪl
Panuku	3	borɛ
-	5	ərgil
Reyavani	6	gunɖe
Kotha	3	borɐ
Suregadi	5	ərgil
Chinachipuru	5	ʌrgɪl
TELUGU	6	gunɖɛ
#22 blood
Bobbili	1	net̪ir
Gogada	1	net̪ir
Panuku	1	nɛt̪ur
Reyavani	1	net̪ir
