Status,Reason,Installed_File,Former_Row,Language_ID,Gloss,Source,Raw_Form
skipped,source explicitly says no entry,data/other/forms/20230521-rajasthani.csv,,mewari_bhunyakhedi,chest,mewari,no entry
skipped,source explicitly says no entry,data/other/forms/20230521-rajasthani.csv,,mewari_jesingpura,chest,mewari,no entry
skipped,source explicitly says no entry,data/other/forms/20230521-rajasthani.csv,,bagri_mannaksar,chicken,bagri,no entry
skipped,"metalinguistic placeholder, not a lexical form",data/other/forms/20230521-rajasthani.csv,,hadothi_shyampura,daughter,hadothi,(by name)
skipped,source explicitly says no entry,data/other/forms/20230521-rajasthani.csv,,bagri_mannaksar,egg,bagri,no entry
skipped,source explicitly says no entry,data/other/forms/20230521-rajasthani.csv,,dhundari_bamore,faeces,dhundari,no entry
skipped,source explicitly says no entry,data/other/forms/20230521-rajasthani.csv,,dhundari_bhagatpur,faeces,dhundari,no entry
skipped,source explicitly says no entry,data/other/forms/20230521-rajasthani.csv,,dhundari_chalkoi,faeces,dhundari,no entry
skipped,source explicitly says no entry,data/other/forms/20230521-rajasthani.csv,,dhundari_pathalvas,faeces,dhundari,no entry
skipped,source explicitly says no entry,data/other/forms/20230521-rajasthani.csv,,bagri_jamal,fat,bagri,no entry
skipped,source explicitly says no entry,data/other/forms/20230521-rajasthani.csv,,bagri_mannaksar,fat,bagri,no entry
skipped,source explicitly says no entry,data/other/forms/20230521-rajasthani.csv,,bagri_mannaksar,fish,bagri,no entry
skipped,source explicitly says no entry,data/other/forms/20230521-rajasthani.csv,,bagri_mannaksar,meat,bagri,no entry
skipped,"metalinguistic placeholder, not a lexical form",data/other/forms/20230521-rajasthani.csv,,hadothi_shyampura,son,hadothi,(by name)
skipped,blank source response,data/other/forms/20230521-rajasthani.csv,,hadothi_devpura,that u,hadothi,
skipped,blank source response,data/other/forms/20230521-rajasthani.csv,,hadothi_kawai,that u,hadothi,
skipped,blank source response,data/other/forms/20230521-rajasthani.csv,,hadothi_piplia,that u,hadothi,
skipped,blank source response,data/other/forms/20230521-rajasthani.csv,,hadothi_shyampura,that u,hadothi,
skipped,blank source response,data/other/forms/20230521-rajasthani.csv,,hadothi_silori,that u,hadothi,
skipped,source explicitly says no entry,data/other/forms/20230521-rajasthani.csv,,dhundari_bamore,urine,dhundari,no entry
skipped,source explicitly says no entry,data/other/forms/20230521-rajasthani.csv,,dhundari_bhagatpur,urine,dhundari,no entry
skipped,source explicitly says no entry,data/other/forms/20230521-rajasthani.csv,,dhundari_chalkoi,urine,dhundari,no entry
skipped,source explicitly says no entry,data/other/forms/20230521-rajasthani.csv,,dhundari_pathalvas,urine,dhundari,no entry
skipped,"metalinguistic placeholder, not a lexical form",data/other/forms/20230521-rajasthani.csv,,bagri_karnigedda,younger brother,bagri,(by name)
skipped,"metalinguistic placeholder, not a lexical form",data/other/forms/20230521-rajasthani.csv,,dhundari_deladi,younger brother,dhundari,(by name)
skipped,"metalinguistic placeholder, not a lexical form",data/other/forms/20230521-rajasthani.csv,,hadothi_gothda,younger brother,hadothi,(by name)
skipped,"metalinguistic placeholder, not a lexical form",data/other/forms/20230521-rajasthani.csv,,hadothi_kawai,younger brother,hadothi,(by name)
skipped,"metalinguistic placeholder, not a lexical form",data/other/forms/20230521-rajasthani.csv,,hadothi_patera,younger brother,hadothi,(by name)
skipped,"metalinguistic placeholder, not a lexical form",data/other/forms/20230521-rajasthani.csv,,hadothi_piplia,younger brother,hadothi,(by name)
skipped,"metalinguistic placeholder, not a lexical form",data/other/forms/20230521-rajasthani.csv,,hadothi_shyampura,younger brother,hadothi,(by name)
skipped,"metalinguistic placeholder, not a lexical form",data/other/forms/20230521-rajasthani.csv,,hadothi_silori,younger brother,hadothi,(by name)
skipped,"metalinguistic placeholder, not a lexical form",data/other/forms/20230521-rajasthani.csv,,mewari_ajmer,younger brother,mewari,(by name)
skipped,"metalinguistic placeholder, not a lexical form",data/other/forms/20230521-rajasthani.csv,,mewari_bannoda,younger brother,mewari,(by name)
skipped,"metalinguistic placeholder, not a lexical form",data/other/forms/20230521-rajasthani.csv,,mewari_dholpura,younger brother,mewari,(by name)
skipped,"metalinguistic placeholder, not a lexical form",data/other/forms/20230521-rajasthani.csv,,mewari_gorana,younger brother,mewari,(by name)
skipped,"metalinguistic placeholder, not a lexical form",data/other/forms/20230521-rajasthani.csv,,mewari_hurda,younger brother,mewari,(by name)
skipped,"metalinguistic placeholder, not a lexical form",data/other/forms/20230521-rajasthani.csv,,mewari_jesingpura,younger brother,mewari,(by name)
skipped,"metalinguistic placeholder, not a lexical form",data/other/forms/20230521-rajasthani.csv,,mewari_kalnsas,younger brother,mewari,(by name)
skipped,"metalinguistic placeholder, not a lexical form",data/other/forms/20230521-rajasthani.csv,,mewari_khor,younger brother,mewari,(by name)
skipped,"metalinguistic placeholder, not a lexical form",data/other/forms/20230521-rajasthani.csv,,dhundari_jorpura,younger sister,dhundari,(by name)
skipped,"metalinguistic placeholder, not a lexical form",data/other/forms/20230521-rajasthani.csv,,hadothi_devpura,younger sister,hadothi,(by name)
skipped,"metalinguistic placeholder, not a lexical form",data/other/forms/20230521-rajasthani.csv,,hadothi_gothda,younger sister,hadothi,(by name)
skipped,"metalinguistic placeholder, not a lexical form",data/other/forms/20230521-rajasthani.csv,,hadothi_kawai,younger sister,hadothi,(by name)
skipped,"metalinguistic placeholder, not a lexical form",data/other/forms/20230521-rajasthani.csv,,hadothi_kelwada,younger sister,hadothi,(by name)
skipped,"metalinguistic placeholder, not a lexical form",data/other/forms/20230521-rajasthani.csv,,hadothi_patera,younger sister,hadothi,(by name)
skipped,"metalinguistic placeholder, not a lexical form",data/other/forms/20230521-rajasthani.csv,,hadothi_piplia,younger sister,hadothi,(by name)
skipped,"metalinguistic placeholder, not a lexical form",data/other/forms/20230521-rajasthani.csv,,hadothi_shyampura,younger sister,hadothi,(by name)
skipped,"metalinguistic placeholder, not a lexical form",data/other/forms/20230521-rajasthani.csv,,hadothi_silori,younger sister,hadothi,(by name)
skipped,"metalinguistic placeholder, not a lexical form",data/other/forms/20230521-rajasthani.csv,,marwari_degana,younger sister,marwari,(by name)
