Cell_Key	Manual_Form	Cell_Status	Confidence	Review_Method	Reviewer	Notes
kurumba2012:kurumbatheru:i176		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.334 / printed p.329 / item 176; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:kurumbatheru:i177		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.334 / printed p.329 / item 177; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:kurumbatheru:i178		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.334 / printed p.329 / item 178; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:kurumbatheru:i179		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.334 / printed p.329 / item 179; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:kurumbatheru:i180		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.334 / printed p.329 / item 180; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:kurumbatheru:i181		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.334 / printed p.329 / item 181; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:kurumbatheru:i182		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.334 / printed p.329 / item 182; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:kurumbatheru:i183		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.334 / printed p.329 / item 183; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:kurumbatheru:i184		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.334 / printed p.329 / item 184; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:kurumbatheru:i185		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.334 / printed p.329 / item 185; four printed dashes confirmed in 450 dpi rendered cell
