Physical_PDF_Page	Printed_Page	Relative_Path	Bytes	Width	Height	DPI	SHA256	Evidence_Class
33	27	page-33.png	266461	1224	1584	144	f8f564a6f23591fd882eaa613c9e6e5c3a6d789d427675133eb404d03cb0baf7	fresh-topology-audit-only; lexical readings remain frozen manual evidence
34	28	page-34.png	280771	1224	1584	144	503a71822026284ad9dc311927f4bf766616c91ede7eac6fee465bf6ed00575c	fresh-topology-audit-only; lexical readings remain frozen manual evidence
35	29	page-35.png	279525	1224	1584	144	b3d718cc2e2366cd1f088a56babb154b97625f52b9f04a4807e338c64d4d39b2	fresh-topology-audit-only; lexical readings remain frozen manual evidence
36	30	page-36.png	290201	1224	1584	144	6ad559211bb809535b65b7b90b8048a2347833e883fa50f9f4577ebb379842a2	fresh-topology-audit-only; lexical readings remain frozen manual evidence
37	31	page-37.png	295293	1224	1584	144	2f3999c4307386dec205819b565884055095501d17272e1070178432f6e43b72	fresh-topology-audit-only; lexical readings remain frozen manual evidence
38	32	page-38.png	282345	1224	1584	144	dd85ca33ad00dc170816b786d755bffdfd02d2d03216564c2b8bcdb479540210	fresh-topology-audit-only; lexical readings remain frozen manual evidence
39	33	page-39.png	267026	1224	1584	144	2b3e9312ba615c3e07768bdb30e6b7a131e7b638d851b21c53bd2c4979d4a789	fresh-topology-audit-only; lexical readings remain frozen manual evidence
40	34	page-40.png	244219	1224	1584	144	b048a84adb7826f4e0a8a361cbfe0fb233e3896a319611be0940a0bf52a1d0d8	fresh-topology-audit-only; lexical readings remain frozen manual evidence
41	35	page-41.png	292652	1224	1584	144	f64449e07d9d94efd091e5310b57e10609483243bdf046e9f89b58b0dbe8e63e	fresh-topology-audit-only; lexical readings remain frozen manual evidence
42	36	page-42.png	267522	1224	1584	144	dbb3a1eb7c613780a2ab97fdf1637e9c7fbef1c54994f4f1267f24bec17f45cb	fresh-topology-audit-only; lexical readings remain frozen manual evidence
43	37	page-43.png	291213	1224	1584	144	8c7533aa9a43598fd6746bf9a7539c28477b6fbc2b50f0737bd73040298a5bc4	fresh-topology-audit-only; lexical readings remain frozen manual evidence
