wiir-1052652,Indo-ir,mitrás,covenant; treaty; agreement; promise,"CDIAL[s.v. mitrá];wiktionary-piir[Reconstruction:Proto-Indo-Iranian/mitrás, revision 92152134]"
wiir-3862607,Indo-ir,Áryas,"autonymic (self-identifying) ethnonym of the respective Indo-Iranian peoples, i.e. the Indo-Aryans and the Iranians.","mallory1997eiec[p. 213];mallory2006oipiew[p. 266];wiktionary-piir[Reconstruction:Proto-Indo-Iranian/Áryas, revision 92152269]"
wiir-3867116,Indo-ir,wíćš,village; household,"mallory2006oipiew[p. 221];klein2017hchiel[p. 1894];wiktionary-piir[Reconstruction:Proto-Indo-Iranian/wíćš, revision 92152256]"
wiir-4647170,Indo-ir,ćatám,hundred,"lubotsky2011iail[s.v. śatá-, p. 450];wiktionary-piir[Reconstruction:Proto-Indo-Iranian/ćatám, revision 91973617]"
wiir-5025758,Indo-ir,kapʰas,"mucus, phlegm","lubotsky1999substratum;wiktionary-piir[Reconstruction:Proto-Indo-Iranian/kapʰas, revision 92152113]"
wiir-5025846,Indo-ir,pāpás,bad,"wiktionary-piir[Reconstruction:Proto-Indo-Iranian/pāpás, revision 91063648]"
wiir-5025903,Indo-ir,mánas,"mind, intellect, thought","wiktionary-piir[Reconstruction:Proto-Indo-Iranian/mánas, revision 88661804]"
wiir-5026025,Indo-ir,Hámsas,shoulder,"wiktionary-piir[Reconstruction:Proto-Indo-Iranian/Hámsas, revision 85411252]"
wiir-5026930,Indo-ir,Hnā́ma,name,"wiktionary-piir[Reconstruction:Proto-Indo-Iranian/Hnā́ma, revision 84917393]"
wiir-5027246,Indo-ir,káHmas,"wish, desire","rix2001liv[p. 343];wiktionary-piir[Reconstruction:Proto-Indo-Iranian/káHmas, revision 88555695]"
wiir-5063599,Indo-ir,Hstā́,star,"wiktionary-piir[Reconstruction:Proto-Indo-Iranian/Hstā́, revision 88613789]"
wiir-5070670,Indo-ir,bʰr̥ȷ́ʰáns,"high, tall","wiktionary-piir[Reconstruction:Proto-Indo-Iranian/bʰr̥ȷ́ʰáns, revision 91554887]"
wiir-5356787,Indo-ir,dáća,ten,"wiktionary-piir[Reconstruction:Proto-Indo-Iranian/dáća, revision 92152015]"
wiir-5424730,Indo-ir,gʰawš-,to hear,"rix2001liv[s.v. ?*g⁽ʷ⁾ʰeṷs-, p. 200];cheung2007ediv[s.v. *gauš, p. 115-116];wiktionary-piir[Reconstruction:Proto-Indo-Iranian/gʰawš-, revision 89099999]"
wiir-5424774,Indo-ir,gā́wš,cow,"rastorgueva2000esija[p. 205ff];wiktionary-piir[Reconstruction:Proto-Indo-Iranian/gā́wš, revision 91680820]"
wiir-5424832,Indo-ir,mátsyas,fish,"mayrhofer1992ewaia[p. 297-8];lubotsky1999substratum[p. 3];klein2017hchiel[p. 1949];martinez2014avestan[p. 32];lipp2009palatale[p. 150];wiktionary-piir[Reconstruction:Proto-Indo-Iranian/mátsyas, revision 92356192]"
wiir-5544161,Indo-ir,Hā́ps,water,"lubotsky2011iail[s.v. áp-];wiktionary-piir[Reconstruction:Proto-Indo-Iranian/Hā́ps, revision 92152111]"
wiir-5544173,Indo-ir,daywás,god,"goto2013oiamorphology[p. 22];wiktionary-piir[Reconstruction:Proto-Indo-Iranian/daywás, revision 92152007]"
wiir-5554849,Indo-ir,súHar,the sun,"martinez2014avestan[p. 52];wiktionary-piir[Reconstruction:Proto-Indo-Iranian/súHar, revision 92152207]"
wiir-5554873,Indo-ir,Ha-,this,"lubotsky2011iail[s.v. a- (2), p. 4-5];dunkel2014lipp[p. 188];wiktionary-piir[Reconstruction:Proto-Indo-Iranian/Ha-, revision 92152038]"
wiir-5555454,Indo-ir,wayd-,to know; to find,"martinez2014avestan[p. 113];cheung2007ediv[s.v. u̯aid¹, u̯aid², p. 408–410];wiktionary-piir[Reconstruction:Proto-Indo-Iranian/wayd-, revision 91411869]"
wiir-5555845,Indo-ir,-H,,"martinez2014avestan;wiktionary-piir[Reconstruction:Proto-Indo-Iranian/-H, revision 82552124]"
wiir-5555882,Indo-ir,HáHugdʰay,"to say (solemnly), praise","lubotsky2011iail[s.v. oh, p. 352];cheung2007ediv[s.v. *Hauǰ, p. 169-170];martinez2014avestan[p. 28];wiktionary-piir[Reconstruction:Proto-Indo-Iranian/HáHugdʰay, revision 91557220]"
wiir-5557902,Indo-ir,Háywas,one,"wiktionary-piir[Reconstruction:Proto-Indo-Iranian/Háywas, revision 90197125]"
wiir-5558406,Indo-ir,dwáH,two,"wiktionary-piir[Reconstruction:Proto-Indo-Iranian/dwáH, revision 91591816]"
wiir-5558423,Indo-ir,a-,"un-, a-","wiktionary-piir[Reconstruction:Proto-Indo-Iranian/a-, revision 87170413]"
