Codepoint	Symbol	Unicode_Name	Count	Decision
U+0020	 	SPACE	27	preserve reviewed source punctuation or boundary
U+002C	,	COMMA	1	preserve reviewed source punctuation or boundary
U+003F	?	QUESTION MARK	2	preserve reviewed source punctuation or boundary
U+0061	a	LATIN SMALL LETTER A	2075	preserve NFC diplomatic transcription
U+0062	b	LATIN SMALL LETTER B	343	preserve NFC diplomatic transcription
U+0064	d	LATIN SMALL LETTER D	449	preserve NFC diplomatic transcription
U+0065	e	LATIN SMALL LETTER E	378	preserve NFC diplomatic transcription
U+0067	g	LATIN SMALL LETTER G	175	preserve NFC diplomatic transcription
U+0068	h	LATIN SMALL LETTER H	236	preserve NFC diplomatic transcription
U+0069	i	LATIN SMALL LETTER I	658	preserve NFC diplomatic transcription
U+006A	j	LATIN SMALL LETTER J	385	preserve NFC diplomatic transcription
U+006B	k	LATIN SMALL LETTER K	749	preserve NFC diplomatic transcription
U+006C	l	LATIN SMALL LETTER L	444	preserve NFC diplomatic transcription
U+006D	m	LATIN SMALL LETTER M	1163	preserve NFC diplomatic transcription
U+006E	n	LATIN SMALL LETTER N	988	preserve NFC diplomatic transcription
U+006F	o	LATIN SMALL LETTER O	954	preserve NFC diplomatic transcription
U+0070	p	LATIN SMALL LETTER P	497	preserve NFC diplomatic transcription
U+0072	r	LATIN SMALL LETTER R	204	preserve NFC diplomatic transcription
U+0073	s	LATIN SMALL LETTER S	43	preserve NFC diplomatic transcription
U+0074	t	LATIN SMALL LETTER T	569	preserve NFC diplomatic transcription
U+0075	u	LATIN SMALL LETTER U	1334	preserve NFC diplomatic transcription
U+00E3	ã	LATIN SMALL LETTER A WITH TILDE	7	preserve NFC diplomatic transcription
U+00E6	æ	LATIN SMALL LETTER AE	1	preserve NFC diplomatic transcription
U+00F5	õ	LATIN SMALL LETTER O WITH TILDE	51	preserve NFC diplomatic transcription
U+0129	ĩ	LATIN SMALL LETTER I WITH TILDE	2	preserve NFC diplomatic transcription
U+014B	ŋ	LATIN SMALL LETTER ENG	654	preserve NFC diplomatic transcription
U+0169	ũ	LATIN SMALL LETTER U WITH TILDE	21	preserve NFC diplomatic transcription
U+0251	ɑ	LATIN SMALL LETTER ALPHA	2	preserve NFC diplomatic transcription
U+0259	ə	LATIN SMALL LETTER SCHWA	597	preserve NFC diplomatic transcription
U+025B	ɛ	LATIN SMALL LETTER OPEN E	7	preserve NFC diplomatic transcription
U+026A	ɪ	LATIN LETTER SMALL CAPITAL I	2	preserve NFC diplomatic transcription
U+026F	ɯ	LATIN SMALL LETTER TURNED M	220	preserve NFC diplomatic transcription
U+0272	ɲ	LATIN SMALL LETTER N WITH LEFT HOOK	128	preserve NFC diplomatic transcription
U+027E	ɾ	LATIN SMALL LETTER R WITH FISHHOOK	194	preserve NFC diplomatic transcription
U+0283	ʃ	LATIN SMALL LETTER ESH	320	preserve NFC diplomatic transcription
U+028C	ʌ	LATIN SMALL LETTER TURNED V	1	preserve NFC diplomatic transcription
U+0292	ʒ	LATIN SMALL LETTER EZH	120	preserve NFC diplomatic transcription
U+0294	ʔ	LATIN LETTER GLOTTAL STOP	22	preserve NFC diplomatic transcription
U+02D0	ː	MODIFIER LETTER TRIANGULAR COLON	46	preserve NFC diplomatic transcription
U+0303	̃	COMBINING TILDE	8	preserve NFC diplomatic transcription
U+032A	̪	COMBINING BRIDGE BELOW	797	preserve NFC diplomatic transcription
U+1EBD	ẽ	LATIN SMALL LETTER E WITH TILDE	8	preserve NFC diplomatic transcription
