Item	Gloss	Site_Code	Site_Name	PDF_Page	Printed_Page	Column	Manual_Transcription	Similarity_Groups	Source_Qualification	Review_Status	Confidence	Uncertainty	Reviewer_Method	Reviewed_At	Reviewer_Declaration
1	body	POD	Podeiguda U. Bonda	15	10	1	ɲeɾi	2		attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
1	body	BON	Bondapada U. Bonda	15	10	2	ɲeɾi	2		attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
1	body	DUM	Dumripada U. Bonda	15	10	3	ɛɾi	2		attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
1	body	KAD	Kadamguda L. Bonda	15	10	4	ɛɾi	2		attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
1	body	KEN	Kendhuguda L. Bonda	15	10	5	ɛɾi	2		attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
1	body	RAS	Rasabeda L. Bonda	15	10	6	gagoɖe	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
1	body	GUT	Tikrapada Gadaba	15	10	7	nɛɾi	2		attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
1	body	BIA	Biapada U. Didayi	15	10	8	gagəɖe	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
1	body	PAR	Kinumun Parenga Parja	15	10	9	uɾɛ	4		attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
1	body	RON	Malenga Rona Desiya	15	10	10	gɛgɔɽ	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
