Item	Gloss	Site_Code	Site_Name	PDF_Page	Printed_Page	Column	Manual_Transcription	Similarity_Groups	Source_Qualification	Review_Status	Confidence	Uncertainty	Reviewer_Method	Reviewed_At	Reviewer_Declaration
76	turmeric	POD	Podeiguda U. Bonda	26	21	1	sʌŋsʌŋ	2		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
76	turmeric	BON	Bondapada U. Bonda	26	21	2	sʌŋsʌŋ	2		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
76	turmeric	DUM	Dumripada U. Bonda	26	21	3	sʌŋsʌŋ	2		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
76	turmeric	KAD	Kadamguda L. Bonda	26	21	4	sʌŋsʌŋ	2		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
76	turmeric	KEN	Kendhuguda L. Bonda	26	21	5	sʌŋsʌŋ	2		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
76	turmeric	RAS	Rasabeda L. Bonda	26	21	6	sʌŋsʌŋ	2		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
76	turmeric	GUT	Tikrapada Gadaba	26	21	7	sɛŋsɛŋ	2		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
76	turmeric	BIA	Biapada U. Didayi	26	21	8	çiçia	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
76	turmeric	PAR	Kinumun Parenga Parja	26	21	9	sʌŋsɛŋ	2		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
76	turmeric	RON	Malenga Rona Desiya	26	21	10	ɔlɖɪ	3		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
76	turmeric	ODI	Cuttack Oriya	26	21	11	holidi	3		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
77	garlic	POD	Podeiguda U. Bonda	26	21	1	t̪ʊlirʊsuɳo	3		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
77	garlic	BON	Bondapada U. Bonda	26	21	2	t̪ʊlirʊsuɳo	3		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
77	garlic	DUM	Dumripada U. Bonda	26	21	3	t̪ʊlirʊsuɳo	3		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
77	garlic	KAD	Kadamguda L. Bonda	26	21	4	rusʊɳo	2		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
77	garlic	KEN	Kendhuguda L. Bonda	26	21	5	rusʊɳo	2		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
77	garlic	RAS	Rasabeda L. Bonda	26	21	6	rusʊɳ	2		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
77	garlic	GUT	Tikrapada Gadaba	26	21	7	loson	2		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
77	garlic	BIA	Biapada U. Didayi	26	21	8	t̪ulaisulei	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
77	garlic	PAR	Kinumun Parenga Parja	26	21	9	losun	2		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
77	garlic	RON	Malenga Rona Desiya	26	21	10	lɔsʊn	2		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
77	garlic	ODI	Cuttack Oriya	26	21	11	rəsuɳə	2		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
78	onion	POD	Podeiguda U. Bonda	26	21	1	ʊlirusuno	3		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
78	onion	BON	Bondapada U. Bonda	26	21	2	ʊlirusuno	3		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
78	onion	DUM	Dumripada U. Bonda	26	21	3	ʊlirusuno	3		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
78	onion	KAD	Kadamguda L. Bonda	26	21	4	piɛdʒ	2		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
78	onion	KEN	Kendhuguda L. Bonda	26	21	5	piɛdʒ	2		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
78	onion	RAS	Rasabeda L. Bonda	26	21	6	piɛdʒ	2		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
