Item	Gloss	Site_Code	Site_Name	PDF_Page	Printed_Page	Column	Manual_Transcription	Similarity_Groups	Source_Qualification	Review_Status	Confidence	Uncertainty	Reviewer_Method	Reviewed_At	Reviewer_Declaration
101	name	POD	Podeiguda U. Bonda	30	25	1	imi	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
101	name	BON	Bondapada U. Bonda	30	25	2	imi	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
101	name	DUM	Dumripada U. Bonda	30	25	3	imi	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
101	name	KAD	Kadamguda L. Bonda	30	25	4	əmi	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
101	name	KEN	Kendhuguda L. Bonda	30	25	5	əmi	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
101	name	RAS	Rasabeda L. Bonda	30	25	6	əmi	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
101	name	GUT	Tikrapada Gadaba	30	25	7	imi | nev	1|2	two responses printed on separate group-1 and group-2 lines for GUT	attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
101	name	BIA	Biapada U. Didayi	30	25	8	mɳi	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
101	name	PAR	Kinumun Parenga Parja	30	25	9	nʌʊ	2		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
101	name	RON	Malenga Rona Desiya	30	25	10	nã	2		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
101	name	ODI	Cuttack Oriya	30	25	11	nɑ:mə	3		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
102	man	POD	Podeiguda U. Bonda	30	25	1	ŋgera | remo	6|6	two responses printed comma-separated on the group-6 line for POD	attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
102	man	BON	Bondapada U. Bonda	30	25	2	ŋgere	6		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
102	man	DUM	Dumripada U. Bonda	30	25	3	ŋgere	6		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
102	man	KAD	Kadamguda L. Bonda	30	25	4	ŋgere	6		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
102	man	KEN	Kendhuguda L. Bonda	30	25	5	ŋgere	6		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
102	man	RAS	Rasabeda L. Bonda	30	25	6	ŋgere	6		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
102	man	GUT	Tikrapada Gadaba	30	25	7	oɖuvon	2		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
102	man	BIA	Biapada U. Didayi	30	25	8	gɪrboi	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
102	man	PAR	Kinumun Parenga Parja	30	25	9	ɛɖu	3		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
102	man	RON	Malenga Rona Desiya	30	25	10	mʊnʊs	4		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
102	man	ODI	Cuttack Oriya	30	25	11	moniʃo	5		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
103	woman	POD	Podeiguda U. Bonda	30	25	1	selane	7		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
103	woman	BON	Bondapada U. Bonda	30	25	2	selane	7		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
103	woman	DUM	Dumripada U. Bonda	30	25	3	selane	7		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
103	woman	KAD	Kadamguda L. Bonda	30	25	4	selane	7		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
103	woman	KEN	Kendhuguda L. Bonda	30	25	5	selane	7		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
103	woman	RAS	Rasabeda L. Bonda	30	25	6	selamboi	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
103	woman	GUT	Tikrapada Gadaba	30	25	7	onoʔon	2		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
103	woman	BIA	Biapada U. Didayi	30	25	8	selamboi	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
103	woman	PAR	Kinumun Parenga Parja	30	25	9	guɳʈɔr | ʌmkur	3|4	two responses printed on separate group-3 and group-4 lines for PAR	attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
103	woman	RON	Malenga Rona Desiya	30	25	10	mɛjdʒɪ	5		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
103	woman	ODI	Cuttack Oriya	30	25	11	st̪ri	6		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
104	child	POD	Podeiguda U. Bonda	30	25	1	gulaine	9		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
104	child	BON	Bondapada U. Bonda	30	25	2	gulaine	9		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
104	child	DUM	Dumripada U. Bonda	30	25	3	gʊbʊle	8		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
104	child	KAD	Kadamguda L. Bonda	30	25	4	gu:	6		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
104	child	KEN	Kendhuguda L. Bonda	30	25	5	gu:	6		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
104	child	RAS	Rasabeda L. Bonda	30	25	6	gu:	6		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
104	child	GUT	Tikrapada Gadaba	30	25	7	oø:n	2		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
104	child	BIA	Biapada U. Didayi	30	25	8	tʃɛrlao	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
104	child	PAR	Kinumun Parenga Parja	30	25	9	buboŋ	3		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
104	child	RON	Malenga Rona Desiya	30	25	10	pɪlɛʈɔkɪ	4		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
104	child	ODI	Cuttack Oriya	30	25	11	pilɑ	5		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
105	father	POD	Podeiguda U. Bonda	30	25	1	ba	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
105	father	BON	Bondapada U. Bonda	30	25	2	ba	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
105	father	DUM	Dumripada U. Bonda	30	25	3	ba	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
105	father	KAD	Kadamguda L. Bonda	30	25	4	ba:	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
105	father	KEN	Kendhuguda L. Bonda	30	25	5	ba:	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
105	father	RAS	Rasabeda L. Bonda	30	25	6	ba:	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
105	father	GUT	Tikrapada Gadaba	30	25	7	əbeŋ	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
105	father	BIA	Biapada U. Didayi	30	25	8	m̩ba	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
105	father	PAR	Kinumun Parenga Parja	30	25	9	ʌbɛ | ʌbɛ	1|2	same response printed on separate group-1 and group-2 lines for PAR	attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
105	father	RON	Malenga Rona Desiya	30	25	10	bɛbɛ	2		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
105	father	ODI	Cuttack Oriya	30	25	11	bapɑ	2		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-not-copied
