Record_Type,Report,PDF_Page,Printed_Page,Column,Gloss_Number,Gloss,Site_Code,Site_Name,Comparison_Role,Response,Group,Transcription,Review,Uncertainty,Status,Reason,Language_ID,Dialect_ID,Source,Entry_Key
wordlist response,adimathara2019mudhili,19,15,1,1,body,Bobbili,Bobbilivalasa,target,1,1,mɛnu,visually transcribed at quarter-column zoom,source-raster-vowel,installed,,Gadaba,sil-gadaba-2019-bobbilivalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 1, Bobbilivalasa]",silgadaba2019:g001:sil-gadaba-2019-bobbilivalasa:i1
wordlist response,adimathara2019mudhili,19,15,1,1,body,Gogada,Gogaduvalasa,target,1,1,mɛnu,visually transcribed at quarter-column zoom,source-raster-vowel,installed,,Gadaba,sil-gadaba-2019-gogaduvalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 1, Gogaduvalasa]",silgadaba2019:g001:sil-gadaba-2019-gogaduvalasa:i1
wordlist response,adimathara2019mudhili,19,15,1,1,body,Panuku,Panukuvalasa,target,1,1,mɛnu,visually transcribed at quarter-column zoom,source-raster-vowel,installed,,Gadaba,sil-gadaba-2019-panukuvalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 1, Panukuvalasa]",silgadaba2019:g001:sil-gadaba-2019-panukuvalasa:i1
wordlist response,adimathara2019mudhili,19,15,1,1,body,Reyavani,Reyavanivalasa,target,1,1,mɛnu,visually transcribed at quarter-column zoom,source-raster-vowel,installed,,Gadaba,sil-gadaba-2019-reyavanivalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 1, Reyavanivalasa]",silgadaba2019:g001:sil-gadaba-2019-reyavanivalasa:i1
wordlist response,adimathara2019mudhili,19,15,1,1,body,Kotha,Kothavalasa,target,1,1,mɛnu,visually transcribed at quarter-column zoom,source-raster-vowel,installed,,Gadaba,sil-gadaba-2019-kothavalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 1, Kothavalasa]",silgadaba2019:g001:sil-gadaba-2019-kothavalasa:i1
wordlist response,adimathara2019mudhili,19,15,1,1,body,Suregadi,Suregadivalasa,target,1,1,mɛnu,visually transcribed at quarter-column zoom,source-raster-vowel,installed,,Gadaba,sil-gadaba-2019-suregadivalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 1, Suregadivalasa]",silgadaba2019:g001:sil-gadaba-2019-suregadivalasa:i1
wordlist response,adimathara2019mudhili,19,15,1,1,body,Chinachipuru,Chinachipuruvalasa,target,1,1,mɛnu,visually transcribed at quarter-column zoom,source-raster-vowel,installed,,Gadaba,sil-gadaba-2019-chinachipuruvalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 1, Chinachipuruvalasa]",silgadaba2019:g001:sil-gadaba-2019-chinachipuruvalasa:i1
wordlist response,adimathara2019mudhili,19,15,1,1,body,TELUGU,Srikakulam Telugu,comparison control,1,4,sərirəmu,visually transcribed at quarter-column zoom,source-raster-vowel,excluded,Telugu comparison control; not a target Mudhili Gadaba list,,,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 1, Srikakulam Telugu]",
wordlist response,adimathara2019mudhili,19,15,1,2,head,Bobbili,Bobbilivalasa,target,1,1,t̪ʌlu,visually transcribed at quarter-column zoom,source-raster-coronal;source-raster-vowel,installed,,Gadaba,sil-gadaba-2019-bobbilivalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 2, Bobbilivalasa]",silgadaba2019:g002:sil-gadaba-2019-bobbilivalasa:i1
wordlist response,adimathara2019mudhili,19,15,1,2,head,Gogada,Gogaduvalasa,target,1,1,t̪ʌlːe,visually transcribed at quarter-column zoom,source-raster-coronal;source-raster-vowel,installed,,Gadaba,sil-gadaba-2019-gogaduvalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 2, Gogaduvalasa]",silgadaba2019:g002:sil-gadaba-2019-gogaduvalasa:i1
wordlist response,adimathara2019mudhili,19,15,1,2,head,Panuku,Panukuvalasa,target,1,1,t̪əlːu,visually transcribed at quarter-column zoom,source-raster-coronal;source-raster-vowel,installed,,Gadaba,sil-gadaba-2019-panukuvalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 2, Panukuvalasa]",silgadaba2019:g002:sil-gadaba-2019-panukuvalasa:i1
wordlist response,adimathara2019mudhili,19,15,1,2,head,Reyavani,Reyavanivalasa,target,1,1,t̪ʌlu,visually transcribed at quarter-column zoom,source-raster-coronal;source-raster-vowel,installed,,Gadaba,sil-gadaba-2019-reyavanivalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 2, Reyavanivalasa]",silgadaba2019:g002:sil-gadaba-2019-reyavanivalasa:i1
wordlist response,adimathara2019mudhili,19,15,1,2,head,Kotha,Kothavalasa,target,1,1,t̪əlːu,visually transcribed at quarter-column zoom,source-raster-coronal;source-raster-vowel,installed,,Gadaba,sil-gadaba-2019-kothavalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 2, Kothavalasa]",silgadaba2019:g002:sil-gadaba-2019-kothavalasa:i1
wordlist response,adimathara2019mudhili,19,15,1,2,head,Kotha,Kothavalasa,target,2,1,t̪əiu,visually transcribed at quarter-column zoom,source-raster-coronal;source-raster-vowel,installed,,Gadaba,sil-gadaba-2019-kothavalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 2, Kothavalasa]",silgadaba2019:g002:sil-gadaba-2019-kothavalasa:i2
wordlist response,adimathara2019mudhili,19,15,1,2,head,Suregadi,Suregadivalasa,target,1,1,t̪əlːu,visually transcribed at quarter-column zoom,source-raster-coronal;source-raster-vowel,installed,,Gadaba,sil-gadaba-2019-suregadivalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 2, Suregadivalasa]",silgadaba2019:g002:sil-gadaba-2019-suregadivalasa:i1
wordlist response,adimathara2019mudhili,19,15,1,2,head,Chinachipuru,Chinachipuruvalasa,target,1,1,t̪ʌlu,visually transcribed at quarter-column zoom,source-raster-coronal;source-raster-vowel,installed,,Gadaba,sil-gadaba-2019-chinachipuruvalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 2, Chinachipuruvalasa]",silgadaba2019:g002:sil-gadaba-2019-chinachipuruvalasa:i1
wordlist response,adimathara2019mudhili,19,15,1,2,head,TELUGU,Srikakulam Telugu,comparison control,1,1,t̪ələ,visually transcribed at quarter-column zoom,source-raster-coronal;source-raster-vowel,excluded,Telugu comparison control; not a target Mudhili Gadaba list,,,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 2, Srikakulam Telugu]",
wordlist response,adimathara2019mudhili,19,15,1,3,hair,Bobbili,Bobbilivalasa,target,1,2,ken̪d̪ukulu,visually transcribed at quarter-column zoom,source-raster-coronal,installed,,Gadaba,sil-gadaba-2019-bobbilivalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 3, Bobbilivalasa]",silgadaba2019:g003:sil-gadaba-2019-bobbilivalasa:i1
wordlist response,adimathara2019mudhili,19,15,1,3,hair,Gogada,Gogaduvalasa,target,1,2,ken̪d̪ukulu,visually transcribed at quarter-column zoom,source-raster-coronal,installed,,Gadaba,sil-gadaba-2019-gogaduvalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 3, Gogaduvalasa]",silgadaba2019:g003:sil-gadaba-2019-gogaduvalasa:i1
wordlist response,adimathara2019mudhili,19,15,1,3,hair,Panuku,Panukuvalasa,target,1,2,ken̪d̪ukul,visually transcribed at quarter-column zoom,source-raster-coronal,installed,,Gadaba,sil-gadaba-2019-panukuvalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 3, Panukuvalasa]",silgadaba2019:g003:sil-gadaba-2019-panukuvalasa:i1
wordlist response,adimathara2019mudhili,19,15,1,3,hair,Panuku,Panukuvalasa,target,2,2,ken̪d̪ɪkɪl,visually transcribed at quarter-column zoom,source-raster-coronal;source-raster-vowel,installed,,Gadaba,sil-gadaba-2019-panukuvalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 3, Panukuvalasa]",silgadaba2019:g003:sil-gadaba-2019-panukuvalasa:i2
wordlist response,adimathara2019mudhili,19,15,1,3,hair,Reyavani,Reyavanivalasa,target,1,2,ken̪d̪ukulu,visually transcribed at quarter-column zoom,source-raster-coronal,installed,,Gadaba,sil-gadaba-2019-reyavanivalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 3, Reyavanivalasa]",silgadaba2019:g003:sil-gadaba-2019-reyavanivalasa:i1
wordlist response,adimathara2019mudhili,19,15,1,3,hair,Kotha,Kothavalasa,target,1,2,ken̪d̪ugulʊ,visually transcribed at quarter-column zoom,source-raster-coronal;source-raster-vowel,installed,,Gadaba,sil-gadaba-2019-kothavalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 3, Kothavalasa]",silgadaba2019:g003:sil-gadaba-2019-kothavalasa:i1
wordlist response,adimathara2019mudhili,19,15,1,3,hair,Suregadi,Suregadivalasa,target,1,2,t̪əlːken̪d̪ukulu,visually transcribed at quarter-column zoom,source-raster-coronal;source-raster-vowel,installed,,Gadaba,sil-gadaba-2019-suregadivalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 3, Suregadivalasa]",silgadaba2019:g003:sil-gadaba-2019-suregadivalasa:i1
wordlist response,adimathara2019mudhili,19,15,1,3,hair,Chinachipuru,Chinachipuruvalasa,target,1,2,kend̪ikilu,visually transcribed at quarter-column zoom,source-raster-coronal,installed,,Gadaba,sil-gadaba-2019-chinachipuruvalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 3, Chinachipuruvalasa]",silgadaba2019:g003:sil-gadaba-2019-chinachipuruvalasa:i1
wordlist response,adimathara2019mudhili,19,15,1,3,hair,TELUGU,Srikakulam Telugu,comparison control,1,4,dʒʊʈːu,visually transcribed at quarter-column zoom,source-raster-coronal;source-raster-vowel,excluded,Telugu comparison control; not a target Mudhili Gadaba list,,,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 3, Srikakulam Telugu]",
wordlist response,adimathara2019mudhili,19,15,1,4,face,Bobbili,Bobbilivalasa,target,1,1,pon̪d̪u,visually transcribed at quarter-column zoom,source-raster-coronal,installed,,Gadaba,sil-gadaba-2019-bobbilivalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 4, Bobbilivalasa]",silgadaba2019:g004:sil-gadaba-2019-bobbilivalasa:i1
wordlist response,adimathara2019mudhili,19,15,1,4,face,Gogada,Gogaduvalasa,target,1,1,pon̪d̪u,visually transcribed at quarter-column zoom,source-raster-coronal,installed,,Gadaba,sil-gadaba-2019-gogaduvalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 4, Gogaduvalasa]",silgadaba2019:g004:sil-gadaba-2019-gogaduvalasa:i1
wordlist response,adimathara2019mudhili,19,15,1,4,face,Panuku,Panukuvalasa,target,1,1,pon̪d̪u,visually transcribed at quarter-column zoom,source-raster-coronal,installed,,Gadaba,sil-gadaba-2019-panukuvalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 4, Panukuvalasa]",silgadaba2019:g004:sil-gadaba-2019-panukuvalasa:i1
wordlist response,adimathara2019mudhili,19,15,1,4,face,Reyavani,Reyavanivalasa,target,1,1,pon̪d̪u,visually transcribed at quarter-column zoom,source-raster-coronal,installed,,Gadaba,sil-gadaba-2019-reyavanivalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 4, Reyavanivalasa]",silgadaba2019:g004:sil-gadaba-2019-reyavanivalasa:i1
wordlist response,adimathara2019mudhili,19,15,1,4,face,Kotha,Kothavalasa,target,1,1,pon̪d̪u,visually transcribed at quarter-column zoom,source-raster-coronal,installed,,Gadaba,sil-gadaba-2019-kothavalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 4, Kothavalasa]",silgadaba2019:g004:sil-gadaba-2019-kothavalasa:i1
wordlist response,adimathara2019mudhili,19,15,1,4,face,Suregadi,Suregadivalasa,target,1,1,pon̪d̪u,visually transcribed at quarter-column zoom,source-raster-coronal,installed,,Gadaba,sil-gadaba-2019-suregadivalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 4, Suregadivalasa]",silgadaba2019:g004:sil-gadaba-2019-suregadivalasa:i1
wordlist response,adimathara2019mudhili,19,15,1,4,face,Chinachipuru,Chinachipuruvalasa,target,1,1,pon̪d̪u,visually transcribed at quarter-column zoom,source-raster-coronal,installed,,Gadaba,sil-gadaba-2019-chinachipuruvalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 4, Chinachipuruvalasa]",silgadaba2019:g004:sil-gadaba-2019-chinachipuruvalasa:i1
wordlist response,adimathara2019mudhili,19,15,1,4,face,TELUGU,Srikakulam Telugu,comparison control,1,3,mʊkʰəmu,visually transcribed at quarter-column zoom,source-raster-vowel,excluded,Telugu comparison control; not a target Mudhili Gadaba list,,,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 4, Srikakulam Telugu]",
wordlist response,adimathara2019mudhili,19,15,2,5,eye,Bobbili,Bobbilivalasa,target,1,1,kʌɳuku,visually transcribed at quarter-column zoom,source-raster-coronal;source-raster-vowel,installed,,Gadaba,sil-gadaba-2019-bobbilivalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 5, Bobbilivalasa]",silgadaba2019:g005:sil-gadaba-2019-bobbilivalasa:i1
wordlist response,adimathara2019mudhili,19,15,2,5,eye,Gogada,Gogaduvalasa,target,1,1,kʌɳuku,visually transcribed at quarter-column zoom,source-raster-coronal;source-raster-vowel,installed,,Gadaba,sil-gadaba-2019-gogaduvalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 5, Gogaduvalasa]",silgadaba2019:g005:sil-gadaba-2019-gogaduvalasa:i1
wordlist response,adimathara2019mudhili,19,15,2,5,eye,Panuku,Panukuvalasa,target,1,1,kəɳːu,visually transcribed at quarter-column zoom,source-raster-coronal;source-raster-vowel,installed,,Gadaba,sil-gadaba-2019-panukuvalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 5, Panukuvalasa]",silgadaba2019:g005:sil-gadaba-2019-panukuvalasa:i1
wordlist response,adimathara2019mudhili,19,15,2,5,eye,Reyavani,Reyavanivalasa,target,1,1,kʌɳuku,visually transcribed at quarter-column zoom,source-raster-coronal;source-raster-vowel,installed,,Gadaba,sil-gadaba-2019-reyavanivalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 5, Reyavanivalasa]",silgadaba2019:g005:sil-gadaba-2019-reyavanivalasa:i1
wordlist response,adimathara2019mudhili,19,15,2,5,eye,Kotha,Kothavalasa,target,1,1,kəɳ,visually transcribed at quarter-column zoom,source-raster-coronal;source-raster-vowel,installed,,Gadaba,sil-gadaba-2019-kothavalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 5, Kothavalasa]",silgadaba2019:g005:sil-gadaba-2019-kothavalasa:i1
wordlist response,adimathara2019mudhili,19,15,2,5,eye,Suregadi,Suregadivalasa,target,1,1,kəɳːu,visually transcribed at quarter-column zoom,source-raster-coronal;source-raster-vowel,installed,,Gadaba,sil-gadaba-2019-suregadivalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 5, Suregadivalasa]",silgadaba2019:g005:sil-gadaba-2019-suregadivalasa:i1
wordlist response,adimathara2019mudhili,19,15,2,5,eye,Chinachipuru,Chinachipuruvalasa,target,1,1,kʌnnu,visually transcribed at quarter-column zoom,source-raster-vowel,installed,,Gadaba,sil-gadaba-2019-chinachipuruvalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 5, Chinachipuruvalasa]",silgadaba2019:g005:sil-gadaba-2019-chinachipuruvalasa:i1
wordlist response,adimathara2019mudhili,19,15,2,5,eye,TELUGU,Srikakulam Telugu,comparison control,1,1,kəɳːu,visually transcribed at quarter-column zoom,source-raster-coronal;source-raster-vowel,excluded,Telugu comparison control; not a target Mudhili Gadaba list,,,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 5, Srikakulam Telugu]",
wordlist response,adimathara2019mudhili,19,15,2,6,ear,Bobbili,Bobbilivalasa,target,1,1,kekːol,visually transcribed at quarter-column zoom,,installed,,Gadaba,sil-gadaba-2019-bobbilivalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 6, Bobbilivalasa]",silgadaba2019:g006:sil-gadaba-2019-bobbilivalasa:i1
wordlist response,adimathara2019mudhili,19,15,2,6,ear,Gogada,Gogaduvalasa,target,1,1,kekːosə,visually transcribed at quarter-column zoom,source-raster-vowel,installed,,Gadaba,sil-gadaba-2019-gogaduvalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 6, Gogaduvalasa]",silgadaba2019:g006:sil-gadaba-2019-gogaduvalasa:i1
wordlist response,adimathara2019mudhili,19,15,2,6,ear,Panuku,Panukuvalasa,target,1,1,kokːol,visually transcribed at quarter-column zoom,,installed,,Gadaba,sil-gadaba-2019-panukuvalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 6, Panukuvalasa]",silgadaba2019:g006:sil-gadaba-2019-panukuvalasa:i1
wordlist response,adimathara2019mudhili,19,15,2,6,ear,Reyavani,Reyavanivalasa,target,1,1,kokːol,visually transcribed at quarter-column zoom,,installed,,Gadaba,sil-gadaba-2019-reyavanivalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 6, Reyavanivalasa]",silgadaba2019:g006:sil-gadaba-2019-reyavanivalasa:i1
wordlist response,adimathara2019mudhili,19,15,2,6,ear,Kotha,Kothavalasa,target,1,1,kokːol,visually transcribed at quarter-column zoom,,installed,,Gadaba,sil-gadaba-2019-kothavalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 6, Kothavalasa]",silgadaba2019:g006:sil-gadaba-2019-kothavalasa:i1
wordlist response,adimathara2019mudhili,19,15,2,6,ear,Suregadi,Suregadivalasa,target,1,1,kekol,visually transcribed at quarter-column zoom,,installed,,Gadaba,sil-gadaba-2019-suregadivalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 6, Suregadivalasa]",silgadaba2019:g006:sil-gadaba-2019-suregadivalasa:i1
wordlist response,adimathara2019mudhili,19,15,2,6,ear,Chinachipuru,Chinachipuruvalasa,target,1,1,kekol,visually transcribed at quarter-column zoom,,installed,,Gadaba,sil-gadaba-2019-chinachipuruvalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 6, Chinachipuruvalasa]",silgadaba2019:g006:sil-gadaba-2019-chinachipuruvalasa:i1
wordlist response,adimathara2019mudhili,19,15,2,6,ear,TELUGU,Srikakulam Telugu,comparison control,1,3,tʃevi,visually transcribed at quarter-column zoom,,excluded,Telugu comparison control; not a target Mudhili Gadaba list,,,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 6, Srikakulam Telugu]",
wordlist response,adimathara2019mudhili,19,15,2,7,nose,Bobbili,Bobbilivalasa,target,1,1,mʊŋɑ,visually transcribed at quarter-column zoom,source-raster-vowel,installed,,Gadaba,sil-gadaba-2019-bobbilivalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 7, Bobbilivalasa]",silgadaba2019:g007:sil-gadaba-2019-bobbilivalasa:i1
