Status,Reason,Entry_Key,Site_Code,Site_Description,Language_ID,Base_Language,Concept,Gloss,Printed_Page,Column,Response_Index,Response_Count,Raw_Cell,Response,House_Form,Tags,Source
ingested,single response,beine-bhatri:BKP:2:1,BKP,"Bhatri from Kotpad Tahsil, Koraput District, Orissa",beine_bkp,Bhatri,2,head,10,2,1,1,mu̽ndˑe̠,mu̽ndˑe̠,mũnḍə,,"beine2017bhatri[p. 10, item 2, site BKP]"
ingested,single response,beine-bhatri:BKP:18:1,BKP,"Bhatri from Kotpad Tahsil, Koraput District, Orissa",beine_bkp,Bhatri,18,leg,12,3,1,1,ɡorˑe̠,ɡorˑe̠,goṛə,,"beine2017bhatri[p. 12, item 18, site BKP]"
ingested,single response,beine-bhatri:BAN:24:1,BAN,"Bhatri from Anantpur, Kondagaon Tahsil, Bastar District, Madhya Pradesh",beine_ban,Bhatri,24,feces,12,3,1,1,ɡu,ɡu,gu,,"beine2017bhatri[p. 12, item 24, site BAN]"
ingested,single response,beine-bhatri:BAN:26:1,BAN,"Bhatri from Anantpur, Kondagaon Tahsil, Bastar District, Madhya Pradesh",beine_ban,Bhatri,26,house,13,2,1,1,ɡv̠r̩,ɡv̠r̩,gʌṛ,,"beine2017bhatri[p. 13, item 26, site BAN]"
ingested,response 2 of 2 printed in one cell,beine-bhatri:BKP:31:2,BKP,"Bhatri from Kotpad Tahsil, Koraput District, Orissa",beine_bkp,Bhatri,31,mortar,13,1,2,2,silʔpokna,pokna,pokna,,"beine2017bhatri[p. 13, item 31, site BKP]"
ingested,single response,beine-bhatri:BAG:32:1,BAG,"Bhatri from Amaguda, Jagdalpur Tahsil, Bastar District, Madhya Pradesh",beine_bag,Bhatri,32,pestle,13,2,1,1,lorˑa,lorˑa,loṛa,,"beine2017bhatri[p. 13, item 32, site BAG]"
ingested,response 1 of 2 printed in one cell,beine-bhatri:BKP:52:1,BKP,"Bhatri from Kotpad Tahsil, Koraput District, Orissa",beine_bkp,Bhatri,52,stone,16,1,1,2,poknaʔɡorˑi,pokna,pokna,,"beine2017bhatri[p. 16, item 52, site BKP]"
ingested,single response,beine-bhatri:BCB:57:1,BCB,"Bhatri from Chote Badal, Jagdalpur Tahsil, Bastar District, Madhya Pradesh",beine_bcb,Bhatri,57,ash,16,3,1,1,lakrˑi,lakrˑi,lakṛi,,"beine2017bhatri[p. 16, item 57, site BCB]"
ingested,single response,beine-bhatri:HBH:61:1,HBH,"Halbi from Bhatpal, Kondagaon Tahsil, Bastar District, Madhya Pradesh",beine_hbh,hal,61,tree,17,1,1,1,ruk,ruk,ruk,,"beine2017bhatri[p. 17, item 61, site HBH]"
ingested,single response,beine-bhatri:BUM:64:1,BUM,"Bhatri from Umarkot Tahsil, Koraput District, Orissa",beine_bum,Bhatri,64,thorn,17,1,1,1,kv̠tˑa,kv̠tˑa,kʌṭa,,"beine2017bhatri[p. 17, item 64, site BUM]"
ingested,single response,beine-bhatri:BJE:75:1,BJE,"Bhatri from Jeypore Tahsil, Koraput District, Orissa",beine_bje,Bhatri,75,chili,18,3,1,1,me̠r̩itʃ̩,me̠r̩itʃ̩,məṛic,,"beine2017bhatri[p. 18, item 75, site BJE]"
ingested,single response,beine-bhatri:BAU:85:1,BAU,"Bhatri from Auli, Nowrangapur Tahsil, Koraput District, Orissa",beine_bau,Bhatri,85,fat,19,1,1,1,bc̠̽s,bc̠̽s,bɔ̃s,,"beine2017bhatri[p. 19, item 85, site BAU]"
ingested,single response,beine-bhatri:OAR:91:1,OAR,"Adivasi Oriya from Araku Valley, Visak District, Andhra Pradesh",beine_oar,AdivasiOriya,91,milk,20,1,1,1,dud,dud,dud,,"beine2017bhatri[p. 20, item 91, site OAR]"
ingested,single response,beine-bhatri:BJE:93:1,BJE,"Bhatri from Jeypore Tahsil, Koraput District, Orissa",beine_bje,Bhatri,93,tail,20,3,1,1,le̽dʒ̩,le̽dʒ̩,lẽj,,"beine2017bhatri[p. 20, item 93, site BJE]"
ingested,single response,beine-bhatri:OAR:107:1,OAR,"Adivasi Oriya from Araku Valley, Visak District, Andhra Pradesh",beine_oar,AdivasiOriya,107,older brother,22,2,1,1,ana,ana,ana,,"beine2017bhatri[p. 22, item 107, site OAR]"
ingested,single response,beine-bhatri:OCU:113:1,OCU,"Oriya from Cuttack Tahsil, Cuttack District, Orissa",beine_ocu,Or,113,husband,22,2,1,1,suami,suami,suami,,"beine2017bhatri[p. 22, item 113, site OCU]"
ingested,single response,beine-bhatri:BSA:116:1,BSA,"Bhatri from Sargipal, Jagdalpur Tahsil, Bastar District, Madhya Pradesh",beine_bsa,Bhatri,116,girl,23,2,1,1,tˑoki,tˑoki,ṭoki,,"beine2017bhatri[p. 23, item 116, site BSA]"
ingested,single response,beine-bhatri:BUM:143:1,BUM,"Bhatri from Umarkot Tahsil, Koraput District, Orissa",beine_bum,Bhatri,143,small,26,2,1,1,sur̩u,sur̩u,suṛu,,"beine2017bhatri[p. 26, item 143, site BUM]"
ingested,single response,beine-bhatri:BAN:148:1,BAN,"Bhatri from Anantpur, Kondagaon Tahsil, Bastar District, Madhya Pradesh",beine_ban,Bhatri,148,white,26,1,1,1,pondr̩a,pondr̩a,pondṛa,,"beine2017bhatri[p. 26, item 148, site BAN]"
ingested,single response,beine-bhatri:BSA:155:1,BSA,"Bhatri from Sargipal, Jagdalpur Tahsil, Bastar District, Madhya Pradesh",beine_bsa,Bhatri,155,five,27,2,1,1,pa̽tʃ̩,pa̽tʃ̩,pãc,,"beine2017bhatri[p. 27, item 155, site BSA]"
