Snapshot_Date,Entry_Key,GUID,Letter,Page,Entry_Kind,Headword,Homograph,IPA,Part_Of_Speech,Sense_Count,Sense_Number,Gloss_English,Gloss_Hindi,Definition_Kind,Usage_Note,Semantic_Domains,Example,Example_Translation,Complex_Form_Type,Complex_Form_Parts,Variant_Of_Type,Variant_Of_Target,Variant_Of_Key,Variant_Backref_Type,Variant_Backref_Target,Cross_Reference_Type,Cross_Reference_Target,Status,Reason,Record_SHA256,Review,Material_Error
2026-08-26,woods2019halbi:g00190166-3358-4c84-97ec-03e4ffab2224,g00190166-3358-4c84-97ec-03e4ffab2224,ए,2,minorentrycomplex,एक कोड़ी नों,,ek koɽi nõ,num,1,,twenty-nine,उन्‍तीस,definition,,8.1.1.1 Cardinal numbers,,,comp. of,एक कोड़ी + नों,,,,,,,,installed,,19b78c222c1671885a945ab0c973c06c3b626d63744a7f716943574879459dfa,,
2026-08-26,woods2019halbi:g0cce765a-fc21-42f0-93c1-d48fba0a7c5e,g0cce765a-fc21-42f0-93c1-d48fba0a7c5e,क,2,entry,कड़सनाएँ,,kəɽəsnaẽ,adv,3,3,bitingly,,definition,,"5.2.2.1 Bite, chew",,,,,,,,,,,,installed,,7605af2ad5c4bba27d1ad036be0e0417e50874c92e8ab1e02c635df32d48a3f1,,
2026-08-26,woods2019halbi:g1c01205d-d46f-4587-b0cc-16eded9e5acc,g1c01205d-d46f-4587-b0cc-16eded9e5acc,च,1,minorentrycomplex,चक चो चक,,tʃək tʃo tʃək,cn,1,,all the,,definition,,8.2.8 Measure,,,redup. of,चक + चो,,,,,,,,installed,,18667829c37c9ae5716d5c9b68cc57d16080bb2ba622045e9e514ace632bce6e,,
2026-08-26,woods2019halbi:g28cf4552-0aa5-4690-9613-5de8a30085f9,g28cf4552-0aa5-4690-9613-5de8a30085f9,ब,15,entry,बूड़ूक,,buɽuk,v,6,5,to stamp,,definition,,,,,,,,,,,,cf,बेर पोड़ती,installed,,88c0061a2a52621b14dd1cf3cee6dc1a4c3867a0c8853267400a1716f3890e70,,
2026-08-26,woods2019halbi:g33ff7e4a-cbab-4ac8-900c-46e795667bf9,g33ff7e4a-cbab-4ac8-900c-46e795667bf9,ई,2,minorentryvariant,ईत्राहान,,itrahan,,0,,,,,,,,,,,fr. var. of,ईत्‍लाहान,woods2019halbi:gd3362144-8591-4c55-98c1-739e06e235b7,,,,,installed,,ee4efb40709548329a057d1505b2517498c94e244b7dffe674559920b2fd977c,,
2026-08-26,woods2019halbi:g407f9409-b700-43f7-98ab-817944f8f813,g407f9409-b700-43f7-98ab-817944f8f813,प,8,minorentrycomplex,पालक भाजी,,palək bʰadʒi,cn,1,,vegetable name; leafy and green vegetable,,definition,,"5.2.3.1.3 Food from vegetables; 1.5.3 Grass, herb, vine; 5.2.3.1.4 Food from leaves",,,comp. of,भाजी + पालक,,,,,,,,installed,,e140a5ad0e425252b5cf57133a9a2b953a704d5f7395bca83311e1a61fa7283a,,
2026-08-26,woods2019halbi:g4c919e33-e176-40b9-9035-a1df0f673f12,g4c919e33-e176-40b9-9035-a1df0f673f12,ऊ,6,minorentrycomplex,ऊलटा गोठेआऊक,,ulʈa ɡoʈʰeauk,comVb,1,,to repeat,दुहराना,definition,,3.5.1.2.6 Repeat,,,ph. v. of,गोठेआऊक + ऊलटा,,,,,,,,installed,,07b3a2dac57c60ed7d5326f7c8850b017bc2b4eeecec16b3ec469ac2549a22a2,,
2026-08-26,woods2019halbi:g594eada6-2927-467c-a491-f784bdca06de,g594eada6-2927-467c-a491-f784bdca06de,क,6,minorentrycomplex,बीकरी करूक,,bikri kəruk,comVb,1,,to sell,बेचना,definition,,,बीकरी करतो बीती होले बीकरी करदे।,"When there are ones to sell, they will sell.",ph. v. of,करूक + बीकरी,,,,,,,,installed,,9ac984bc1941d079336d30b479ec5189d4b0f557b2f5bdf95501bb6a95b2afe2,,
2026-08-26,woods2019halbi:g65b8565e-8b47-4cb4-bb39-64ad60a1e711,g65b8565e-8b47-4cb4-bb39-64ad60a1e711,ग,7,entry,गीआन,,ɡian,adj,1,,wisdom,,definition,,3.2.1.3 Intelligent,,,,,,,,,,,,installed,,7e9f79a92d432d81471abbc7129f15a1a0b3f1ac5db52711ad10a264296d5eb3,,
2026-08-26,woods2019halbi:g73e9bf22-a970-4855-9327-ef0a24b33058,g73e9bf22-a970-4855-9327-ef0a24b33058,ड,3,entry,डाट,,ɖaʈ,n,1,,fight,झगड़ा,definition,,,,,,,,,,,,cf,दाटा दाटी,installed,,b4ebb8763180a7958cc46c8117ed67c7884d5b8bf89e3c7767229b2de4527341,,
2026-08-26,woods2019halbi:g813a0d1f-5945-42f1-83ae-42f25390511c,g813a0d1f-5945-42f1-83ae-42f25390511c,क,22,entry,कोचकूक,,kotʃkuk,v,3,3,to poke,,definition,,7.3.2.9 Push; 6.7.1.1 Poking tool,,,,,,,,,,cf,कोचूक,installed,,a28af7fe3e24d0449bf035c3e1cbf3f7bd16c27b9114cc8da6cae0a5de415ba5,,
2026-08-26,woods2019halbi:g8e1135e8-b8fb-4619-9113-5ed6b234178d,g8e1135e8-b8fb-4619-9113-5ed6b234178d,ब,17,entry,बेटा,,beʈa,n,3,1,son,पुत्र; बेटा,definition,,4.1.9.1 Related by birth,आपलो जन्‍मालो बाप नाहले माए लेका के बेटा बोलूआए। हून के लोग मन बेटा बोलूआत।,One's own birth causing father or else  mother will call the boy . People call that relation 'son'.,,,,,,,,cf; cf; cf,मोनाऊक; बूआरी; सूसरा,installed,,b732bee7926e8173fd869c8ca0b86a577dd020050f7ebf749ddc90921dab45f5,,
2026-08-26,woods2019halbi:g9a6bcf00-d447-4941-a2bb-5a4fb937cbae,g9a6bcf00-d447-4941-a2bb-5a4fb937cbae,ऊ,6,entry,ऊमरूक,,umruk,v,1,,to become old and dried out,,definition,such as when keep a leafy vegetable too long without using,"9.1.1.2 Become, change state; 8.4.6.5 Age; 8.4.6.5.4 Old, not new",,,,,,,,,,,,installed,,30a53cf3298fc2b3fc75cb0cc8c4e9901a91005c69cd4b70f6ce10632406cf85,,
2026-08-26,woods2019halbi:ga6b3110f-90ca-4700-8636-9c2363744fe5,ga6b3110f-90ca-4700-8636-9c2363744fe5,ख,3,minorentrycomplex,खातो,,kʰato,adj,1,,eating; drinking,खाना; पीने,definition,,5.2.2 Eat; 5.2.2.4 Manner of eating,,,der. of,खाऊक,,,,,,,,installed,,d5b74a900120976e74f2ea79a172022bb1169a5b67b6d6735db70367ca3db4ae,,
2026-08-26,woods2019halbi:gb42d7785-ae0f-46bb-90ff-e401af1c8282,gb42d7785-ae0f-46bb-90ff-e401af1c8282,क,20,minorentryvariant,के,2,ke,,0,,,,,,,,,,,,ऊक,woods2019halbi:g8f73073a-b220-4285-865f-b2a8b2b4e631,,,,,installed,,376dc9671e949101baf8a8e34b880f3af8cbb89d108a9969751b7553834f9ba5,,
2026-08-26,woods2019halbi:gc00e6570-3c06-45b8-a234-8dda4f7c75ed,gc00e6570-3c06-45b8-a234-8dda4f7c75ed,क,18,entry,कूड़ा,1,kuɽa,n,1,,stack,ढेर,definition,"of rice, mõdea, etc",8.1.3.3 Group of things,हूता आनून बाती कूड़ाऊँदे।,After having brought there we will stack (them).,,,,,,,,,,installed,,3933fe3e5560a6fcdf5908142dcc733034c92d8ecaf91e0f2329ac70ece98b96,,
2026-08-26,woods2019halbi:gce11f5cb-7563-4031-8953-e3785f6659bb,gce11f5cb-7563-4031-8953-e3785f6659bb,च,7,minorentrycomplex,बोद चीक,,bod tʃik,cn,1,,sticky trap type,,definition,,,,,comp. of,चीक,,,,,,,,installed,,5623f10ce7b10c216e4cb802c6aaf23b6b6d4cec3745026ec834e20101844075,,
2026-08-26,woods2019halbi:gdb4a112c-56d2-446a-8fb0-2740ba1e3316,gdb4a112c-56d2-446a-8fb0-2740ba1e3316,प,15,minorentryvariant,पोंगखा जाहाज,,põɡkʰa dʒahadʒ,,0,,,,,,,,,,,fr. var. of,पँगखा जाहाज,woods2019halbi:g3a191a5a-8c9c-44c4-9aaa-193acac8f14e,,,,,installed,,93b355db2abe0b3201ec91e17c028de7b2f5e2f4fb79daf34861363975f20bc3,,
2026-08-26,woods2019halbi:ge76f1b3a-f78c-47ef-aaf5-eb8965a861e3,ge76f1b3a-f78c-47ef-aaf5-eb8965a861e3,आ,4,minorentrycomplex,आड़ मूँडे बेरा,,aɽ mũɖe bera,cn,1,,afternoon,,definition,,8.4.1.2.3 Time of the day,,,comp. of,मूँडे बेरा + आड़बेरा,,,,,,,,installed,,fdcda4d9f60cc954b9b517231dfd4b64e523a146a64a43224d857568d22b5525,,
2026-08-26,woods2019halbi:gf36ad908-8512-426d-ad30-659f1aa88835,gf36ad908-8512-426d-ad30-659f1aa88835,त,8,entry,तोरई,,torəi,n,1,,vegetable type; long edible gourd,लौकी,definition,,5.2.3.1 Food from plants; 8.2.2 Long; 1.5.5 Parts of a plant,कूमडा काकड़ी तोरई रपतोर आए।,"Pumpkin, cucumber, and the long gourd are to be planted.",,,,,,,,,,installed,,3203123dfc19ce16368a456302e8751f17e197e110887c954f6b7855f1e36314,,
