Report,PDF_Page,Column,Item,Gloss,Group,Site_Code,Site,Raw_Form,Status,Reason,Entry_Key
kim-ahmad-kim-sangma2011kurux,38,0,1,sky,0,B,Gabindanagar,no entry,excluded,printed gap: the item was not elicited at this site,
kim-ahmad-kim-sangma2011kurux,38,0,1,sky,1,C,Boldipukur,mɛrxa,installed,,silkurux2011:i001:C:1
kim-ahmad-kim-sangma2011kurux,38,0,1,sky,1,D,Lohanipara,mɛrxa,installed,,silkurux2011:i001:D:1
kim-ahmad-kim-sangma2011kurux,38,0,1,sky,1,E,Dulhapur,mɛrxa,installed,,silkurux2011:i001:E:1
kim-ahmad-kim-sangma2011kurux,38,0,1,sky,2,0,Bangla,akaʃ,installed,,silkurux2011:i001:0:1
kim-ahmad-kim-sangma2011kurux,38,0,1,sky,3,A,Dima,məijɑ,installed,,silkurux2011:i001:A:1
kim-ahmad-kim-sangma2011kurux,38,0,2,sun,1,A,Dima,bɪɾ,installed,,silkurux2011:i002:A:1
kim-ahmad-kim-sangma2011kurux,38,0,2,sun,1,B,Gabindanagar,biɽi,installed,,silkurux2011:i002:B:1
kim-ahmad-kim-sangma2011kurux,38,0,2,sun,1,C,Boldipukur,biɽi,installed,,silkurux2011:i002:C:1
kim-ahmad-kim-sangma2011kurux,38,0,2,sun,1,D,Lohanipara,biɽi,installed,,silkurux2011:i002:D:1
kim-ahmad-kim-sangma2011kurux,38,0,2,sun,1,E,Dulhapur,biɽi,installed,,silkurux2011:i002:E:1
kim-ahmad-kim-sangma2011kurux,38,0,2,sun,2,0,Bangla,ʃuɹdʒo,installed,,silkurux2011:i002:0:1
kim-ahmad-kim-sangma2011kurux,38,0,3,moon,1,B,Gabindanagar,tʃando,installed,,silkurux2011:i003:B:1
kim-ahmad-kim-sangma2011kurux,38,0,3,moon,1,C,Boldipukur,tʃando,installed,,silkurux2011:i003:C:1
kim-ahmad-kim-sangma2011kurux,38,0,3,moon,1,D,Lohanipara,tʃando,installed,,silkurux2011:i003:D:1
kim-ahmad-kim-sangma2011kurux,38,0,3,moon,1,E,Dulhapur,tʃando,installed,,silkurux2011:i003:E:1
kim-ahmad-kim-sangma2011kurux,38,0,3,moon,1,A,Dima,tʃhɑnd,installed,,silkurux2011:i003:A:1
kim-ahmad-kim-sangma2011kurux,38,0,3,moon,2,0,Bangla,tʃad�,excluded,contains a glyph with no verified reading,
kim-ahmad-kim-sangma2011kurux,38,0,3,moon,2,A,Dima,tʃhɑnd,installed,,silkurux2011:i003:A:2
kim-ahmad-kim-sangma2011kurux,38,0,4,star,1,B,Gabindanagar,binko,installed,,silkurux2011:i004:B:1
kim-ahmad-kim-sangma2011kurux,38,0,4,star,1,C,Boldipukur,binko,installed,,silkurux2011:i004:C:1
kim-ahmad-kim-sangma2011kurux,38,0,4,star,1,D,Lohanipara,binko,installed,,silkurux2011:i004:D:1
kim-ahmad-kim-sangma2011kurux,38,0,4,star,1,E,Dulhapur,binko,installed,,silkurux2011:i004:E:1
kim-ahmad-kim-sangma2011kurux,38,0,4,star,2,0,Bangla,taɾa,installed,,silkurux2011:i004:0:1
kim-ahmad-kim-sangma2011kurux,38,0,4,star,3,A,Dima,tɛrɡɑn,installed,,silkurux2011:i004:A:1
kim-ahmad-kim-sangma2011kurux,38,0,5,cloud,1,C,Boldipukur,badali,installed,,silkurux2011:i005:C:1
kim-ahmad-kim-sangma2011kurux,38,0,5,cloud,1,D,Lohanipara,badali,installed,,silkurux2011:i005:D:1
kim-ahmad-kim-sangma2011kurux,38,0,5,cloud,1,E,Dulhapur,badali,installed,,silkurux2011:i005:E:1
kim-ahmad-kim-sangma2011kurux,38,0,5,cloud,1,B,Gabindanagar,padali,installed,,silkurux2011:i005:B:1
kim-ahmad-kim-sangma2011kurux,38,0,5,cloud,2,0,Bangla,mɛɡh,installed,,silkurux2011:i005:0:1
kim-ahmad-kim-sangma2011kurux,38,0,5,cloud,3,A,Dima,bəbɾi,installed,,silkurux2011:i005:A:1
kim-ahmad-kim-sangma2011kurux,38,0,6,rain,1,A,Dima,tʃɛb,installed,,silkurux2011:i006:A:1
kim-ahmad-kim-sangma2011kurux,38,0,6,rain,1,B,Gabindanagar,tʃɛp,installed,,silkurux2011:i006:B:1
kim-ahmad-kim-sangma2011kurux,38,0,6,rain,1,C,Boldipukur,tʃɛp�,excluded,contains a glyph with no verified reading,
kim-ahmad-kim-sangma2011kurux,38,0,6,rain,1,D,Lohanipara,tʃɛp�,excluded,contains a glyph with no verified reading,
kim-ahmad-kim-sangma2011kurux,38,0,6,rain,1,E,Dulhapur,tʃɛp�,excluded,contains a glyph with no verified reading,
kim-ahmad-kim-sangma2011kurux,38,0,6,rain,2,0,Bangla,brɪʃti,installed,,silkurux2011:i006:0:1
kim-ahmad-kim-sangma2011kurux,38,0,7,rainbow,1,C,Boldipukur,dhanukbar,installed,,silkurux2011:i007:C:1
kim-ahmad-kim-sangma2011kurux,38,0,7,rainbow,1,B,Gabindanagar,dhanukdal,installed,,silkurux2011:i007:B:1
kim-ahmad-kim-sangma2011kurux,38,0,7,rainbow,2,D,Lohanipara,ɾamdhanu,installed,,silkurux2011:i007:D:1
kim-ahmad-kim-sangma2011kurux,38,0,7,rainbow,2,E,Dulhapur,ɾamdhanu,installed,,silkurux2011:i007:E:1
kim-ahmad-kim-sangma2011kurux,38,0,7,rainbow,2,0,Bangla,r !dh nu,excluded,contains a glyph with no verified reading,
kim-ahmad-kim-sangma2011kurux,38,0,7,rainbow,3,A,Dima,ɪndɾədos,installed,,silkurux2011:i007:A:1
kim-ahmad-kim-sangma2011kurux,38,1,8,wind,1,A,Dima,tɑqɑ,installed,,silkurux2011:i008:A:1
kim-ahmad-kim-sangma2011kurux,38,1,8,wind,1,B,Gabindanagar,taka,installed,,silkurux2011:i008:B:1
kim-ahmad-kim-sangma2011kurux,38,1,8,wind,1,C,Boldipukur,taka,installed,,silkurux2011:i008:C:1
kim-ahmad-kim-sangma2011kurux,38,1,8,wind,1,D,Lohanipara,taka,installed,,silkurux2011:i008:D:1
kim-ahmad-kim-sangma2011kurux,38,1,8,wind,1,E,Dulhapur,taka,installed,,silkurux2011:i008:E:1
kim-ahmad-kim-sangma2011kurux,38,1,8,wind,2,0,Bangla,bataʃ,installed,,silkurux2011:i008:0:1
kim-ahmad-kim-sangma2011kurux,38,1,9,lightning,0,A,Dima,no entry,excluded,printed gap: the item was not elicited at this site,
kim-ahmad-kim-sangma2011kurux,38,1,9,lightning,1,B,Gabindanagar,ba$ʒal,excluded,contains a glyph with no verified reading,
kim-ahmad-kim-sangma2011kurux,38,1,9,lightning,2,C,Boldipukur,birtʃhi,installed,,silkurux2011:i009:C:1
kim-ahmad-kim-sangma2011kurux,38,1,9,lightning,2,D,Lohanipara,birtʃi,installed,,silkurux2011:i009:D:1
kim-ahmad-kim-sangma2011kurux,38,1,9,lightning,2,E,Dulhapur,birtʃi,installed,,silkurux2011:i009:E:1
kim-ahmad-kim-sangma2011kurux,38,1,9,lightning,3,0,Bangla,bɪddut tʃ mkano,installed,,silkurux2011:i009:0:1
kim-ahmad-kim-sangma2011kurux,38,1,10,thunder,0,A,Dima,no entry,excluded,printed gap: the item was not elicited at this site,
kim-ahmad-kim-sangma2011kurux,38,1,10,thunder,1,B,Gabindanagar,muɾi,installed,,silkurux2011:i010:B:1
kim-ahmad-kim-sangma2011kurux,38,1,10,thunder,1,C,Boldipukur,muɾi,installed,,silkurux2011:i010:C:1
kim-ahmad-kim-sangma2011kurux,38,1,10,thunder,1,D,Lohanipara,muɾi,installed,,silkurux2011:i010:D:1
kim-ahmad-kim-sangma2011kurux,38,1,10,thunder,1,E,Dulhapur,muɾi,installed,,silkurux2011:i010:E:1
kim-ahmad-kim-sangma2011kurux,38,1,10,thunder,2,0,Bangla,mɛɡh ɡ ɹdʒon,installed,,silkurux2011:i010:0:1
kim-ahmad-kim-sangma2011kurux,38,1,11,sea,0,A,Dima,no entry,excluded,printed gap: the item was not elicited at this site,
kim-ahmad-kim-sangma2011kurux,38,1,11,sea,0,D,Lohanipara,no entry,excluded,printed gap: the item was not elicited at this site,
kim-ahmad-kim-sangma2011kurux,38,1,11,sea,0,E,Dulhapur,no entry,excluded,printed gap: the item was not elicited at this site,
kim-ahmad-kim-sangma2011kurux,38,1,11,sea,1,C,Boldipukur,ʃamdar,installed,,silkurux2011:i011:C:1
kim-ahmad-kim-sangma2011kurux,38,1,11,sea,1,B,Gabindanagar,samudar,installed,,silkurux2011:i011:B:1
kim-ahmad-kim-sangma2011kurux,38,1,11,sea,2,0,Bangla,ʃ mudɾo,installed,,silkurux2011:i011:0:1
kim-ahmad-kim-sangma2011kurux,38,1,12,mountain,0,A,Dima,no entry,excluded,printed gap: the item was not elicited at this site,
kim-ahmad-kim-sangma2011kurux,38,1,12,mountain,1,B,Gabindanagar,paɾɛta,installed,,silkurux2011:i012:B:1
kim-ahmad-kim-sangma2011kurux,38,1,12,mountain,1,C,Boldipukur,parta,installed,,silkurux2011:i012:C:1
kim-ahmad-kim-sangma2011kurux,38,1,12,mountain,1,D,Lohanipara,parta,installed,,silkurux2011:i012:D:1
kim-ahmad-kim-sangma2011kurux,38,1,12,mountain,2,0,Bangla,pahaɽ,installed,,silkurux2011:i012:0:1
kim-ahmad-kim-sangma2011kurux,38,1,12,mountain,2,E,Dulhapur,pahaɽ,installed,,silkurux2011:i012:E:1
