Entry_Key,Printed_Page,Gold_Form,Gold_Base,Embedded_ABBYY,Fresh_Tesseract_Base,Tuned_Base_OCR,Tuned_Base_Exact,Kraken_Unicode_OCR,Kraken_Unicode_Exact,Finding
thari:p200:c1:e3,200,khū̃jo,khujo,kh^j o,atenu,,,,,fresh OCR loses the vowel marks and misreads the base
thari:p200:c1:e9,200,khetar,khetar,k’iietbr,kueter,khetar,yes,khetar,yes,both source-specific models fix the typewriter h/e sequence
thari:p200:c1:e10,200,khetrī,khetri,kiietri,knetri,khetri,yes,khetrī,yes,Kraken restores vowel length
thari:p200:c1:e11,200,khel,khel,khel,khel,hel,no,khel,yes,Kraken retains the initial k
thari:p200:c1:e13,200,khes,khes,khes,khes,khes,yes,khes,yes,exact Unicode form
thari:p200:c1:e14,200,khoṭo,khoto,khoto,khoto,khoto,yes,khoto,no,both models miss the retroflex dot
thari:p200:c1:e15,200,khopo,khopo,kiiopo,knopo,khopo,yes,khopo,yes,exact Unicode form
thari:p200:c1:e16,200,khoprī,khopri,khopri,khopri,khopri,yes,khoprī,yes,Kraken restores vowel length
thari:p200:c1:e17,200,khor,khor,khor,khor,khor,yes,khor,yes,exact Unicode form
thari:p200:c1:e22,200,gãjo,gajo,gfejo,gj,gajo,yes,kājo,no,Kraken sees a suprasegmental but chooses macron and misreads g
thari:p200:c2:e4,200,gajar,gajar,gfajfer,gojer,gajar,yes,gajār,no,Kraken inserts a macron
thari:p200:c2:e6,200,gaḍ,gad,g&d,ed,,,,,form crop could not be isolated reliably
thari:p200:c2:e7,200,gaḍh,gadh,£sdh,gedh,,,,,form crop could not be isolated reliably
thari:p200:c2:e8,200,gaḍ̠hī,gadhi,gSr'cTbh,sedeh,grdah,no,ādah,no,stacked marks and initial g remain confused
thari:p200:c2:e9,200,gaḍ̠ah,gadah,g&cThi,sedhi,gadhi,no,gsdhī,no,marked d sequence remains confused
thari:p200:c2:e13,200,ganāt,ganat,£fenat,genat,ganat,yes,galāt,no,Kraken restores the macron but confuses n and l
thari:p200:c2:e22,200,garā,gara,gbra,gera,goara,no,sarā,no,Kraken restores the macron but confuses initial g
thari:p200:c2:e26,200,garḍho,gardho,gGrdho,zerdho,,,,,form crop could not be isolated reliably
