Seed,Record_Key,PDF_Page,Raw_Compared,Final_Compared,Material_Error,Review_Note
2005,southworth2005m:p10:t2:a:04,10,yes,yes,no,Final transcription and structure checked against the 400-dpi page image.
2005,southworth2005m:p9:t1:r01,9,yes,yes,no,Final transcription and structure checked against the 400-dpi page image.
2005,southworth2005m:p9:t1:r05,9,yes,yes,no,Final transcription and structure checked against the 400-dpi page image.
2005,southworth2005m:p10:t2:a:07,10,yes,yes,no,Final transcription and structure checked against the 400-dpi page image.
2005,southworth2005m:p9:t1:r14,9,yes,yes,no,Final transcription and structure checked against the 400-dpi page image.
2005,southworth2005m:p10:t2:a:05,10,yes,yes,no,Final transcription and structure checked against the 400-dpi page image.
2005,southworth2005m:p10:t2:b:17,10,yes,yes,no,Final transcription and structure checked against the 400-dpi page image.
2005,southworth2005m:p10:t2:a:03,10,yes,yes,no,Final transcription and structure checked against the 400-dpi page image.
2005,southworth2005m:p9:t1:r07,9,yes,yes,no,Final transcription and structure checked against the 400-dpi page image.
2005,southworth2005m:p9:t1:r16,9,yes,yes,no,Final transcription and structure checked against the 400-dpi page image.
2005,southworth2005m:p10:t2:b:23,10,yes,yes,no,Final transcription and structure checked against the 400-dpi page image.
2005,southworth2005m:p9:t1:r22,9,yes,yes,no,Final transcription and structure checked against the 400-dpi page image.
2005,southworth2005m:p10:t2:a:01,10,yes,yes,no,Final transcription and structure checked against the 400-dpi page image.
2005,southworth2005m:p9:t1:r08,9,yes,yes,no,Final transcription and structure checked against the 400-dpi page image.
2005,southworth2005m:p9:t1:r17,9,yes,yes,no,Final transcription and structure checked against the 400-dpi page image.
2005,southworth2005m:p10:t2:a:10,10,yes,yes,no,Final transcription and structure checked against the 400-dpi page image.
2005,southworth2005m:p10:t2:b:22,10,yes,yes,no,Final transcription and structure checked against the 400-dpi page image.
2005,southworth2005m:p9:t1:r19,9,yes,yes,no,Final transcription and structure checked against the 400-dpi page image.
2005,southworth2005m:p9:t1:r09,9,yes,yes,no,Final transcription and structure checked against the 400-dpi page image.
2005,southworth2005m:p9:t1:r06,9,yes,yes,no,Final transcription and structure checked against the 400-dpi page image.
