PDF_Page,Printed_Page,Column,Head_Source,Form,Dialect,Language_ID,POS,Gloss,CDIAL_ID,Link_Source,CDIAL_Candidates,Entry_Text
71,61,2,ʌ́kh 1,ʌ́kh,J,Mai-Jijal,adj,one,2462,dictionary,2462,"ʌ́kh 1 adj. ‘one’. < *ekka- (2462). Same as B yɑ̈́k and G ek. Note: (a) in the conjunct verbs below the rising accent of ʌ́kh changes into the falling accent ʌ̀kh; (b) in the nominal compounds below, the accent of ʌ́kh is completely suppresseḍ"
71,61,2,+ -ʌỹc̣ɑ̄̀,ʌ́khʌỹc̣ɑ̄̀,J,Mai-Jijal,adj.m,(a) one-eyed (person),,unlinked,,+ -ʌỹc̣ɑ̄̀ adj.m.; n.m. – adj.f.; n.f. ʌỹc̣ʌ̀y ‘(a) one-eyed (person)’. ← ʌỹ́c̣hi.
71,61,2,+ -čhʌtɑ̄̀,ʌ́khčhʌtɑ̄̀,J,Mai-Jijal,adj,one storey (as a house),4971,dictionary,4971,+ -čhʌtɑ̄̀ adj. ‘one storey (as a house)’. < *chatti- (4971) in the sense of ‘ceiling’. Cf. du-čhʌtɑ̄̀.
71,61,2,+ -zɑ̄́n,ʌ́khzɑ̄́n,J,Mai-Jijal,adj,"equal, alike, similar",,unlinked,,"+ -zɑ̄́n adj. ‘equal, alike, similar’. ← zɑ̄́n 2."
71,61,2,+ zḗ-ōkh,ʌ́kh zḗ-ōkh,J,Mai-Jijal,adv,somewhere,,unlinked,,+ zḗ-ōkh adv. ‘somewhere’. See componentṣ
72,62,1,+ zḗ-ōkh tʌl,ʌ́kh zḗ-ōkh tʌl,J,Mai-Jijal,adv,at some place or other,,unlinked,,+ zḗ-ōkh tʌl adv. ‘at some place or other’. See componentṣ
72,62,1,+ -ṭhērɑ̄̀,ʌ́khṭhērɑ̄̀,J,Mai-Jijal,adj,one-wheeled,13680,dictionary,13680,"+ -ṭhērɑ̄̀ adj. ‘one-wheeled’. < *stabhira- (13680). The second word is only used in compounds with numerals, cf. c̣ɑ̄́-ṭhērḕ gāḍīṭū́."
72,62,1,+ pū̀r hɑ̄̀ (n2),ʌ́kh pū̀r hɑ̄̀,J,Mai-Jijal,adv,one handful,8330,dictionary,8330,+ pū̀r hɑ̄̀ (n2) adv. ‘one handful’. < pūra-1 (8330) and ← hɑ̄̀ 1.
72,62,1,+ bɑ̄̀rā̃ (n2),ʌ́kh bɑ̄̀rā̃,J,Mai-Jijal,adj,of similar kind,,unlinked,,+ bɑ̄̀rā̃ (n2) adj. ‘of similar kind’. See bɑ̄̀rā̃.
72,62,1,+ šānã̀h ho-/karʌ́ṽ,ʌ́kh šānã̀h ho-/karʌ́ṽ,J,Mai-Jijal,v.i,to resemble; to equal,,unlinked,,+ šānã̀h ho-/karʌ́ṽ v.i./v.t. ‘to resemble; to equal’. ← Pshṭ šān ‘resembling’. Cf. the related ṣù-šɑ̄̀nā̃.
72,62,1,ʌ́kh 2,ʌ́kh,J,Mai-Jijal,n.m,small and hard pieces in meat,2462-2,chapter-6,2462-2,"ʌ́kh 2 n.m. ‘small and hard pieces in meat’. Buṛ ak ‘runde harte Klümpchen im Fleisch von schwachen Tieren’. Cf. Kal. akhé.ik ‘to get ﬁrm, hard’ (the example given by Trail is about food) and bng. ɔ̄khɔ ‘very tough, difﬁcult (work), hard (meat)’."
72,62,1,ʌ̀k 3 -mʌkh karʌ́ṽ (note accent),ʌ̀k-mʌkh karʌ́ṽ,J,Mai-Jijal,,"to natter, yak, gass, gossip a lot",,unlinked,,"ʌ̀k 3 -mʌkh karʌ́ṽ (note accent) ‘to natter, yak, gass, gossip a lot’. Reduplication with m- formanṭ"
72,62,1,ʌkɑ̄̀ṭh,ʌkɑ̄̀ṭh,J,Mai-Jijal,adj,simple-minded (person),,unlinked,,ʌkɑ̄̀ṭh adj. ‘simple-minded (person)’. Niš. akaṭ’a ‘schwach’.
72,62,1,"ʌkɑ̄̀l, -ah",ʌkɑ̄̀l,J,Mai-Jijal,adj,land that yields only one harvest per year,,unlinked,,"ʌkɑ̄̀l, -ah adj. ‘land that yields only one harvest per year’. ← ʌ́kh 1 plus kɑ̄́l. Cf. dukɑ̄̀l and hʌrkɑ̄̀l."
72,62,1,ʌ̀kodubiš,ʌ̀kodubiš,J,Mai-Jijal,adj,forty-one,,unlinked,,ʌ̀kodubiš adj. ‘forty-one’ (liṭ: ‘one and two [times] twenty’). See ʌ́kh 1 (note change of accent) and dúēbīš.
72,62,1,ʌkōbī́š,ʌkōbī́š,J,Mai-Jijal,adj,twenty-one,2476,dictionary,2476,ʌkōbī́š adj. ‘twenty-one’. Not directly < ékaviṁśati- (2476) but synthetic ← ʌ́kh 1 ‘one’ plus an element ‘and’ plus bī́š ‘twenty’.
72,62,1,ʌ̀kōšʌl,ʌ̀kōšʌl,J,Mai-Jijal,adj,hundred and one,,unlinked,,"ʌ̀kōšʌl adj. ‘hundred and one’. See ʌ́k 1, -o- and šʌ́l 1."
72,62,2,ʌkṭhī́,ʌkṭhī́,J,Mai-Jijal,adj,together,2480,dictionary,2480,ʌkṭhī́ adj. ‘together’. < ekasthá- (2480) or rather *ekkastha-.
72,62,2,ʌ̀kdʌm,ʌ̀kdʌm,J,Mai-Jijal,adv,in a moment; all at once,,unlinked,,ʌ̀kdʌm adv. ‘in a moment; all at once’. ← ʌ́kh 1 (note change of accent) plus Perṣ dam.
72,62,2,ʌklēṅgɑ̄̀,ʌklēṅgɑ̄̀,J,Mai-Jijal,n.m,"a mysterious being (half human, half apelike) which lives in the forest in caves; it has only one leg and is fond of seducing women",,unlinked,,"ʌklēṅgɑ̄̀ n.m. ‘a mysterious being (half human, half apelike) which lives in the forest in caves; it has only one leg and is fond of seducing women’. ← ʌ́kh 1 ‘one’ and Pshṭ lengai ‘leg’."
72,62,2,ʌksʌ́r,ʌksʌ́r,J,Mai-Jijal,adv,"usually, generally, frequently",,unlinked,,"ʌksʌ́r adv. ‘usually, generally, frequently’. Aṛ aksaṛ"
72,62,2,"ʌkhɑ̄́r, -àh (G, J, Š); G has also pl. -i; àkhār (B)",ʌkhɑ̄́r,G,Gowro,n.m,a smith; name of a star in Ursa Major; name of a bird (it is said to be the smith among the birds),,unlinked,,"ʌkhɑ̄́r, -àh (G, J, Š); G has also pl. -i; àkhār (B) n.m. ‘a smith; name of a star in Ursa Major; name of a bird (it is said to be the smith among the birds)’. K. khār ‘a blacksmith’. < OIA *ayaskāra-."
72,62,2,"ʌkhɑ̄́r, -àh (G, J, Š); G has also pl. -i; àkhār (B)",ʌkhɑ̄́r,J,Mai-Jijal,n.m,a smith; name of a star in Ursa Major; name of a bird (it is said to be the smith among the birds),,unlinked,,"ʌkhɑ̄́r, -àh (G, J, Š); G has also pl. -i; àkhār (B) n.m. ‘a smith; name of a star in Ursa Major; name of a bird (it is said to be the smith among the birds)’. K. khār ‘a blacksmith’. < OIA *ayaskāra-."
72,62,2,"ʌkhɑ̄́r, -àh (G, J, Š); G has also pl. -i; àkhār (B)",ʌkhɑ̄́r,Š,Mai-Shatot,n.m,a smith; name of a star in Ursa Major; name of a bird (it is said to be the smith among the birds),,unlinked,,"ʌkhɑ̄́r, -àh (G, J, Š); G has also pl. -i; àkhār (B) n.m. ‘a smith; name of a star in Ursa Major; name of a bird (it is said to be the smith among the birds)’. K. khār ‘a blacksmith’. < OIA *ayaskāra-."
72,62,2,"ʌkhɑ̄́r, -àh (G, J, Š); G has also pl. -i; àkhār (B)",àkhār,B,bhatr,n.m,a smith; name of a star in Ursa Major; name of a bird (it is said to be the smith among the birds),,unlinked,,"ʌkhɑ̄́r, -àh (G, J, Š); G has also pl. -i; àkhār (B) n.m. ‘a smith; name of a star in Ursa Major; name of a bird (it is said to be the smith among the birds)’. K. khār ‘a blacksmith’. < OIA *ayaskāra-."
72,62,2,"ʌkhārī̀, -ah or ʌkhḕr, -ah (J, Š)",ʌkhārī̀,J,Mai-Jijal,n.f,wife of a smith; a type of bird,,unlinked,,"ʌkhārī̀, -ah or ʌkhḕr, -ah (J, Š) n.f. ‘wife of a smith; a type of bird’. ← prec̣"
72,62,2,"ʌkhārī̀, -ah or ʌkhḕr, -ah (J, Š)",ʌkhārī̀,Š,Mai-Shatot,n.f,wife of a smith; a type of bird,,unlinked,,"ʌkhārī̀, -ah or ʌkhḕr, -ah (J, Š) n.f. ‘wife of a smith; a type of bird’. ← prec̣"
72,62,2,"ʌkhārī̀, -ah or ʌkhḕr, -ah (J, Š)",ʌkhḕr,J,Mai-Jijal,n.f,wife of a smith; a type of bird,,unlinked,,"ʌkhārī̀, -ah or ʌkhḕr, -ah (J, Š) n.f. ‘wife of a smith; a type of bird’. ← prec̣"
72,62,2,"ʌkhārī̀, -ah or ʌkhḕr, -ah (J, Š)",ʌkhḕr,Š,Mai-Shatot,n.f,wife of a smith; a type of bird,,unlinked,,"ʌkhārī̀, -ah or ʌkhḕr, -ah (J, Š) n.f. ‘wife of a smith; a type of bird’. ← prec̣"
72,62,2,akhāriē̃ (B),akhāriē̃,B,bhatr,n.f,wife of a smith,,unlinked,,akhāriē̃ (B) n.f. ‘wife of a smith’. See prec̣ entrieṣ
72,62,2,ʌkhíli,ʌkhíli,J,Mai-Jijal,adj.f,,,unlinked,,ʌkhíli adj.f. of ʌkhḗl.
72,62,2,ʌkhíṣ1,ʌkhíṣ,J,Mai-Jijal,adj,intelligent; quick-witted,,unlinked,,ʌkhíṣ1 adj. ‘intelligent; quick-witted’. Prob. same as sukhī́ṣ.
72,62,2,ʌkhíṣ2 or ʌkhī́ṣ,ʌkhíṣ,J,Mai-Jijal,adj.f,,,unlinked,,ʌkhíṣ2 or ʌkhī́ṣ adj.f. of ʌkhḗṣ.
72,62,2,ʌkhíṣ2 or ʌkhī́ṣ,ʌkhī́ṣ,J,Mai-Jijal,adj.f,,,unlinked,,ʌkhíṣ2 or ʌkhī́ṣ adj.f. of ʌkhḗṣ.
73,63,1,ʌkhḗl,ʌkhḗl,J,Mai-Jijal,adj.m,knotty (as a tree),,unlinked,,ʌkhḗl adj.m. ‘knotty (as a tree)’. Cf. ɑ̄̀g˚ and K. agal ‘knotty (of wood)’.
