Record_Type,Report,Raw_Line,PDF_Page,Printed_Page,Column,Gloss_Number,Gloss,Site_Code,Site_Name,Dialect_Group,Comparison_Role,Response,Group,Raw_OCR,Transcription,Review,Uncertainty,Status,Reason,Language_ID,Dialect_ID,Source,Entry_Key
wordlist response,ernest-oleary-kelsall2018irula,4,30,25,1,1,body,KUN,Kunjapanai,Mele Nadu,target,1,1,odambi,oɖʌmbɨ,reviewed,source-raster-coronal,installed,,Irula,nilgiri-irula-kunjapanai,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 1, Kunjapanai (KUN)]",silirula2018:g001:nilgiri-irula-kunjapanai:i1
wordlist response,ernest-oleary-kelsall2018irula,5,30,25,1,1,body,KOL,Kolikarai,Mele Nadu,target,1,1,odambi,oɖʌmbɨ,reviewed,source-raster-coronal,installed,,Irula,nilgiri-irula-kolikarai,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 1, Kolikarai (KOL)]",silirula2018:g001:nilgiri-irula-kolikarai:i1
wordlist response,ernest-oleary-kelsall2018irula,6,30,25,1,1,body,CHE,Chemmanarai,Mele Nadu,target,1,2,odali,oɖʌlɨ,reviewed,source-raster-coronal,installed,,Irula,nilgiri-irula-chemmanarai,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 1, Chemmanarai (CHE)]",silirula2018:g001:nilgiri-irula-chemmanarai:i1
wordlist response,ernest-oleary-kelsall2018irula,7,30,25,1,1,body,KIL,Kilkupkad,Mele Nadu,target,1,1,odambu,oɖʌmbu,reviewed,source-raster-coronal,installed,,Irula,nilgiri-irula-kilkupkad,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 1, Kilkupkad (KIL)]",silirula2018:g001:nilgiri-irula-kilkupkad:i1
wordlist response,ernest-oleary-kelsall2018irula,8,30,25,1,1,body,MET,Mettukal,Mele Nadu,target,1,1,odambu,oɖʌmbu,reviewed,source-raster-coronal,installed,,Irula,nilgiri-irula-mettukal,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 1, Mettukal (MET)]",silirula2018:g001:nilgiri-irula-mettukal:i1
wordlist response,ernest-oleary-kelsall2018irula,9,30,25,1,1,body,CHO,Chokkanalli,Northern,target,1,1,odambu,oɖʌmbu,reviewed,source-raster-coronal,installed,,Irula,nilgiri-irula-chokkanalli,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 1, Chokkanalli (CHO)]",silirula2018:g001:nilgiri-irula-chokkanalli:i1
wordlist response,ernest-oleary-kelsall2018irula,10,30,25,1,1,body,MAV,Mavanalla,Northern,target,1,1,odambé,oɖʌmbɨ,reviewed,source-raster-coronal,installed,,Irula,nilgiri-irula-mavanalla,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 1, Mavanalla (MAV)]",silirula2018:g001:nilgiri-irula-mavanalla:i1
wordlist response,ernest-oleary-kelsall2018irula,11,30,25,1,1,body,ANA,Anaikatty,Northern,target,1,1,odambu,oɖʌmbu,reviewed,source-raster-coronal,installed,,Irula,nilgiri-irula-anaikatty,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 1, Anaikatty (ANA)]",silirula2018:g001:nilgiri-irula-anaikatty:i1
wordlist response,ernest-oleary-kelsall2018irula,12,30,25,1,1,body,BOO,Bookapuram,Northern,target,1,3,ma‘,mʌj,reviewed,,installed,,Irula,nilgiri-irula-bookapuram,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 1, Bookapuram (BOO)]",silirula2018:g001:nilgiri-irula-bookapuram:i1
wordlist response,ernest-oleary-kelsall2018irula,13,30,25,1,1,body,THA,Thaliyur,Vette Kada,target,1,1,odambu,oɖʌmbu,reviewed,source-raster-coronal,installed,,Irula,nilgiri-irula-thaliyur,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 1, Thaliyur (THA)]",silirula2018:g001:nilgiri-irula-thaliyur:i1
