Snapshot_Date,Raw_ID,Raw_Form,Raw_Gloss,Source_Language,Language_ID,Page,Item,Pinnow_Set,Variant_Index,Entry_Key,Variant_Of_Key,Final_Form,Parameter_ID,Link_Status,Status,Reason,Citation,Tags,Source_URL,HTML_SHA256,Record_SHA256,Review_Result,Material_Error
2026-08-28,pinnow1959versuch:C:c10.p153.i1518.sV303,miaːm,blood,Bondo,re,153,1518,V303,1,pinnow1959versuch:C:c10.p153.i1518.sV303,,miaːm,,unlinked,ingested,Rau prints no cross-reference to this Pinnow set,"pinnow1959versuch[p. 153, item 1518, set V303]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1959versuch,c267d8e727c0ecbd4b7f47d4aded52220aac8c08bbcc0b9393911dd0d89cf7a3,49c3c21e16e2863a12c8b7d8222238535263725c75b69b83ef7de736d6febe46,pass,
2026-08-28,pinnow1959versuch:C:c6.p249.i378.sK289,loe,penis,Ho,ho,249,378,K289,1,pinnow1959versuch:C:c6.p249.i378.sK289,,loe,,unlinked,ingested,Rau prints no cross-reference to this Pinnow set,"pinnow1959versuch[p. 249, item 378, set K289]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1959versuch,c267d8e727c0ecbd4b7f47d4aded52220aac8c08bbcc0b9393911dd0d89cf7a3,69ed09af80b70e0ae4f2def44a1c754ae8d67b78377b2842eb34a0b6c6af455d,pass,
2026-08-28,pinnow1959versuch:C:c4.p85.i1250.sV088,ihim,liver,Mundari,mu,85,1250,V88,1,pinnow1959versuch:C:c4.p85.i1250.sV088,,ihim,,unlinked,ingested,Rau prints no cross-reference to this Pinnow set,"pinnow1959versuch[p. 85, item 1250, set V88]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1959versuch,c267d8e727c0ecbd4b7f47d4aded52220aac8c08bbcc0b9393911dd0d89cf7a3,8fcd13131db77500a775eecf91b1870fc48692cb37447a19ad11e9125995dc14,pass,
2026-08-28,pinnow1959versuch:C:c4.p97.i1318.sV146,kulaĕ,"hare, rabbit",Mundari,mu,97,1318,V146,1,pinnow1959versuch:C:c4.p97.i1318.sV146,,kulaĕ,,unlinked,ingested,Rau prints no cross-reference to this Pinnow set,"pinnow1959versuch[p. 97, item 1318, set V146]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1959versuch,c267d8e727c0ecbd4b7f47d4aded52220aac8c08bbcc0b9393911dd0d89cf7a3,ce25c2d97045ad14c3e1813d01d2b7692a01b14f1ea0f9ead10dcf3a939af488,pass,
2026-08-28,pinnow1959versuch:C:c5.p268.i483.sK356,ruku (ruːkuː),fly,Korku,ko,268,483,K356,1,pinnow1959versuch:C:c5.p268.i483.sK356,,ruku (ruːkuː),m71,direct,ingested,Rau prints this Pinnow set number,"pinnow1959versuch[p. 268, item 483, set K356]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1959versuch,c267d8e727c0ecbd4b7f47d4aded52220aac8c08bbcc0b9393911dd0d89cf7a3,8dd126fbb3a15c1c564d897da2b58dfd63a8af33205049d70682f604ae0df28a,pass,
2026-08-28,pinnow1959versuch:C:c1.p272.i506.sK370,"ɟhɛntu, ɟɛntu, ɟintu",mat (made of date leaf),Kharia,kh,272,506,K370,3,pinnow1959versuch:C:c1.p272.i506.sK370:v3,pinnow1959versuch:C:c1.p272.i506.sK370,ɟintu,,unlinked,ingested,Rau prints no cross-reference to this Pinnow set,"pinnow1959versuch[p. 272, item 506, set K370]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1959versuch,c267d8e727c0ecbd4b7f47d4aded52220aac8c08bbcc0b9393911dd0d89cf7a3,42090492a0e74a237f9e9a0f565bdbb87a2a148e22a71198694fa5f84d77d9e3,pass,
2026-08-28,pinnow1959versuch:C:c1.p120.i1419.sV234,ˈj̃ɔ̃lɛ chɑtɑ,honeycomb,Kharia,kh,120,1419,V234,1,pinnow1959versuch:C:c1.p120.i1419.sV234,,ˈj̃ɔ̃lɛ chɑtɑ,,unlinked,ingested,Rau prints no cross-reference to this Pinnow set,"pinnow1959versuch[p. 120, item 1419, set V234]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1959versuch,c267d8e727c0ecbd4b7f47d4aded52220aac8c08bbcc0b9393911dd0d89cf7a3,dd8477fd4a5f2e4557e0db9f91977c243abacf6acef0631109ca6d09e14f6028,pass,
2026-08-28,pinnow1959versuch:C:c4.p151.i1515.sV301,tɛŋ,to weave,Mundari,mu,151,1515,V301,1,pinnow1959versuch:C:c4.p151.i1515.sV301,,tɛŋ,m5,direct,ingested,Rau prints this Pinnow set number,"pinnow1959versuch[p. 151, item 1515, set V301]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1959versuch,c267d8e727c0ecbd4b7f47d4aded52220aac8c08bbcc0b9393911dd0d89cf7a3,cbb960071c6ac8fd7c27db1af4581391e70b9e9610f8ef9911c6d82ace43c566,pass,
2026-08-28,pinnow1959versuch:C:c4.p394.i1124-1.sK532,ɖauɽa,a twig or small branch with fresh leaves on it,Mundari,mu,394,1124-1,K532,1,pinnow1959versuch:C:c4.p394.i1124-1.sK532,,ɖauɽa,,unlinked,ingested,Rau prints no cross-reference to this Pinnow set,"pinnow1959versuch[p. 394, item 1124-1, set K532]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1959versuch,c267d8e727c0ecbd4b7f47d4aded52220aac8c08bbcc0b9393911dd0d89cf7a3,2d866eeb2340bd5a7deee730e41983a80e406582c5c674af110486b755e2cce4,pass,
2026-08-28,pinnow1959versuch:C:c1.p202.i60.sK058,ˈɡiɔl,shame,Kharia,kh,202,60,K58,1,pinnow1959versuch:C:c1.p202.i60.sK058,,ˈɡiɔl,,unlinked,ingested,Rau prints no cross-reference to this Pinnow set,"pinnow1959versuch[p. 202, item 60, set K58]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1959versuch,c267d8e727c0ecbd4b7f47d4aded52220aac8c08bbcc0b9393911dd0d89cf7a3,2ec2cc28112068c417621dae33a1a142cb926802c80918d8e8b504735738c968,pass,
