Source_Key,PDF_Page,Printed_Page,Page_Line,Item,Gloss,Source_Code,Site,Source_Classification,Similarity_Group,Extracted_Form,Verified_Form,Review_Method,Review_Status,Confidence,Record_Type,Status,Reason,Language_ID,Dialect_ID,Citation,Entry_Key
abraham-daimary2021amrikarbi,37,27,5,1,sky,A,"Holanki, Papumpare AP",Karbi,3,sĭnĭŋ,sĭnĭŋ,manual visual comparison against rendered canonical PDF page; PDF text layer used only as extraction scaffold,complete,high,response,installed,,karbi,sil-amri-karbi-2021-holanki,"abraham-daimary2021amrikarbi[Appendix B.3, PDF p. 37, printed p. 27, item 1, site A]",silamrikarbi2021:p037:l005:A
abraham-daimary2021amrikarbi,37,27,6,1,sky,C,S Cherrapunjee,Khasi control,4,sŭiŋbneŋ,sŭiŋbneŋ,manual visual comparison against rendered canonical PDF page; PDF text layer used only as extraction scaffold,complete,high,response,excluded,Khasi control,,,"abraham-daimary2021amrikarbi[Appendix B.3, PDF p. 37, printed p. 27, item 1, site C]",
abraham-daimary2021amrikarbi,37,27,7,1,sky,H,"Hajarongpi, E K A",Karbi,3,sŭneŋ,sŭneŋ,manual visual comparison against rendered canonical PDF page; PDF text layer used only as extraction scaffold,complete,high,response,installed,,karbi,sil-amri-karbi-2021-hajarongpi,"abraham-daimary2021amrikarbi[Appendix B.3, PDF p. 37, printed p. 27, item 1, site H]",silamrikarbi2021:p037:l007:H
abraham-daimary2021amrikarbi,37,27,8,1,sky,K,"Amguri, Kamrup",Amri Karbi,2,ʌ̆ŋsoŋ,ʌ̆ŋsoŋ,manual visual comparison against rendered canonical PDF page; PDF text layer used only as extraction scaffold,complete,high,response,installed,,amri_karbi,sil-amri-karbi-2021-amguri-kamrup,"abraham-daimary2021amrikarbi[Appendix B.3, PDF p. 37, printed p. 27, item 1, site K]",silamrikarbi2021:p037:l008:K
abraham-daimary2021amrikarbi,37,27,9,1,sky,M,"PaboiMisamari, Sonitpur",Karbi,3,ɕĭniŋ,ɕĭniŋ,manual visual comparison against rendered canonical PDF page; PDF text layer used only as extraction scaffold,complete,high,response,installed,,karbi,sil-amri-karbi-2021-paboi-misamari,"abraham-daimary2021amrikarbi[Appendix B.3, PDF p. 37, printed p. 27, item 1, site M]",silamrikarbi2021:p037:l009:M
abraham-daimary2021amrikarbi,37,27,10,1,sky,P,"Maina Kharong, Kamrup",Amri Karbi,3,soneŋ,soneŋ,manual visual comparison against rendered canonical PDF page; PDF text layer used only as extraction scaffold,complete,high,response,installed,,amri_karbi,sil-amri-karbi-2021-maina-kharong,"abraham-daimary2021amrikarbi[Appendix B.3, PDF p. 37, printed p. 27, item 1, site P]",silamrikarbi2021:p037:l010:P
abraham-daimary2021amrikarbi,37,27,11,1,sky,S,"RongjariPlasha, Ri-Bhoi",Amri Karbi,3,ʃuniŋ,ʃuniŋ,manual visual comparison against rendered canonical PDF page; PDF text layer used only as extraction scaffold,complete,high,response,installed,,amri_karbi,sil-amri-karbi-2021-plasha,"abraham-daimary2021amrikarbi[Appendix B.3, PDF p. 37, printed p. 27, item 1, site S]",silamrikarbi2021:p037:l011:S
abraham-daimary2021amrikarbi,37,27,12,1,sky,Z,"Assamese, Dibrugarh",Assamese control,1,akakh,akakh,manual visual comparison against rendered canonical PDF page; PDF text layer used only as extraction scaffold,complete,high,response,excluded,Assamese control,,,"abraham-daimary2021amrikarbi[Appendix B.3, PDF p. 37, printed p. 27, item 1, site Z]",
abraham-daimary2021amrikarbi,37,27,13,1,sky,a,"Amguri, W K A",Karbi,3,sĭneŋ,sĭneŋ,manual visual comparison against rendered canonical PDF page; PDF text layer used only as extraction scaffold,complete,high,response,installed,,karbi,sil-amri-karbi-2021-amguri-wka,"abraham-daimary2021amrikarbi[Appendix B.3, PDF p. 37, printed p. 27, item 1, site a]",silamrikarbi2021:p037:l013:a
abraham-daimary2021amrikarbi,37,27,14,1,sky,b,"Sermansingner, E K A",Karbi,3,sĭnĭŋ,sĭnĭŋ,manual visual comparison against rendered canonical PDF page; PDF text layer used only as extraction scaffold,complete,high,response,installed,,karbi,sil-amri-karbi-2021-sermansingner,"abraham-daimary2021amrikarbi[Appendix B.3, PDF p. 37, printed p. 27, item 1, site b]",silamrikarbi2021:p037:l014:b
abraham-daimary2021amrikarbi,37,27,15,1,sky,c,"Langhemphi, W K A",Karbi,3,sĭneŋ,sĭneŋ,manual visual comparison against rendered canonical PDF page; PDF text layer used only as extraction scaffold,complete,high,response,installed,,karbi,sil-amri-karbi-2021-langhemphi,"abraham-daimary2021amrikarbi[Appendix B.3, PDF p. 37, printed p. 27, item 1, site c]",silamrikarbi2021:p037:l015:c
