Record_Key,Table,Section,PDF_Page,Printed_Page,Source_Record,Raw_OCR,Status,Reason,Emitted_Keys,Entry_Text_Targets,Language_Mapping,Parameter_ID,Form,Gloss,Tags,Source,Immediate_Source,Proto_Form,OM_Attestation,Distribution_Columns,Distribution_Marks,Printed_Citation,Resolved_Targets,Match_Status,Match_Reason,Unresolved,Review,Material_Error,Record_SHA256
southworth2005m:p9:t1:r01,1,Drav. (unspec.),9,9,Drav. (unspec.) | 10 | poṭ | belly |  1330 |  | PD *poṭṭ- DEDR4494,10. pot 'belly' 1330 PD *pott- DEDR4494,ingested,source-image-verified manual transcription of a printed lexical row,southworth2005m:p9:t1:r01:marathi,,Marathi->M,>d4494,poṭ,belly,loanword,"southworth2005m[p. 9, table 1, row 1, item 10]",,PD *poṭṭ-,1330,,,DEDR 4494,d4494,direct_printed_id,printed DEDR ID exists and matches the source proto-form,,source-image-verified,no,c93ee63be4c4107c0630f9cb950b996e628ebba669a20431098b5b1001d7366d
southworth2005m:p9:t1:r02,1,Drav. (unspec.),9,9,Drav. (unspec.) | 59 | phaḷ | fruit |  1290 |  | PD *paẓ-V- DEDR4004,59. (?) phal 'fruit' 1290 PD *paz-V- DEDR4004,ingested,source-image-verified manual transcription of a printed lexical row,southworth2005m:p9:t1:r02:marathi,,Marathi->M,>d4004,phaḷ,fruit,loanword uncertain,"southworth2005m[p. 9, table 1, row 2, item 59 and p. 10, table 2A, item 2]",,PD *paẓ-V-,1290,,,DEDR 4004,d4004,direct_printed_id,printed DEDR ID exists and matches the source proto-form,origin controversial,source-image-verified,no,0c854cfa03da5b7a6fedac2fdc8b8aec88ff773b38f29433ae8cb0f468150a32
southworth2005m:p9:t1:r03,1,Drav. (unspec.),9,9,Drav. (unspec.) | 134 | buṭṭ@ | short |   |  | PD *puṭṭ- DEDR4529,134. butt@ 'short' ----- PD *putt- DEDR4529,ingested,source-image-verified manual transcription of a printed lexical row,southworth2005m:p9:t1:r03:marathi,,Marathi->M,>d4529,buṭṭ@,short,loanword adj,"southworth2005m[p. 9, table 1, row 3, item 134]",,PD *puṭṭ-,,,,DEDR 4529,d4529,direct_printed_id,printed DEDR ID exists and matches the source proto-form,,source-image-verified,no,d25ab5b50f6757b1a0727d51eb3282018a3b2781635b36763a87d107e5cc25c7
southworth2005m:p9:t1:r04,1,Drav. (unspec.),9,9,Drav. (unspec.) |  | cin(u)k(l)@ | tiny |   |  | PD *ciṉṉ- DEDR2594,cin(w)k(l)@ 'tiny' ----- PD *cinn- DEDR2594,ingested,source-image-verified manual transcription of a printed lexical row,southworth2005m:p9:t1:r04:marathi,,Marathi->M,>d2594,cin(u)k(l)@,tiny,loanword adj,"southworth2005m[p. 9, table 1, row 4]",,PD *ciṉṉ-,,,,DEDR 2594,d2594,direct_printed_id,printed DEDR ID exists and matches the source proto-form,,source-image-verified,no,62428aad553e7fbcf997daf1af162de51d048b40b2955c332cbb15c606154c29
southworth2005m:p9:t1:r05,1,Drav. (unspec.),9,9,Drav. (unspec.) |  | meṭ | knee-joint |   |  | PD *maṇṭ- DEDR4677,met 'knee-joint' ----- PD *mant- DEDR4677,ingested,source-image-verified manual transcription of a printed lexical row,southworth2005m:p9:t1:r05:marathi,,Marathi->M,>d4677,meṭ,knee-joint,loanword,"southworth2005m[p. 9, table 1, row 5]",,PD *maṇṭ-,,,,DEDR 4677,d4677,direct_printed_id,printed DEDR ID exists and matches the source proto-form,,source-image-verified,no,9ff8c69c5a860b18d227fd75e81de417b59949fb2473439435fc5e25f071db98
southworth2005m:p9:t1:r06,1,Drav. (unspec.),9,9,"Drav. (unspec.) |  | toṇḍ | mouth, face |  1278 |  | PD *toṇṭ- DEDR3311","tond 'mouth, face' 1278 PD *tont- DEDR3311",ingested,source-image-verified manual transcription of a printed lexical row,southworth2005m:p9:t1:r06:marathi,,Marathi->M,>d3311,toṇḍ,"mouth, face",loanword,"southworth2005m[p. 9, table 1, row 6]",,PD *toṇṭ-,1278,,,DEDR 3311,d3311,direct_printed_id,printed DEDR ID exists and matches the source proto-form,,source-image-verified,no,8fcc10d7a7816694d632c25b81d6b4398ad35abd47acb4ced6ccbb70ca4ab6fa
southworth2005m:p9:t1:r07,1,Drav. (SD),9,9,Drav. (SD) | 14 | kāḷ@ | black | kāḷa- 1288 | Ka kāẓ-; Tu kāḷ- | PSD *kāẓ- DEDR1494,14. kal@ 'black' kala- 1288 Ka kaz- Tu kal- PSD *kaz- DEDR1494,ingested,source-image-verified manual transcription of a printed lexical row,southworth2005m:p9:t1:r07:marathi|southworth2005m:p9:t1:r07:old-marathi,,Marathi->M;Old Marathi->OM,>d1494,kāḷ@,black,loanword adj,"southworth2005m[p. 9, table 1, row 7, item 14 and p. 10, table 2A, item 1]",Ka kāẓ-; Tu kāḷ-,PSD *kāẓ-,kāḷa- 1288,,,DEDR 1494,d1494,direct_printed_id,printed DEDR ID exists and matches the source proto-form,,source-image-verified,no,982da2e9847e960db260421b39b7a12a2528668398f2f271845b88e346d3add5
southworth2005m:p9:t1:r08,1,Drav. (SD),9,9,Drav. (SD) | 164 | dāṭ | thick |  1278 | Ka daṭṭa | PD *taṭṭ- DEDR3020,164. dat 'thick' 1278 Ka datta PD *tatt- DEDR3020,ingested,source-image-verified manual transcription of a printed lexical row,southworth2005m:p9:t1:r08:marathi,,Marathi->M,>d3020,dāṭ,thick,loanword,"southworth2005m[p. 9, table 1, row 8, item 164 and p. 10, table 2A, item 11]",Ka daṭṭa,PD *taṭṭ-,1278,,,DEDR 3020,d3020,direct_printed_id,printed DEDR ID exists and matches the source proto-form,,source-image-verified,no,bee6b2b9df2a9a361930bb0174067fe2d292321f45cb3c15e780c5b839aed592
southworth2005m:p9:t1:r09,1,Drav. (SD),9,9,Drav. (SD) | 177 | okṇe | vomit | oka 1300 | Ka Tu ōkk-; Tu ōṁk- | PSD *ōṅkk- DEDR1029,177. okne 'vomit' oka 1300 Ka Tu okk- Tu omk- PSD *onkk- DEDR1029,ingested,source-image-verified manual transcription of a printed lexical row,southworth2005m:p9:t1:r09:marathi|southworth2005m:p9:t1:r09:old-marathi,,Marathi->M;Old Marathi->OM,>d1029,okṇe,vomit,loanword verb,"southworth2005m[p. 9, table 1, row 9, item 177]",Ka Tu ōkk-; Tu ōṁk-,PSD *ōṅkk-,oka 1300,,,DEDR 1029,d1029,direct_printed_id,printed DEDR ID exists and matches the source proto-form,,source-image-verified,no,cc17dd4e9c611446f06bb7dc85b8d04cc82d5a5d7d35236a138d16655d42d4ab
southworth2005m:p9:t1:r10,1,Drav. (SD),9,9,"Drav. (SD) |  | kaḍe | side, direction |  1290 | Ka Tu Te kaḍa | PD *kaṭ-ai DEDR1109","kade 'side, direction' 1290 Ka Tu Te kada PD *kat-ai DEDR1109",ingested,source-image-verified manual transcription of a printed lexical row,southworth2005m:p9:t1:r10:marathi,,Marathi->M,>d1109,kaḍe,"side, direction",loanword,"southworth2005m[p. 9, table 1, row 10 and p. 10, table 2A, item 8]",Ka Tu Te kaḍa,PD *kaṭ-ai,1290,,,DEDR 1109,d1109,direct_printed_id,printed DEDR ID exists and matches the source proto-form,,source-image-verified,no,5c4a97619a8a4a75ca2970d59cc015a66674fa29a9aa61a90671bd22be5272d8
