Record_Type,Item,Gloss,Site_Code,Site_Name,Role,Dialect_Group,PDF_Page,Printed_Page,Column,Manual_Transcription,Manual_Review,Uncertainty,OCR_Evidence,Alternate_Digital_Evidence,Status,Reason,Language_ID,Dialect_ID,Source,Entry_Keys
wordlist cell,1,body,BHG,Bhamani Gondi,target,western Gondi,92,87,2,mendʒul,manual-source-image,,tesseract_raw.txt#pdf92,mendʒul,installed,,Gondi,sil-koya-1985-bhamani-gondi,"devagnanavaram-et-al2021koya[Appendix E, printed p. 87, item 1, Bhamani Gondi]",silkoya1985:bhg:i001:v1
wordlist cell,1,body,BHM,Bhamani Madia,target,western Madia,92,87,3,ment̪uli,manual-source-image,,tesseract_raw.txt#pdf92,ment̪uli,installed,,Gondi,sil-koya-1985-bhamani-madia,"devagnanavaram-et-al2021koya[Appendix E, printed p. 87, item 1, Bhamani Madia]",silkoya1985:bhm:i001:v1
wordlist cell,1,body,CHI,Chintoor Koya,target,eastern Koya,82,77,2,mendul,manual-source-image,,tesseract_raw.txt#pdf82,,installed,,Gondi,sil-koya-1985-chintoor,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 1, Chintoor Koya]",silkoya1985:chi:i001:v1
wordlist cell,1,body,JAG,Jaganathapuram Koya,target,eastern Koya,82,77,1,oleu,manual-source-image,,tesseract_raw.txt#pdf82,,installed,,Gondi,sil-koya-1985-jaganathapuram,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 1, Jaganathapuram Koya]",silkoya1985:jag:i001:v1
wordlist cell,1,body,MAL,Malakanagiri Koya,target,eastern Koya,103,98,1,,manual-source-image,confirmed ruled blank,tesseract_raw.txt#pdf103,,missing,source prints a blank or ruled missing cell,Gondi,sil-koya-1985-malakanagiri,"devagnanavaram-et-al2021koya[Appendix E, printed p. 98, item 1, Malakanagiri Koya]",
wordlist cell,1,body,ORI,Oriya,comparison control,,113,108,2,soɾiɾo,manual-source-image,,tesseract_raw.txt#pdf113,,excluded,excluded comparison control,,,"devagnanavaram-et-al2021koya[Appendix E, printed p. 108, item 1, Oriya]",
wordlist cell,1,body,POD,Podia Koya,target,eastern Koya,82,77,3,mendul,manual-source-image,,tesseract_raw.txt#pdf82,,installed,,Gondi,sil-koya-1985-podia,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 1, Podia Koya]",silkoya1985:pod:i001:v1
wordlist cell,1,body,TEL,Telugu,comparison control,,113,108,1,ʃeɾiːɾamu,manual-source-image,,tesseract_raw.txt#pdf113,,excluded,excluded comparison control,,,"devagnanavaram-et-al2021koya[Appendix E, printed p. 108, item 1, Telugu]",
wordlist cell,1,body,UTN,Utnoor Gondi,target,western Gondi,92,87,1,mɛːnd̪ol,manual-source-image,,tesseract_raw.txt#pdf92,mɛːnd̪ol,installed,,Gondi,sil-koya-1985-utnoor,"devagnanavaram-et-al2021koya[Appendix E, printed p. 87, item 1, Utnoor Gondi]",silkoya1985:utn:i001:v1
wordlist cell,2,head,BHG,Bhamani Gondi,target,western Gondi,92,87,2,t̪ala,manual-source-image,,tesseract_raw.txt#pdf92,t̪ala,installed,,Gondi,sil-koya-1985-bhamani-gondi,"devagnanavaram-et-al2021koya[Appendix E, printed p. 87, item 2, Bhamani Gondi]",silkoya1985:bhg:i002:v1
