Stable_Key,Installed_Key,PDF_Page,Printed_Page,Column,Entry_Ordinal,OCR_Form,Legacy_Form,Method,Score
berger:p010:c1:e001,berger-entry-2,8,10,1,1,aalám,aalám,page-sequence,1.0000
berger:p010:c1:e002,berger-entry-3,8,10,1,2,áale,áale,page-sequence,1.0000
berger:p010:c1:e006,berger-entry-5,8,10,1,6,áam-qháam,áam-qháam,page-sequence,1.0000
berger:p010:c1:e008,berger-entry-7,8,10,1,8,åaq,åaq,page-sequence,1.0000
berger:p010:c1:e009,berger-entry-8,8,10,1,9,aaqhér,aaqhér,page-sequence,1.0000
berger:p010:c1:e010,berger-entry-9,8,10,1,10,aaqhirí,aaqhirí,page-sequence,1.0000
berger:p010:c1:e011,berger-entry-10,8,10,1,11,aaqhiríkuś,aaqhiríkuś,page-sequence,1.0000
berger:p010:c1:e012,berger-entry-11,8,10,1,12,aaqhirkáar,aaqhirkáar,page-sequence,1.0000
berger:p010:c2:e001,berger-entry-12,8,10,2,1,aár,aaráamy,page-sequence,0.6000
berger:p010:c2:e002,berger-entry-13,8,10,2,2,aaráamy,aaráam ét-,page-sequence,0.8000
berger:p010:c2:e003,berger-entry-14,8,10,2,3,aaráamkuś,aaráamkuś,page-sequence,1.0000
berger:p010:c2:e006,berger-entry-15,8,10,2,6,aasáan,aasáan,page-sequence,1.0000
berger:p010:c2:e007,berger-entry-16,8,10,2,7,áaski,áaski,page-sequence,1.0000
berger:p010:c2:e008,berger-entry-17,8,10,2,8,aasman,aasman,page-sequence,1.0000
berger:p010:c2:e009,berger-entry-18,8,10,2,9,aaśíq -mán-,aaśíq -mán-,page-sequence,1.0000
berger:p010:c2:e010,berger-entry-19,8,10,2,10,ãáü-kãáűŭ ét-,ãáü-kãáűŭ ét-,page-sequence,1.0000
berger:p010:c2:e011,berger-entry-20,8,10,2,11,aayáa,aayáa,page-sequence,1.0000
berger:p011:c1:e001,berger-entry-21,8,11,1,1,áay,áay,page-sequence,1.0000
berger:p011:c1:e004,berger-entry-22,8,11,1,4,abáaśo,abáaśo,page-sequence,1.0000
berger:p011:c1:e006,berger-entry-23,8,11,1,6,aabaadí,aabaadí,page-sequence,1.0000
berger:p011:c1:e007,berger-entry-25-dialect-1,8,11,1,7,abáato,abáato,unique-page-form,1.0000
berger:p011:c1:e008,berger-entry-24,8,11,1,8,abaććhálo,abaććhálo,page-sequence,1.0000
berger:p011:c1:e009,berger-entry-25,8,11,1,9,abádo,abádo,page-sequence,1.0000
berger:p011:c1:e010,berger-entry-26,8,11,1,10,abatéi,abatéi,page-sequence,1.0000
berger:p011:c1:e011,berger-entry-27,8,11,1,11,abáś,abáś,printed-form,1.0000
berger:p011:c1:e012,berger-entry-28,8,11,1,12,abatá,abatá,page-sequence,1.0000
berger:p011:c1:e014,berger-entry-30,8,11,1,14,abdul-śaráṅ,abdul-śaráṅ,page-sequence,1.0000
berger:p011:c2:e001,berger-entry-32,8,11,2,1,abóko,abóko,page-sequence,1.0000
berger:p011:c2:e002,berger-entry-33,8,11,2,2,aboóm,aboóm,page-sequence,1.0000
berger:p011:c2:e003,berger-entry-35,8,11,2,3,aćaáćo,aćaáćo,page-sequence,1.0000
berger:p011:c2:e004,berger-entry-36,8,11,2,4,aćaćéi ét-,aćaćéi ét-,page-sequence,1.0000
berger:p011:c2:e005,berger-entry-37,8,11,2,5,aćaanák,aćaanák,page-sequence,1.0000
berger:p011:c2:e006,berger-entry-38,8,11,2,6,aćaćéi,aćaćéi,page-sequence,1.0000
berger:p011:c2:e007,berger-entry-39,8,11,2,7,aćaħáayo,aćaħáayo,page-sequence,1.0000
berger:p011:c2:e008,berger-entry-40,8,11,2,8,aćári,aćári,printed-form,1.0000
berger:p011:c2:e009,berger-entry-41,8,11,2,9,aćás,aćás,page-sequence,1.0000
berger:p011:c2:e010,berger-entry-42,8,11,2,10,aćóq,aćóq,page-sequence,1.0000
berger:p011:c2:e011,berger-entry-43,8,11,2,11,aćhará,aćhará,printed-form,1.0000
berger:p011:c2:e012,berger-entry-44,8,11,2,12,aćhará-babalá,aćhará-babalá,page-sequence,1.0000
berger:p012:c1:e001,berger-entry-45,9,12,1,1,aćharéi,aćharéi,page-sequence,1.0000
berger:p012:c1:e002,berger-entry-46,9,12,1,2,aćharáki,aćharáki,page-sequence,1.0000
berger:p012:c1:e003,berger-entry-47,9,12,1,3,aćharákiski,aćharákiski,page-sequence,1.0000
berger:p012:c1:e004,berger-entry-48,9,12,1,4,aćhó,aćhó,page-sequence,1.0000
berger:p012:c1:e004:dialect:1,berger-entry-48-dialect-1,9,12,1,4,aćó,aćó,exact-variant,1.0000
berger:p012:c1:e005,berger-entry-49,9,12,1,5,áçoore,áçoore,page-sequence,1.0000
berger:p012:c1:e006,berger-entry-50,9,12,1,6,açhaláù,açhaláù,page-sequence,1.0000
berger:p012:c1:e007,berger-entry-51,9,12,1,7,açhaméi,açhaméi,page-sequence,1.0000
berger:p012:c1:e008,berger-entry-52,9,12,1,8,açhéemo,ac̣héemo,printed-form,1.0000
berger:p012:c1:e009,berger-entry-53,9,12,1,9,açhuméi,açhuméi,page-sequence,1.0000
berger:p012:c1:e010,berger-entry-54,9,12,1,10,adaalát,adaalát,page-sequence,1.0000
berger:p012:c1:e012,berger-entry-56,9,12,1,12,adáp,adáp,page-sequence,1.0000
berger:p012:c2:e001,berger-entry-57,9,12,2,1,adít,adít,printed-form,1.0000
berger:p012:c2:e002,berger-entry-58,9,12,2,2,áda,áḍa,printed-form,1.0000
berger:p012:c2:e002:dialect:1,berger-entry-58-dialect-1,9,12,2,2,áde,áḍe,exact-variant,1.0000
berger:p012:c2:e003,berger-entry-59,9,12,2,3,adaqhár,adaqhár,page-sequence,1.0000
