Page_ID,Target_IDs,Reason
5,n3525,"reviewed: NurED Katë ačé/ačẽ́ and Ashkun aċë̃́ correspond to Strand n3525 âč′e/âč′e˜/âć′a˜; both define woolen yarn"
81,n3421,"reviewed: NurED Katë ac̣yú/ac̣ǘ, Ashkun istrū́, and Prasun üčǖ́ correspond to the Strand n3421 tear set"
169,n531|n532,"reviewed split: NurED unifies Katë r̆iċ and Prasun wuzí 'barley'; Strand represents those exact reflex sets separately as n531 and n532"
208,5527,"reviewed: the MIA head and primary source form mean tree trunk; NurED explicitly cites Turner 5527, while Turner 5637 is only a secondary rice comparison"
210,8168,"reviewed: NurED's primary OIA source is píṇḍa- and the entry explicitly cites Turner 8168; Turner 8377 occurs only in comparison"
239,10244,"reviewed: NurED derives the MIA head from OIA mūrtá- 'coagulated, solidified', the exact CDIAL 10244 head; other Turner IDs are later comparisons"
244,n2997,"reviewed: NurED Katë kor and Nuristani Kalasha/Tregami/Ashkun kār 'ear' correspond to Strand n2997 k′or/kâr/k′är with the same organ-of-hearing sense"
270,n700,"reviewed: NurED Katë moč, Kalasha māč, and Ashkun maċ 'man/husband' correspond to the same three Strand n700 reflexes and meaning"
271,9996,"reviewed: NurED explicitly derives the building term from the Dravidian comparison indexed at Turner 9996; the exact māla match at Turner 10088 means forest and is a homonym"
274,n2163,"reviewed: NurED Prasun nës, Kalasha/Tregami nās, and the reconstruction 'nose' correspond to Strand n2163 nes/nâs/n′âs"
290,n326,"reviewed: NurED Katë baj̈ǘ/bëzí and Prasun büzǘ 'overcoat/cloak' correspond to Strand n326 bâź′ü/baz′i/büz′ü"
876,n2603,"reviewed: NurED Katë azyú/aj̈ó and Kalasha azā́ 'pond' correspond to Strand n2603 âzi′u/âź′o/azâ"
909,,"reviewed unmatched: no existing PNur head contains the article's Katë aj̈ë́, Kalasha anzilík, or Prasun üzóg wart set; a shared gloss with unrelated pimples is insufficient"
952,n3465,"reviewed: NurED's aŋustá/akṣtü̃́ finger-ring descendants correspond to Strand n3465 aŋusta/âŋ′uštri 'ring'"
1007,n3508,"reviewed: NurED Katë amú/amó and Kalasha/Tregami amā́ 'house' correspond to Strand n3508 âm′u/âm′o/amâ/am′â"
1008,7039,"reviewed: the source definition is OIA nāgá- 'snake', selecting the snake/elephant CDIAL homograph 7039"
1058,n839,"reviewed: NurED Katë marë́n̆iŋ, Ashkun maraṇík, and Prasun forms 'neck' correspond to Strand n839 mâr′aňiŋ/mârâň′iːk/mârneg′i"
1138,n3415,"reviewed: NurED Katë aċë́ 'dish made from flour and ghee' corresponds to Strand n3415 âć′a 'flour cooked in ghee'"
1151,n3417,"reviewed: NurED Katë pr̆oċ/pr̆óċ 'spot/design' and Prasun pr̆aċúk correspond to Strand n3417 př′oć 'rounded symmetrical design' and přâć′uk"
1209,n372,"reviewed: NurED Prasun wëz 'arm' corresponds to Strand n372 vaz 'arm' and its PNur head baz"
1352,,"reviewed unmatched: the similar Katë ċok reflex is currently under deeper Indo-Iranian head n2816, not a corresponding PNur head; the source's new PNur reconstruction is not forced onto it"
1386,n2453,"reviewed: NurED Katë vuštrë́ and Prasun ištür 'infertile, barren' correspond to Strand n2453 uštr′a with the same fertility and rainless-cloud senses"
1403,n2746,"reviewed: NurED Katë vuċë́n̆/aċén̆, Kalasha üċẽ́, and Ashkun osë̃́ 'pillow/place to rest the head' correspond to Strand n2746 uć′eř/uć′aň/üće˜/os′a˜"
1453,2926,"reviewed: NurED defines the OIA base kalā́- as 'a small part of anything', selecting CDIAL homograph 2926 rather than 2927 'art'"
