Source_File,Location_Code,Concept_Number,Gloss,Form,Split,Raw
chitral,KSW,1,body,kàlip,exact,kàlip kVpàl ph | Ur
chitral,KSW,2,head,kVpàl,exact,kàlip kVpàl ph | Ur
chitral,KSW,3,hair,phUr,exact,kàlip kVpàl ph | Ur
chitral,KIS,1,body,kàlip,exact,kàlip kVpàl ph | ur
chitral,KIS,2,head,kVpàl,exact,kàlip kVpàl ph | ur
chitral,KIS,3,hair,phur,exact,kàlip kVpàl ph | ur
chitral,KPN,1,body,qàlip,exact,qàlip sor ph | Ur
chitral,KPN,2,head,sor,exact,qàlip sor ph | Ur
chitral,KPN,3,hair,phUr,exact,qàlip sor ph | Ur
chitral,KTR,1,body,qàlip,exact,qàlip kVpàl / sor ph | Ur
chitral,KTR,2,head,kVpàl / sor,exact,qàlip kVpàl / sor ph | Ur
chitral,KTR,3,hair,phUr,exact,qàlip kVpàl / sor ph | Ur
chitral,KGC,1,body,qàlip,exact,qàlip kVpàl / sor ph | Ur
chitral,KGC,2,head,kVpàl / sor,exact,qàlip kVpàl / sor ph | Ur
chitral,KGC,3,hair,phUr,exact,qàlip kVpàl / sor ph | Ur
chitral,KDR,1,body,qàlip,exact,qàlip kàpàl / sor ph | ur
chitral,KDR,2,head,kàpàl / sor,exact,qàlip kàpàl / sor ph | ur
chitral,KDR,3,hair,phur,exact,qàlip kàpàl / sor ph | ur
chitral,BBK,1,body,jàn,exact,jàn S7IS7 jVj
chitral,BBK,2,head,S7IS7,exact,jàn S7IS7 jVj
chitral,BBK,3,hair,jVj,exact,jàn S7IS7 jVj
chitral,BRK,1,body,C7E34V,exact,C7E34V | S7IS7 càwVr
chitral,BRK,2,head,S7IS7,exact,C7E34V | S7IS7 càwVr
chitral,BRK,3,hair,càwVr,exact,C7E34V | S7IS7 càwVr
chitral,URK,1,body,C7E4,exact,C7E4 S7IS7 C7u4
chitral,URK,2,head,S7IS7,exact,C7E4 S7IS7 C7u4
chitral,URK,3,hair,C7u4,exact,C7E4 S7IS7 C7u4
chitral,ASP,1,body,UjUd,exact,UjUd S7IS7 bolà
chitral,ASP,2,head,S7IS7,exact,UjUd S7IS7 bolà
chitral,ASP,3,hair,bolà,exact,UjUd S7IS7 bolà
chitral,BIP,1,body,UjUd,exact,UjUd S7IS7 bulà
chitral,BIP,2,head,S7IS7,exact,UjUd S7IS7 bulà
chitral,BIP,3,hair,bulà,exact,UjUd S7IS7 bulà
chitral,PUP,1,body,UjUd,exact,UjUd s7Is7 bulà
chitral,PUP,2,head,s7Is7,exact,UjUd s7Is7 bulà
chitral,PUP,3,hair,bulà,exact,UjUd s7Is7 bulà
chitral,SSS,1,body,Ujut,exact,Ujut S7IS7 joàroTo
chitral,SSS,2,head,S7IS7,exact,Ujut S7IS7 joàroTo
chitral,SSS,3,hair,joàroTo,exact,Ujut S7IS7 joàroTo
chitral,GWB,1,body,ujut,exact,ujut s7oëTV kE3s
chitral,GWB,2,head,s7oëTV,exact,ujut s7oëTV kE3s
chitral,GWB,3,hair,kE3s,exact,ujut s7oëTV kE3s
chitral,DML,1,body,Uz7Ut,exact,Uz7Ut s7à lUm
chitral,DML,2,head,s7à,exact,Uz7Ut s7à lUm
chitral,DML,3,hair,lUm,exact,Uz7Ut s7à lUm
chitral,SHK,1,body,UjUd,exact,UjUd s7e zu
chitral,SHK,2,head,s7e,exact,UjUd s7e zu
chitral,SHK,3,hair,zu,exact,UjUd s7e zu
chitral,KAT,1,body,jith,exact,jith | S7e Z7u
chitral,KAT,2,head,S7e,exact,jith | S7e Z7u
chitral,KAT,3,hair,Z7u,exact,jith | S7e Z7u
chitral,YDG,1,body,qàlip,exact,qàlip pusor kus7qi
chitral,YDG,2,head,pusor,exact,qàlip pusor kus7qi
chitral,YDG,3,hair,kus7qi,exact,qàlip pusor kus7qi
chitral,MNJ,1,body,pIs7ky o,heuristic,pIs7ky | o pusur pVgV
chitral,MNJ,2,head,pusur,heuristic,pIs7ky | o pusur pVgV
chitral,MNJ,3,hair,pVgV,heuristic,pIs7ky | o pusur pVgV
chitral,KSW,4,face,mUx,exact,mUx GEch | kàr
chitral,KSW,5,eye,GEch,exact,mUx GEch | kàr
chitral,KSW,6,ear,kàr,exact,mUx GEch | kàr
chitral,KIS,4,face,mox,exact,mox GEc kàr
chitral,KIS,5,eye,GEc,exact,mox GEc kàr
chitral,KIS,6,ear,kàr,exact,mox GEc kàr
chitral,KPN,4,face,mox,exact,mox GIc kàr
chitral,KPN,5,eye,GIc,exact,mox GIc kàr
chitral,KPN,6,ear,kàr,exact,mox GIc kàr
chitral,KTR,4,face,mox,exact,mox GEch | kàr
chitral,KTR,5,eye,GEch,exact,mox GEch | kàr
chitral,KTR,6,ear,kàr,exact,mox GEch | kàr
chitral,KGC,4,face,mox,exact,mox GEch | kàr
chitral,KGC,5,eye,GEch,exact,mox GEch | kàr
chitral,KGC,6,ear,kàr,exact,mox GEch | kàr
chitral,KDR,4,face,mox,exact,mox GEch | kàr
chitral,KDR,5,eye,GEch,exact,mox GEch | kàr
chitral,KDR,6,ear,kàr,exact,mox GEch | kàr
chitral,BBK,4,face,ru,exact,ru ec kU34
chitral,BBK,5,eye,ec,exact,ru ec kU34
